V1,V2,V3,V4,V5,V6,V7,V8
6907.924,6802.2544,6840.883,6765.7666,6854.559,6770.311,6816.6406,6760.8115
7108.131,7061.7603,7093.3164,6981.0605,7022.4253,7015.6494,7065.888,6970.886
7241.986,7201.667,7220.629,7106.891,7175.3413,7153.043,7179.229,7098.845
7708.0474,7688.608,7699.07,7599.4365,7640.808,7661.622,7683.1484,7600.714
1131.8573,1072.6459,1255.5648,1406.1969,1160.3123,1070.924,1273.0995,1387.31
9778.034,9722.81,9776.832,9801.33,9792.903,9740.183,9803.079,9810.589
3354.2805,3337.867,3327.3357,3342.3735,3350.4175,3340.2258,3335.2336,3346.6445
2595.2515,2568.079,2587.2244,2603.0344,2593.0452,2570.0347,2593.2288,2605.0598
2488.732,2471.8525,2476.029,2489.7207,2486.1113,2472.386,2481.6238,2490.3196
2548.3494,2537.457,2560.4736,2556.0212,2548.9824,2538.938,2563.175,2555.8835
1161.3192,1156.0403,1156.0358,1153.3486,1160.7874,1156.625,1157.4084,1154.899
3299.3892,3138.6736,3330.1106,3413.666,3314.3896,3150.2493,3345.0413,3416.551
1761.8118,1768.4521,1777.5206,1774.5092,1783.2538,1780.3776,1786.7354,1780.7576
12515.366,12300.347,12323.131,12387.415,12501.277,12346.956,12403.801,12389.962
1239.8495,1246.9022,1319.0406,1339.8517,1271.7312,1253.589,1323.3301,1338.6815
2034.9596,2024.7009,2100.8115,2097.2893,2074.5374,2046.9833,2125.536,2109.363
2440.0847,2446.4055,2413.3833,2443.897,2437.2341,2447.509,2425.6243,2446.5608
4688.8,4619.032,4951.354,4861.4536,4795.959,4648.576,4963.6265,4860.9062
5707.2197,5647.046,5690.928,5694.9585,5691.421,5661.4746,5715.8228,5698.5137
6277.6914,6247.8486,6242.499,6315.3794,6292.814,6269.9233,6280.2163,6329.583
9695.519,9621.028,9666.237,9747.329,9691.254,9644.748,9715.604,9762.174
5051.268,5088.282,5150.8335,5261.3296,5123.2188,5131.8135,5203.9946,5268.4165
6001.633,5938.1294,6038.9355,6082.4497,6015.1436,5948.6157,6056.5317,6082.7637
2335.7185,2334.151,2357.8647,2341.2766,2340.8796,2337.448,2360.2893,2345.405
1376.1024,1371.589,1389.5858,1371.679,1369.4156,1370.2404,1388.2513,1372.4719
8402.997,7774.6343,8120.9023,9475.587,8246.293,7714.2686,8204.737,9362.044
9235.516,9175.886,9284.604,9218.187,9238.792,9188.503,9278.991,9238.807
5090.4785,5027.3433,4976.553,4930.1587,5050.6543,5035.227,4981.898,4935.357
1923.2139,1894.0175,1891.6805,1886.1174,1925.3064,1900.7805,1893.1863,1891.9515
3100.1936,3109.7837,3064.412,3071.627,3096.3867,3108.1594,3065.636,3073.52
2497.5205,2515.366,2495.5881,2496.532,2488.7832,2514.1882,2502.345,2499.3591
4794.2295,4691.2744,4713.8843,4699.52,4794.8643,4711.6753,4725.505,4714.2427
