V1,V2,V3,V4,V5,V6
7237.632,7257.406,7276.406,7287.3813,7285.0005,7276.8604
1695.6707,1814.2535,1866.6086,1930.315,1991.8281,2097.0486
8545.222,8724.393,8866.467,9009.569,9160.393,9309.156
9862.387,10067.998,10220.658,10382.755,10551.934,10698.48
7076.5757,7302.542,7478.199,7663.2305,7832.4326,8067.465
4193.3623,4318.852,4402.942,4509.5645,4599.053,4741.287
3849.7175,3955.737,4015.9175,4103.955,4170.042,4297.737
2409.41,2412.0657,2410.751,2411.7795,2408.7295,2411.4172
2320.4993,2340.1455,2353.1921,2370.1208,2384.3135,2407.1873
2370.0674,2388.4368,2396.5044,2410.5254,2417.0479,2444.3125
1501.1571,1512.1676,1518.981,1528.4839,1535.7692,1548.641
2012.239,2048.1858,2074.858,2105.002,2133.0376,2169.1946
4714.387,4863.461,5005.309,5130.5835,5277.5186,5384.0244
5120.1245,5218.4336,5313.5737,5401.0815,5497.257,5569.535
5467.891,5611.203,5749.0093,5876.999,6011.6597,6135.5327
2549.5144,2599.0842,2652.7573,2690.2078,2741.1501,2760.3906
3861.8882,3936.8835,4010.7432,4074.0664,4151.9062,4202.161
3176.7754,3226.5,3280.1743,3320.0803,3371.7632,3395.1736
3273.8115,3477.7976,3615.3774,3773.2175,3871.3877,4110.375
6594.543,6724.252,6810.7305,6910.2656,6993.8857,7118.298
9753.004,10084.596,10293.022,10555.169,10769.5,11086.619
4742.034,4894.6143,4965.484,5080.1333,5151.6187,5335.368
10399.052,10650.619,10712.316,10856.58,10922.18,11201.221
9638.219,9864.811,9936.005,10089.752,10179.431,10443.063
2506.352,2574.5952,2611.0596,2661.9773,2695.715,2767.0889
7972.7446,8250.07,8382.317,8596.78,8738.494,9063.971
1891.7632,1949.4647,1977.4988,2020.8522,2052.7634,2117.4822
1843.9312,1899.4858,1927.1622,1968.773,1998.4827,2064.4873
4289.89,4341.2305,4367.5396,4409.532,4442.2847,4505.1953
4530.3057,4603.3037,4658.1567,4721.6064,4779.9316,4854.676
3823.026,3834.613,3832.477,3835.272,3810.7456,3835.2627
5488.319,5549.3564,5589.4697,5641.251,5683.2812,5756.7104
1278.8641,1290.4722,1298.5367,1308.345,1316.441,1327.6873
1709.8955,1724.5056,1733.6637,1746.0638,1755.025,1772.374
3447.364,3497.9194,3530.81,3573.671,3611.6738,3666.0605
1177.3677,1187.2849,1193.2048,1201.5363,1207.8,1220.2529
4066.3977,4128.9614,4168.1562,4221.14,4264.831,4335.5786
535.09863,360.99023,10.147461,-573.80566,-1248.1621,-2334.4932
3804.3418,3863.826,3902.9165,3926.7693,3908.9136,3908.5918
4773.995,4899.862,5007.386,5106.5146,5204.5796,5284.693
14708.579,14944.932,15151.456,15331.828,15517.01,15654.021
5820.0205,6081.0967,6291.0205,6503.3223,6711.1445,6956.0537
2927.9163,3043.1318,3138.9556,3233.5566,3332.7861,3432.58
10236.751,10505.547,10733.03,10945.537,11158.711,11364.336
10194.251,10426.064,10622.341,10808.852,10992.695,11176.969
6422.0107,6738.7188,6993.8037,7239.8276,7482.54,7756.043
6430.5444,6747.5674,7002.745,7249.006,7491.916,7765.56
6690.088,6750.6836,6774.015,6773.288,6828.698,6790.4224
2514.0999,2532.3855,2549.271,2564.838,2581.4377,2598.1968
18617.074,18780.393,18929.664,19067.662,19210.668,19352.223
8201.9,8268.269,8328.264,8383.874,8441.254,8492.806
