V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2009.2874,2009.2367,2009.2761,2009.2834,2009.2627,2009.2535,2009.247,2009.257,2009.3124,2009.2523,2009.2664,2009.2476,2009.2441,2009.2386
3030.775,3030.7317,3030.7974,3030.8162,3030.8064,3030.783,3030.7786,3030.7776,3030.8286,3030.7676,3030.7942,3030.745,3030.7444,3030.7446
1151.3201,1151.2183,1151.3379,1151.3555,1151.2573,1151.259,1151.1917,1151.2612,1151.6425,1151.2404,1151.3367,1151.2759,1151.209,1151.1816
1350.5884,1350.2146,1350.5707,1350.651,1350.5557,1350.3639,1350.3076,1350.4406,1351.5728,1350.4485,1350.7004,1350.2906,1350.2661,1350.2161
5767.755,5767.6025,5767.7617,5767.6284,5767.635,5767.6587,5767.663,5767.6978,5768.0635,5767.617,5767.766,5767.676,5767.6147,5767.6113
3162.76,3162.4072,3162.7244,3162.6824,3162.57,3162.6013,3162.6064,3162.574,3162.8428,3162.5127,3162.6628,3162.4734,3162.4033,3162.5037
4649.4575,4647.873,4649.428,4649.302,4648.275,4648.4517,4647.9146,4648.7627,4652.1616,4648.1035,4649.4966,4648.077,4647.51,4647.963
1713.5947,1713.5365,1713.5674,1713.5826,1713.5918,1713.58,1713.584,1713.5624,1713.6057,1713.562,1713.592,1713.548,1713.5349,1713.547
1569.7527,1569.7281,1569.7704,1569.7712,1569.7582,1569.7413,1569.7397,1569.7527,1569.8687,1569.7498,1569.7759,1569.7417,1569.7313,1569.7355
2574.2942,2574.1748,2574.2563,2574.2305,2574.2546,2574.2427,2574.2747,2574.2227,2574.3096,2574.2058,2574.2566,2574.1772,2574.1648,2574.1807
2428.063,2427.9883,2428.0718,2428.0278,2428.0554,2428.028,2428.0452,2428.0254,2428.0718,2428.0242,2428.053,2428.0032,2428.0051,2428.005
3560.2158,3560.179,3560.3281,3560.3174,3560.2283,3560.206,3560.2378,3560.2341,3560.414,3560.225,3560.2986,3560.2112,3560.1729,3560.1523
6977.074,6976.834,6977.1733,6977.1904,6977.101,6976.9224,6976.9443,6977.0146,6977.62,6976.985,6977.0435,6976.959,6976.8604,6976.828
5608.9834,5608.532,5609.105,5609.0557,5608.8447,5608.791,5608.719,5608.732,5609.6133,5608.71,5608.914,5608.688,5608.5728,5608.571
6286.39,6284.7437,6286.1377,6285.8228,6286.8823,6286.29,6286.836,6285.9844,6287.387,6285.8936,6287.093,6285.3267,6285.0693,6285.109
3092.6145,3092.5757,3092.6467,3092.6096,3092.6133,3092.5962,3092.5938,3092.601,3092.696,3092.5964,3092.6155,3092.583,3092.5784,3092.5806
3933.2573,3933.1028,3933.2695,3933.0903,3933.202,3933.1743,3933.1982,3933.181,3933.413,3933.1516,3933.2295,3933.149,3933.0952,3933.1167
9569.843,9569.751,9569.856,9569.816,9569.884,9569.792,9569.826,9569.834,9570.009,9569.8,9569.8545,9569.792,9569.749,9569.7705
2599.4326,2599.169,2599.2874,2599.2178,2599.2454,2599.32,2599.286,2599.277,2599.5261,2599.2375,2599.348,2599.2383,2599.226,2599.1772
11049.799,11049.571,11049.762,11049.816,11049.701,11049.555,11049.657,11049.66,11049.962,11049.637,11049.729,11049.531,11049.508,11049.484
2588.114,2587.8386,2588.063,2587.9038,2587.8916,2587.8713,2587.932,2587.957,2588.4697,2587.8865,2588.0334,2587.8896,2587.7703,2587.8035
2848.336,2848.0854,2848.2246,2848.2378,2848.2258,2848.1597,2848.1873,2848.2102,2848.6921,2848.1462,2848.331,2848.2456,2848.1062,2848.1367
1939.829,1939.7421,1939.8484,1939.8684,1939.8433,1939.8317,1939.814,1939.8148,1939.9192,1939.7903,1939.8502,1939.7853,1939.7626,1939.7699
2548.7869,2548.596,2548.7861,2548.811,2548.7522,2548.6516,2548.637,2548.7188,2549.1047,2548.6663,2548.8108,2548.6487,2548.611,2548.5527
1606.2394,1606.174,1606.2576,1606.2305,1606.161,1606.1917,1606.1782,1606.1936,1606.3777,1606.1873,1606.223,1606.1643,1606.156,1606.1494
2364.2332,2364.0222,2364.0962,2364.2034,2364.2131,2364.1355,2364.17,2364.1108,2364.2466,2364.0718,2364.1907,2364.0059,2364.0132,2363.9736
1736.0709,1735.9615,1735.9716,1736.0797,1736.0154,1736.0132,1736.0106,1735.994,1736.0963,1735.996,1736.0319,1735.9684,1735.9625,1735.9578
472.67468,472.543,472.6696,472.64,472.62338,472.62982,472.62994,472.6174,472.71985,472.5915,472.65918,472.57413,472.54874,472.55066
6302.2334,6302.018,6302.3647,6302.1196,6302.301,6302.2153,6302.257,6302.193,6302.292,6302.128,6302.279,6302.139,6302.074,6302.082
679.3092,679.1154,679.2139,679.344,679.2238,679.2184,679.221,679.1933,679.4608,679.16504,679.24835,679.1532,679.1544,679.128
2084.2683,2084.1233,2084.1853,2084.2424,2084.219,2084.218,2084.1719,2084.196,2084.3047,2084.1877,2084.2283,2084.1638,2084.1248,2084.1475
1890.3018,1890.2649,1890.3186,1890.255,1890.3081,1890.291,1890.2974,1890.2795,1890.4528,1890.2745,1890.3098,1890.2598,1890.2411,1890.249
6705.336,6705.09,6705.48,6705.491,6705.3115,6705.316,6705.2314,6705.2803,6705.7363,6705.2314,6705.3423,6705.172,6705.1323,6705.1523
2257.722,2257.53,2257.6543,2257.5862,2257.6108,2257.6074,2257.6008,2257.624,2257.9077,2257.5566,2257.7288,2257.564,2257.4956,2257.474
1694.4355,1694.3495,1694.4834,1694.4944,1694.4539,1694.4198,1694.4078,1694.4097,1694.5045,1694.4003,1694.4396,1694.3792,1694.3654,1694.3761
3794.4607,3794.4033,3794.463,3794.5227,3794.4907,3794.4695,3794.4902,3794.4458,3794.5195,3794.4392,3794.4731,3794.4126,3794.4124,3794.3918
2532.7356,2532.5557,2532.6692,2532.7244,2532.686,2532.686,2532.6565,2532.6597,2532.8354,2532.6313,2532.6934,2532.5981,2532.5781,2532.596
2387.0647,2386.8433,2386.9272,2387.0269,2386.93,2387.0042,2386.9153,2386.9595,2387.298,2386.9531,2387.0405,2386.871,2386.856,2386.8196
2283.2869,2283.029,2283.519,2283.343,2283.271,2283.2,2283.234,2283.1633,2283.5798,2283.1501,2283.2852,2283.0806,2283.0684,2283.0115
3779.0955,3778.9426,3779.1355,3779.0137,3779.11,3778.9783,3779.0288,3779.0608,3779.4438,3779.0283,3779.1116,3779.0046,3778.9639,3778.9905
6095.1206,6094.1924,6094.883,6094.8384,6094.6997,6094.651,6094.4785,6094.5347,6095.94,6094.4795,6094.972,6094.333,6094.026,6094.3066
7132.637,7131.966,7132.0186,7132.4175,7132.2905,7132.1665,7132.211,7132.227,7133.216,7132.0337,7132.3135,7132.2314,7132.0005,7132.034
1142.0181,1141.9711,1141.9875,1142.0105,1142.0016,1142.0007,1141.9862,1141.9865,1142.0344,1141.9858,1142.004,1141.9747,1141.9711,1141.9688
8785.805,8785.56,8785.899,8785.936,8785.856,8785.791,8785.814,8785.74,8785.82,8785.685,8785.831,8785.665,8785.628,8785.627
1118.3726,1118.366,1118.3738,1118.3739,1118.3735,1118.3698,1118.3705,1118.3684,1118.3912,1118.368,1118.3711,1118.3635,1118.3625,1118.362
10355.402,10355.444,10355.372,10355.456,10355.575,10355.511,10355.523,10355.394,10355.682,10355.4,10355.48,10355.384,10355.359,10355.273
1031.1711,1031.1545,1031.1687,1031.1743,1031.1738,1031.1687,1031.1576,1031.1666,1031.1758,1031.1636,1031.171,1031.1621,1031.1573,1031.1534
10701.274,10701.011,10701.34,10701.301,10701.1455,10701.096,10701.074,10701.216,10701.949,10701.122,10701.281,10701.042,10701.11,10701.065
11269.316,11268.915,11268.977,11269.458,11269.335,11269.207,11269.185,11269.081,11269.392,11269.071,11269.19,11268.978,11268.895,11268.98
10185.317,10185.006,10185.242,10185.215,10185.196,10185.296,10185.182,10185.139,10185.389,10185.105,10185.267,10185.037,10185.011,10185.085
1046.1642,1046.1368,1046.1267,1046.1469,1046.1488,1046.1458,1046.1523,1046.1385,1046.1923,1046.1381,1046.1567,1046.135,1046.1315,1046.1364
3154.5596,3154.515,3154.7761,3154.6992,3154.653,3154.581,3154.5347,3154.5862,3154.698,3154.5674,3154.682,3154.5095,3154.4722,3154.4883
1103.8738,1103.8636,1103.8724,1103.8726,1103.8676,1103.8691,1103.8684,1103.8687,1103.8868,1103.8667,1103.8724,1103.867,1103.8646,1103.8671
2786.9634,2786.9102,2786.9377,2786.965,2786.9429,2786.9368,2786.9216,2786.9377,2787.0356,2786.9229,2786.955,2786.924,2786.9102,2786.916
1095.883,1095.8544,1095.8748,1095.8773,1095.877,1095.8729,1095.8726,1095.8663,1095.8876,1095.8651,1095.877,1095.8612,1095.8545,1095.8657
10502.637,10502.551,10502.625,10502.633,10502.605,10502.598,10502.55,10502.594,10502.789,10502.579,10502.607,10502.5625,10502.551,10502.565
