V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
5646.595,5651.98,5534.408,5465.569,5531.629,5716.8057,5684.4463,5711.2236,5804.586,5702.871,5595.2686,5604.8286,5631.2705,5566.801,5368.698,5586.742,5407.9634,5464.9834
1978.5605,1870.7288,1923.635,1904.5576,1919.6128,2016.9624,2025.2797,1992.0902,2047.449,2071.7524,2062.8232,2048.4739,2032.4133,2050.5747,1888.2477,1920.5889,1915.3529,1860.4979
13376.269,13372.984,13376.81,13402.399,13335.8545,13486.591,13536.88,13525.942,13515.148,13568.856,13594.8,13580.568,13608.137,13441.296,13534.146,13538.394,13559.657,13570.236
6608.3867,6626.0845,6621.8945,6616.745,6629.2007,6653.0293,6615.7,6612.9585,6640.674,6662.5923,6628.7935,6626.5576,6670.184,6626.9077,6618.113,6603.734,6594.7485,6610.7236
4473.857,4465.897,4465.3105,4469.3667,4488.0093,4417.106,4435.0107,4419.9023,4419.8457,4494.7075,4441.1685,4421.6646,4457.478,4432.376,4499.3,4477.772,4501.4194,4482.935
12049.891,12099.239,12045.228,12086.864,12159.784,12161.527,12110.086,12142.104,12112.974,12029.316,12220.311,12212.703,12228.169,12264.382,12204.763,12168.426,12155.732,12192.59
1177.628,1187.9655,1188.8981,1186.5333,1210.1069,1185.41,1191.3641,1183.3033,1180.0256,1185.2842,1179.646,1197.2085,1201.0485,1179.7479,1191.6539,1175.9341,1176.6876,1191.9987
1512.8192,1487.1357,1459.6978,1481.719,1515.6677,1541.6572,1548.3768,1572.6504,1516.4944,1582.4487,1590.928,1542.8081,1582.3252,1547.2944,1489.8082,1534.099,1516.873,1493.3105
5098.5645,5077.595,5099.49,5080.742,5089.3594,5151.998,5167.621,5115.03,5115.3423,5155.8013,5306.876,5107.376,5135.9004,5109.8286,5082.731,5070.9014,5069.573,5067.174
6901.9165,6908.328,6976.352,6870.8984,6919.5723,6906.338,6908.43,6906.521,6962.175,6913.52,6913.2363,6910.7256,6923.451,6989.342,6846.3105,6886.5933,6869.229,6849.824
12233.885,12509.498,12552.907,12549.355,12641.115,12870.235,12654.51,12628.763,12887.191,12715.803,12568.526,12806.773,12801.906,12916.883,12574.934,12533.981,12488.457,12605.343
2735.3062,2730.8728,2731.0806,2729.1433,2735.231,2736.2517,2737.7087,2735.3252,2738.7969,2741.091,2736.079,2733.8796,2743.5317,2731.8784,2729.913,2737.6956,2732.523,2727.157
2152.7012,2142.7285,2139.3032,2154.2063,2150.368,2154.9297,2148.7056,2151.528,2152.4885,2150.9558,2149.0657,2149.8262,2159.314,2147.2278,2153.3582,2150.119,2145.5593,2152.1562
4902.909,4952.9976,4951.495,4934.2495,4957.7637,4989.799,4969.831,4931.3696,4990.5312,4958.6406,4936.366,4962.3755,4940.195,4969.617,4917.681,4903.5654,4923.279,4912.6187
2666.6921,2669.849,2669.302,2668.304,2673.003,2666.2915,2666.5032,2666.4966,2665.4844,2667.4724,2667.2686,2664.7776,2666.5356,2664.5579,2670.5154,2669.9268,2668.8118,2671.9155
14013.1045,14257.233,14314.294,14137.786,14567.15,14410.189,14583.959,14645.77,14522.495,14338.243,14764.455,14743.034,14880.19,14710.043,14318.055,14055.515,14168.293,14367.119
7439.535,7794.166,7792.661,7788.5537,7948.4487,8248.429,8086.2393,8180.112,8081.072,8108.5474,8300.335,8153.4966,8510.787,8294.34,7697.463,7582.2017,7649.0273,7799.0303
6356.947,6351.307,6310.707,6409.37,6391.2363,6285.727,6329.225,6261.5337,6323.27,6327.369,6303.8345,6285.053,6238.8315,6296.7407,6355.4697,6298.537,6261.253,6355.4414
3339.4182,3111.107,2958.246,3311.537,3083.7866,3363.643,3088.2388,3205.8374,3710.854,3245.6006,2849.7917,3123.4463,3084.2048,2233.7202,3774.7373,3456.0352,3581.5107,3888.1067
3982.4773,4197.7793,4296.531,4063.3464,4232.0,3448.038,3430.7083,3430.1577,3424.7632,3421.901,3408.3567,3404.239,3342.5422,3321.3105,4346.149,4031.464,4162.22,4501.2607
1220.2948,1129.2007,1202.2318,1113.4591,1031.2761,1201.0684,1107.1322,1139.1654,1181.4047,1068.9962,1162.288,1160.4874,1124.2876,1175.4723,1089.9935,1171.3638,1196.9299,1044.8438
788.6831,647.36115,734.216,630.7627,815.86053,713.9899,672.90845,642.24585,722.6007,719.831,656.1221,641.75037,806.987,631.4104,616.7199,745.50525,657.8657,614.28015
5520.8247,5971.612,5950.5723,5924.5107,5230.4067,5286.5703,5548.205,5832.1094,5390.773,5159.327,5813.336,5250.9287,5330.4316,5316.048,6069.6875,5533.2847,5445.8804,5776.6694
12109.513,12038.301,12240.215,12258.901,12576.469,11921.075,11877.491,12118.516,12051.851,12660.594,12476.613,11968.227,11636.754,12305.6,12517.291,12459.485,12470.551,12640.443
6499.469,6490.7295,6481.479,6457.082,6536.7866,6523.7383,6481.0264,6522.1533,6501.87,6528.8286,6527.962,6550.6177,6547.185,6546.6797,6567.112,6576.6704,6631.273,6565.6274
17798.248,17876.389,17805.033,17808.014,17474.707,17416.775,17653.867,17465.24,17448.328,18208.89,17795.318,17782.059,17656.164,17909.562,18021.252,17745.809,18478.35,18216.13
3587.0098,3577.2742,3568.2588,3564.743,3572.5803,3584.5962,3589.4373,3609.4043,3594.4702,3585.9104,3609.702,3606.043,3594.6565,3585.0803,3561.6606,3573.3894,3565.585,3566.878
2482.0732,2428.3394,2439.0828,2424.123,2422.1633,2543.3416,2518.3118,2528.0208,2538.866,2536.578,2584.6196,2553.9011,2596.2764,2559.573,2428.614,2493.113,2438.4565,2422.497
8867.444,9566.653,9576.36,9639.42,9543.332,9422.514,9687.81,9767.3,9392.028,9472.743,9526.576,9380.733,10159.074,9204.519,9639.83,9085.86,9147.562,9596.088
2598.639,2540.8127,2523.1086,2517.0732,2497.8271,2526.7795,2489.0798,2484.292,2548.4065,2480.8767,2508.4802,2493.2942,2460.871,2537.6255,2529.398,2610.1455,2562.677,2520.434
5267.816,5363.629,5379.395,5361.0425,5354.671,5329.2744,5313.0947,5285.5195,5351.6787,5295.6123,5309.6606,5293.6426,5404.397,5262.401,5333.6426,5242.332,5234.2607,5317.63
3670.1643,3658.535,3634.3567,3649.0752,3681.3293,3729.172,3665.7712,3664.7908,3656.688,3659.9644,3636.8086,3608.9355,3575.89,3635.8394,3634.897,3707.234,3637.7375,3595.104
19532.805,20571.848,20548.799,20461.951,20920.092,21147.08,20629.617,20879.963,20526.273,21231.588,21605.865,20908.254,20729.066,21072.725,20899.252,19893.86,19879.646,21034.72
4713.862,4529.2627,4465.3003,4575.7827,4557.001,4685.084,4518.106,4609.5615,4594.2104,4721.377,4754.4194,4700.645,4642.589,4743.625,4620.8037,4868.118,4808.0317,4623.976
2594.6692,2664.1465,2663.1177,2664.6763,2656.0413,2600.4224,2613.9678,2606.469,2624.6255,2604.1052,2608.9387,2587.0269,2625.4858,2582.793,2626.286,2581.6035,2599.7944,2646.3792
3640.7754,3582.2415,3572.2168,3535.894,3529.6777,3560.2537,3566.927,3684.3154,3653.3635,3633.386,3665.938,3670.4832,3648.7766,3657.474,3616.9207,3568.1416,3607.0107,3538.1245
11018.978,10758.0625,10656.967,10670.763,10672.662,10815.906,10663.302,10658.454,10737.862,10752.672,10802.229,10749.394,10696.158,10712.109,10579.323,10973.148,10829.595,10590.211
6494.9424,6440.544,6039.8306,6474.1343,6545.051,6630.273,6525.149,6628.0376,6580.628,6381.192,6775.9233,6765.423,6243.834,6652.884,6738.0127,6680.417,6835.629,6788.085
2436.0066,2602.1213,2517.0896,2603.476,2629.4287,2553.9297,2573.1597,2602.2334,2592.786,2665.08,2649.7957,2648.1062,2590.6636,2634.892,2657.8796,2515.9568,2486.9941,2673.3843
4629.926,4431.2397,4440.9937,4431.4956,4404.2344,4575.5884,4753.6235,4599.9272,4609.7583,4601.575,4746.1743,4695.624,4701.0625,4730.671,4444.741,4506.187,4656.9478,4447.544
4975.5986,5378.802,5212.1875,5265.9097,5121.3296,4783.3066,4695.8877,4648.2334,4772.966,4714.7095,4688.6406,4633.545,4565.0967,4539.5415,5254.298,5039.916,4860.647,5283.3506
6488.308,6306.5034,6364.347,6343.6377,6450.325,6417.7593,6302.457,6323.528,6313.0405,6294.0957,6316.3647,6301.567,6307.9585,6286.999,6397.3774,6549.2065,6410.901,6367.1484
7116.2695,6971.0,6963.0933,7036.6777,6822.763,6823.9,6811.1772,6821.6265,6975.406,6886.6006,6817.215,6860.058,6829.0986,6923.0293,6835.7075,7203.544,7051.408,6779.471
1236.0719,1268.3904,1279.4614,1273.2666,1341.0895,1433.821,1444.275,1485.3544,1486.5374,1609.4995,1477.4695,1493.5962,1511.6117,1514.3633,1294.0194,1239.3274,1240.3777,1281.355
1191.2892,1185.9165,1169.7101,1185.6735,1216.0037,1151.6155,1163.2319,1180.684,1191.6786,1244.6265,1196.3916,1215.933,1208.2063,1199.108,1219.6584,1202.9647,1247.1426,1250.008
2889.6797,2875.9246,2848.5725,2838.027,2859.3367,3065.1782,2946.3677,3022.3513,3057.5718,3137.2217,2897.9182,2962.0327,2998.971,3025.861,2847.188,2935.0725,2884.8481,2844.3296
4616.0513,4429.624,4290.4805,4316.3516,4229.994,4680.215,4748.8447,4788.83,4872.1494,5005.279,4828.833,5098.28,5242.9204,4968.298,4466.9614,4636.317,4903.0664,4474.917
758.3544,809.3012,804.23676,783.3347,823.2913,795.7167,790.2952,794.32227,810.5713,835.68524,810.55743,799.47394,789.01746,811.84845,798.9971,744.27844,745.71075,786.252
1079.7593,1025.1686,1053.4921,1053.8038,1105.3369,1047.8851,1053.5569,1085.2233,1038.9465,1010.80005,1081.7611,1093.7892,1094.1245,1070.75,1057.7205,1124.1929,1114.2866,1063.9213
789.70856,766.8571,763.74994,754.2654,737.1559,803.7466,793.338,845.98975,785.9203,780.0766,815.8442,795.9054,805.8777,801.3818,758.44006,764.99054,791.89087,748.0246
843.18713,845.7478,777.70544,859.79034,861.22955,875.8483,863.67926,872.8174,867.4263,906.21844,834.1506,905.86414,891.0558,883.06213,897.34393,885.49414,903.3668,908.7788
3644.294,3643.5793,3462.99,3664.5723,3525.566,3609.267,3617.2527,3546.5986,3683.7224,3737.0425,3595.0066,3705.978,3655.45,3798.1865,3733.338,3737.391,3797.49,3818.3318
