V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38661.906,38698.305,38620.438,38841.68,38372.82,38121.52,38318.336,38108.47,38001.82,38084.105,38493.88,38572.844,38473.008
3886.8691,3882.8809,3872.2761,3892.4448,3850.131,3815.7454,3835.3328,3808.7678,3814.8982,3806.464,3853.9255,3869.0422,3842.897
9708.667,9709.085,9692.037,9731.263,9606.113,9597.667,9639.172,9605.97,9635.674,9599.042,9667.284,9675.751,9655.596
2571.3274,2558.4568,2548.2085,2645.7148,2550.4443,2401.4963,2455.5332,2362.4092,2448.9453,2396.436,2515.1301,2549.3547,2498.8179
2118.2942,2128.0786,2089.0576,2247.129,2076.1152,1790.2139,1913.2574,1904.1245,1829.7253,1829.5275,2316.6953,2092.3032,2004.9768
750.46643,756.1082,735.62994,786.8579,682.0875,609.9763,679.9126,661.82446,674.8421,631.21533,713.776,742.86383,735.3667
3361.153,3343.567,3302.3083,3481.0925,3134.9749,2902.281,3117.961,3150.6067,2990.912,2983.9653,3238.9102,3290.6118,3264.1763
2887.6077,2860.0432,2803.279,2939.7903,2762.9702,2381.3564,2577.6206,2443.7485,2392.9094,2428.9734,2817.7542,2809.6018,2646.109
6584.875,6605.5156,6588.524,6781.467,6519.3936,6134.5664,6336.4346,6144.7603,6355.7754,6208.905,6640.9214,6581.3325,6503.929
5058.0933,5055.8496,5028.993,5094.3823,5013.731,4883.786,4942.1787,4872.6123,5042.027,4938.3823,5041.594,5026.5884,4952.7725
482.9563,482.44235,477.46902,511.25372,474.6519,430.45377,447.76047,446.72327,428.67267,430.85785,504.6483,478.46997,474.39536
1073.0052,1072.6208,1069.8627,1077.8024,1071.768,1050.1876,1058.4648,1049.9381,1055.9559,1053.8881,1060.69,1068.0597,1064.0414
2275.6687,2268.0305,2255.0928,2278.488,2217.771,2195.846,2215.121,2195.833,2179.8713,2188.1545,2249.9238,2239.6567,2226.2478
2259.5837,2266.8484,2257.8582,2286.418,2239.775,2188.1497,2219.7446,2201.3208,2226.4885,2204.835,2250.3882,2254.883,2227.11
3946.4658,3975.6582,3858.6448,4058.8662,3727.3826,3364.5593,3600.818,3456.1494,3464.8962,3501.2073,4067.9792,3824.1936,3688.4312
3946.4067,3970.87,3858.9368,4007.9312,3638.9011,3372.0608,3585.0774,3427.8794,3605.2664,3444.3076,3886.251,3844.455,3725.1265
12081.307,12082.038,12057.505,12119.506,11997.686,11978.555,11999.55,11987.804,11991.233,11946.878,12146.892,12047.445,12013.341
4625.109,4623.6816,4604.6562,4668.1675,4627.671,4497.063,4542.0474,4558.488,4523.115,4515.252,4715.018,4606.0103,4591.676
3740.149,3628.109,3581.6873,3850.1082,3675.0989,3046.7227,3311.487,3319.832,3198.5796,3171.6587,3597.9297,3651.0872,3478.403
4992.06,4968.2295,4930.0835,5103.318,4829.608,4510.594,4734.326,4707.503,4587.3633,4617.043,4905.493,4956.843,4845.4775
2453.9395,2483.5442,2418.96,2522.0068,2350.5288,2120.1875,2264.0198,2143.6384,2194.7974,2182.1355,2466.4946,2458.592,2438.2932
4182.3403,4234.886,4116.545,4387.8364,4039.9924,3600.9143,3887.8186,3605.6724,3808.4153,3744.6448,4008.5842,4161.1885,4002.7107
909.768,902.61426,891.2101,919.0528,899.85077,828.5807,860.9985,845.6078,838.3064,840.8043,939.9773,889.15735,885.7439
7627.1543,7730.7305,7571.121,8013.371,7486.6543,6764.9224,7098.336,6994.0825,6716.018,6731.264,7733.406,7596.0728,7464.6665
1088.15,1102.444,1092.6447,1123.4288,1090.4286,1012.9808,1053.5793,1009.8362,1055.6947,1025.3826,1161.912,1093.3726,1081.2108
3257.9375,3272.319,3241.4272,3326.2036,3183.302,3004.2446,3121.1433,3022.076,3118.3389,3017.3896,3184.0854,3235.6973,3231.6816
2887.7578,2990.1575,2909.832,3212.8833,2905.3284,2332.8958,2629.2651,2423.5273,2511.1787,2476.605,3045.0618,2962.3745,2803.8523
4872.071,4741.0615,4535.767,4985.6787,4565.7837,3381.479,3878.306,3382.2612,3864.1648,3590.3945,5078.453,4607.9077,4504.107
769.2704,761.9574,760.5257,789.5135,754.8133,674.23987,717.6553,690.3769,716.12366,674.28033,757.9693,760.3062,745.0304
4192.398,4178.636,4123.2,4280.504,4112.9795,3746.6492,3945.572,3890.7664,3769.5183,3820.0974,4120.264,4172.2095,4054.7031
906.56555,919.5351,900.02124,958.9043,865.37463,790.88257,837.73914,787.14154,792.26495,789.4024,871.3441,902.4185,892.9607
