V1,V2,V3,V4,V5,V6
7460.5225,7455.68,7475.3975,7479.4434,7491.2876,7500.8145
1255.9667,1458.0334,1627.5392,1392.3314,1315.5876,1217.2396
8633.242,8864.776,9116.911,9303.215,9663.05,9950.193
9949.386,10171.724,10469.997,10602.591,11076.369,11185.582
7244.6313,7490.5303,7881.9624,8043.612,8473.103,8892.996
3997.9775,4146.8994,4331.9043,4495.831,4698.5146,4789.116
3505.2239,3637.0308,3778.042,3837.0444,4046.1562,4161.1206
2344.6228,2342.2068,2343.0642,2344.7256,2345.6267,2345.4373
2286.0684,2317.7322,2343.2617,2377.9778,2411.0757,2432.58
2243.9834,2266.6685,2294.0369,2293.5376,2315.5586,2347.1233
1474.3947,1487.6383,1506.4249,1518.0792,1534.9069,1551.0015
1991.1777,2021.4707,2084.3074,2141.3843,2174.0789,2231.9072
4949.4604,5026.4233,5030.8926,5262.5596,5390.4946,5471.1987
5275.784,5332.764,5364.9277,5484.2915,5569.8115,5627.1875
5693.4214,5881.6006,6064.432,6200.2266,6483.238,6706.5776
2777.1448,2789.5127,2767.952,2823.1094,2832.2266,2829.8225
3971.5427,4016.7034,4009.647,4115.5205,4193.6704,4218.9565
3304.504,3316.585,3346.7961,3351.4573,3364.5193,3378.3396
2962.7253,3236.8696,3444.127,3675.278,3947.3918,4056.1914
6544.6714,6675.5063,6836.6685,6948.834,7101.566,7202.2734
9434.668,9390.141,10052.686,10587.58,10753.242,11051.679
4064.5508,4181.425,4386.044,4530.7334,4609.2554,4905.423
7777.8945,7531.3853,7782.1475,7689.24,7570.837,7581.652
7907.841,7973.207,8113.313,8290.864,8238.118,8597.34
2361.7576,2406.292,2542.6628,2590.2834,2696.7207,2767.7283
6350.6807,6498.0166,6730.1025,6953.443,7071.126,7422.0537
1562.7181,1605.3546,1619.613,1692.5762,1741.5806,1798.219
1592.3077,1632.0906,1711.7031,1749.3611,1777.1692,1909.9084
3977.236,4023.9202,4057.557,4100.5127,4176.922,4229.5728
4449.6426,4561.6797,4645.445,4808.7935,4922.7593,5061.1475
3490.8591,3499.3154,3500.573,3496.8484,3509.5535,3516.6414
5395.0195,5478.5186,5555.502,5643.3105,5726.0693,5760.111
1270.0273,1292.9697,1315.0323,1338.9423,1382.2853,1395.3195
1688.7839,1712.1344,1739.8926,1754.1425,1791.7646,1813.8901
3356.9656,3418.9568,3505.3547,3568.9563,3648.5557,3709.8508
1145.554,1161.3733,1170.5847,1188.3588,1204.0308,1213.8693
3922.474,3978.4165,4068.552,4161.604,4241.2505,4276.165
6231.1895,6143.947,6300.2095,6555.5107,6615.9624,6544.461
3694.4507,3758.5542,3748.9114,3860.7974,3876.6807,3912.211
4849.0615,4922.981,4996.4204,5062.7793,5121.077,5179.633
15106.0625,15270.158,15348.201,15633.976,15954.962,16275.73
5944.8623,6206.67,6629.086,6843.256,7330.384,7573.4844
2955.032,3091.8071,3197.145,3318.854,3492.6333,3779.4204
10654.246,11021.138,11294.279,11653.785,12143.251,12531.411
10542.006,10834.604,11158.553,11372.861,11955.526,12116.305
6731.7783,7082.7627,7562.665,8125.0176,8617.214,8739.645
6626.846,7053.287,7402.0654,7856.6646,8255.388,8793.797
7181.7935,7193.0728,7191.634,7226.208,7226.0933,7214.0635
2542.8052,2567.7563,2591.4363,2607.3933,2650.8718,2692.2542
18670.924,18805.744,18860.7,19082.273,19181.352,19120.016
8240.628,8288.814,8333.273,8390.209,8491.233,8485.869
17506.31,18485.787,19643.09,20405.43,22070.762,23101.828
19038.105,21246.406,22379.709,25194.707,26766.992,27872.664
9290.468,10055.396,10950.6,11749.899,12783.943,13391.151
2791.9644,3008.2876,3216.6016,3497.7883,3729.4678,3877.4316
12043.468,13153.58,14126.865,15668.037,16480.959,17417.352
2156.659,2301.206,2413.143,2552.0796,2666.6006,2785.0732
10491.811,10619.398,10766.412,11020.314,11055.879,11154.451
10105.351,10210.529,10307.74,10453.425,10568.338,10811.168
10531.025,10793.546,11091.179,11265.404,11592.854,11953.464
10835.448,11066.608,11238.377,11476.43,12014.563,12286.663
10219.249,10668.572,11406.204,10854.121,10860.182,11177.3545
9656.319,10121.974,10773.163,10437.965,10512.315,10342.765
13548.556,13998.018,14382.24,14868.97,15369.787,16241.158
11386.419,11799.23,12451.128,12878.361,13436.092,13596.682
10355.258,10713.76,11128.9375,11437.414,11873.855,12364.598
10248.119,10267.184,10321.554,10331.333,10360.865,10423.286
10616.486,10661.196,10716.379,10700.567,10714.389,10682.7705
10604.994,10878.021,11139.947,11357.713,11554.292,11629.625
9776.64,9787.708,9778.0,9830.074,9849.148,9875.158
10743.716,10752.377,10841.814,10760.511,10826.035,10917.408
10652.025,11065.164,11469.768,11988.192,12563.498,12952.148
9741.257,9768.566,9668.178,9911.601,9910.261,9901.301
9928.568,10003.285,10007.142,9986.305,10055.889,10157.951
10107.451,10093.077,10043.32,10078.817,10150.688,10117.8
10065.473,10113.202,10269.296,10200.185,10330.597,10448.537
10483.554,10729.207,11085.403,11438.4,11683.867,11992.702
10425.17,10639.673,10645.775,11262.166,11263.605,11743.48
5363.8574,5764.082,5442.579,5451.909,5435.466,5265.662
6597.333,7307.2603,7565.169,7003.1123,6916.2847,6515.8755
4638.5605,4866.554,5102.883,5265.32,5542.9956,5996.6006
12352.981,12434.967,12477.601,12217.862,12239.743,11425.029
10113.639,10321.73,10630.183,11124.866,11450.614,12391.682
3761.4458,3773.7996,3798.4973,3784.6138,3775.56,3790.9294
1484.6406,1527.628,1578.092,1597.414,1621.8197,1647.3569
2705.079,2718.9927,2699.5938,2759.34,2779.068,2819.3447
9753.81,9706.669,9890.381,9720.9,9844.282,9651.94
9752.748,9989.729,9781.53,9955.47,9916.166,10070.986
1392.4667,954.71625,1356.5135,1342.4825,1326.0168,846.97174
6628.732,6591.769,6783.762,6761.5474,6825.5635,6857.6973
7659.037,7792.219,7870.969,8076.9146,8167.9736,8286.531
1845.1223,1841.8787,1852.2717,1890.0769,1918.4692,1954.1174
8125.6973,8094.119,8121.272,8128.6562,8118.747,8098.404
6804.8135,6799.9663,6797.6953,6807.9316,6807.5464,6809.105
6414.796,6394.1143,6407.891,6417.0503,6437.717,6407.7207
7435.3047,7476.267,7519.76,7572.541,7658.968,7676.1045
6424.3926,6421.6606,6432.2783,6450.684,6447.9346,6470.3105
8659.529,8660.209,8758.636,8667.957,8718.25,8761.511
8162.873,8203.333,8239.706,8241.863,8257.347,8323.995
8463.092,8472.467,8461.524,8526.707,8533.562,8546.869
1423.8077,1403.91,1434.5593,1435.8352,1449.2285,1464.0842
9314.161,9411.688,9498.325,9458.056,9418.843,9497.766
3733.1929,3767.8965,3858.7473,3886.6223,3957.746,3930.4653
1778.531,1803.7343,1814.784,1829.0654,1875.3253,1901.6589
2189.1514,2173.3247,2182.1868,2182.8496,2178.361,2154.5703
2133.5334,2145.28,2129.0442,2152.016,2165.6436,2191.504
3158.1013,3141.6345,3150.9294,3191.918,3190.8484,3185.6191
1363.9044,1409.8302,1449.9163,1476.8972,1487.9194,1463.0184
2213.649,2250.0012,2268.9607,2307.0679,2311.5298,2333.1094
2045.3591,2026.5217,2046.5259,2046.5344,2048.6726,2055.961
2615.441,2655.084,2665.6846,2678.664,2687.3875,2701.3345
1140.1829,1155.5558,1142.9327,1165.7097,1179.8519,1206.4186
1808.4031,1798.9982,1808.3638,1803.0352,1809.401,1799.6621
1948.3057,1950.1307,1948.1399,1971.6548,1976.125,1983.8602
1604.2188,1624.3083,1632.7688,1627.2701,1635.3192,1617.6802
2191.9187,2201.9385,2184.4888,2225.5322,2217.647,2240.3782
1980.4766,1943.063,1957.0088,2006.8088,2000.3798,2014.6152
1902.8782,1865.8024,1898.0549,1834.7251,1882.0203,1942.4623
2486.393,2500.66,2517.702,2512.5566,2518.539,2533.6897
1570.6586,1621.5853,1603.2185,1630.434,1587.1454,1502.1826
3330.511,3351.315,3363.2004,3319.1965,3223.8713,3128.0938
2007.4824,1952.6189,1992.5525,1969.5182,1953.2931,1893.8665
2352.0312,2403.3054,2455.8418,2495.0894,2563.224,2602.9978
2530.338,2588.4778,2594.3513,2745.8108,2764.6768,2795.1191
8116.7275,8101.5835,8110.842,8135.35,8143.6294,8159.8203
4714.243,4587.576,4693.7593,4598.7744,4668.767,4501.343
7020.2393,7021.1084,7021.745,7048.665,7052.88,7061.4976
9305.693,9206.866,9398.458,9311.92,9330.136,9331.868
3861.8152,3860.6638,3852.946,3912.3726,3913.3347,3934.4521
6804.9023,6833.889,6818.744,6806.6797,6841.2065,6873.435
8403.664,8402.544,8457.215,8371.116,8398.915,8429.26
7245.175,7246.229,7241.166,7248.659,7245.8228,7245.447
4929.8447,5121.414,5237.826,5581.616,5894.5605,5944.2217
10587.029,10946.788,11065.462,12751.545,12594.909,12209.282
8891.8125,9246.084,9638.315,10090.254,10530.359,10729.088
3409.9058,3611.849,3810.8198,4039.9023,4251.155,4400.182
3386.6553,3505.3645,3596.6025,3718.9746,3932.9614,4057.0898
11705.961,11907.976,11962.7295,12295.576,12606.125,12729.543
9947.078,10433.197,10810.4375,11343.73,11833.826,11946.686
6207.4863,6415.6494,6611.3364,6866.9385,7144.6797,7276.95
4615.601,4793.0225,4949.2295,5291.673,5542.822,5440.1777
4771.3936,4861.033,5034.1216,4955.998,4922.1616,5059.5845
4551.4863,4779.2354,5024.3022,5292.3687,5533.496,5586.6143
5184.6016,5373.0176,5562.847,5661.46,5911.854,6153.0615
13304.895,13850.792,14525.309,15295.213,16066.097,16538.445
8375.391,8717.2295,9118.365,9412.314,9839.342,10506.92
2275.915,2398.905,2514.9243,2672.8472,2829.831,2955.1997
6691.8975,6787.567,6871.078,7088.8237,7198.105,7239.642
2971.0732,3096.975,3302.2598,3425.405,3567.0322,3761.8708
8679.93,8889.656,9180.789,9465.264,9664.094,9855.979
1978.3673,2071.352,2178.1672,2160.282,2275.3567,2234.2012
7484.0137,7696.9736,7823.327,7795.835,8107.162,8356.754
9628.319,10019.058,10337.081,10972.842,11368.027,11541.953
3202.963,3200.166,3225.2598,3265.0986,3277.649,3268.9316
12123.497,12428.164,12701.906,13453.305,13851.236,14112.752
3350.1182,3441.2793,3570.352,3659.696,3779.6294,3889.2393
3226.185,3437.5938,3764.267,3790.8425,4132.87,4212.3315
3356.9668,3492.712,3541.1382,3730.4744,3860.2295,3947.7202
5234.2764,5478.0273,5699.253,6136.0903,6331.4785,6568.611
3075.931,3142.26,3215.9385,3250.7559,3372.7021,3438.0537
9292.037,9425.33,9570.215,9617.645,9649.264,9663.055
12126.811,12464.434,12909.658,13632.758,13735.633,14139.094
3112.1436,3201.096,3313.5938,3548.1826,3520.5442,3630.6162
7186.7188,7321.027,7507.411,7603.8164,7662.902,7759.4014
9787.782,10161.633,10508.919,10970.434,11305.404,11821.605
15033.721,16024.057,17128.996,17735.867,18270.879,19830.082
13702.812,14120.293,14416.771,14915.316,15497.34,15983.632
3272.1797,3382.3684,3529.6194,3689.5537,3830.019,3883.8147
8814.767,9287.521,9624.069,10194.691,10616.894,10905.6455
