V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
616.2754,562.06744,541.2798,502.46213,420.2275,439.20007,493.5023,456.86282,560.1758,548.9573,593.64557,641.4181,666.77295,775.4452,789.59607,826.9109,881.4712,873.35205,857.4493,839.3588,819.7964,781.0022,744.6913,735.69604,652.84595,583.8524,523.4128,572.85187,461.40253,483.77194,497.79523,463.0342,456.24207,590.3084,617.21735,658.3595,740.80133,767.78375,837.35046,874.84357,841.10016,915.9745,899.9039,839.6466,764.60693,790.266,752.0579,744.25964
2824.4326,2652.913,2574.6897,2272.8835,2135.3892,2169.5337,2049.1934,2062.2083,2330.5237,2346.5005,2535.3384,2777.9048,2999.467,3239.4937,3528.0989,3517.4182,3689.807,3744.426,3916.2822,3710.0251,3714.847,3515.7437,3406.436,3198.5396,2979.582,2823.481,2397.2178,2564.3228,2115.474,2158.8823,2210.8403,2019.8604,2067.741,2442.4268,2589.8655,2660.481,3063.5903,3284.816,3493.0151,3699.0737,3639.6582,3894.6875,3815.376,3781.7378,3493.3716,3673.1414,3334.1636,3511.2354
1168.1453,1151.8127,1098.5066,1069.9048,937.65967,998.60913,856.116,841.02356,944.2373,931.8919,1034.928,1031.4849,1106.1659,1156.9684,1214.4131,1256.8494,1268.8256,1325.1085,1317.2709,1291.3542,1345.8544,1268.5118,1337.1133,1298.2479,1260.6556,1240.6359,1028.1243,1042.4324,998.64233,908.3053,898.54376,916.03326,957.645,827.8451,978.59485,986.0734,1084.9128,1046.1936,1182.9774,1306.4934,1431.693,1329.0931,1299.5529,1387.0712,1295.1273,1302.5616,1329.4696,1204.5212
5345.4614,5136.162,5101.3774,4683.8296,4184.01,4211.173,4114.641,3627.5872,3914.3735,3541.8047,3820.402,4121.2236,4067.2112,4312.4507,4810.653,4670.0835,5274.647,5427.195,5975.1094,5799.441,6150.768,5940.9663,5978.3174,5870.998,5563.9673,5247.616,4796.6006,4998.471,4289.7725,4114.913,3848.9583,3558.7563,3477.0474,3770.0076,3930.3096,4055.6296,4269.5557,4547.361,4922.6455,5149.493,4947.812,5720.99,5798.317,5913.2026,5861.845,6150.5728,5728.608,6172.055
2890.6697,2933.1172,2734.427,2750.4053,1961.1228,2022.3855,1845.2322,1530.4745,1778.5763,1677.7825,1880.4346,1722.3008,2100.633,2152.1196,2406.5176,2515.688,2968.8381,3203.7847,3068.3271,2940.3145,3430.139,3309.6445,3447.1587,3502.0652,3191.6084,2981.2166,2587.9365,2420.1226,2378.2148,1801.5552,1698.3007,1840.5935,1794.17,1519.467,1694.8379,2003.5814,2071.1753,2011.6499,2562.1367,2631.5435,3004.3286,3212.1138,3176.745,3470.6418,3197.6306,3328.48,3321.3508,2979.334
5203.529,5047.13,5546.0127,5709.5835,5906.6484,6249.334,6529.1157,6501.9487,7291.54,7031.518,7239.301,7232.428,7061.08,7292.6353,6853.7715,7140.4424,6611.6567,6373.508,6227.0737,5924.1274,5587.333,5381.2715,4804.909,5546.8345,5242.219,5450.2573,5758.7144,5883.813,5935.6313,6262.369,6095.379,6889.93,6980.264,7355.788,7412.2485,7710.625,7404.204,7043.151,7155.739,7125.99,6842.346,6324.7607,6191.769,5639.3325,5555.232,5090.2783,5458.0435,5075.9697
42973.97,42408.527,40335.457,40337.16,32410.965,33739.074,31143.088,29319.564,32179.178,29414.521,30609.504,30155.543,31941.11,35060.414,35525.64,37444.133,41003.45,44007.047,43817.305,43194.6,47193.906,45642.64,48540.406,48366.105,46021.508,44547.855,39980.875,38701.113,36828.094,32184.83,31036.66,31152.5,30071.053,28168.77,30944.547,31610.48,32818.836,31554.275,36667.54,39461.938,43063.492,44385.52,43964.67,46528.523,44988.8,46823.895,46527.297,44372.65
27547.285,25051.229,25231.178,23439.266,22110.525,22842.045,23254.426,21530.666,25835.006,25706.654,29383.42,30568.426,32939.848,35372.223,37840.04,36893.926,38568.363,37911.79,38098.023,35573.52,37020.17,32778.734,31238.006,32444.533,27844.625,26465.902,23121.102,25777.057,22677.809,22090.596,21881.348,23708.477,24635.021,26154.555,28676.07,31409.656,33827.895,34941.594,37348.332,39528.816,37964.42,40163.25,38384.164,37496.51,34398.637,34500.27,32172.793,32072.248
35554.55,33476.53,32856.0,30597.482,29714.281,29654.607,28096.498,28363.15,30848.984,29948.723,32620.883,34979.516,36218.547,38973.75,41711.9,40808.04,42822.938,42873.957,45243.35,43198.586,44025.883,41081.695,40429.074,39335.934,36791.727,35214.516,31422.602,33757.035,29004.863,28502.648,28942.809,27924.023,28350.918,30940.24,33151.39,33444.812,36596.58,39058.14,41287.383,43687.086,41997.434,44762.61,44196.15,43783.348,41289.87,42849.266,39328.414,42102.645
443.84497,429.19806,407.34586,424.30096,397.39734,391.2896,376.53485,371.7446,401.51318,385.24606,405.10248,418.69373,423.13696,423.98184,431.45032,441.6703,446.94846,456.29565,456.43054,443.7216,462.78607,442.55377,472.02124,461.4995,430.95117,435.98413,420.71527,433.8734,417.79868,375.96045,405.0768,396.06314,399.544,394.9668,408.68472,406.88858,415.73016,423.87686,437.19852,449.3609,454.91656,458.68512,448.92218,452.83405,447.0349,448.41928,458.67712,444.48495
26408.777,23783.74,26280.982,26501.969,22505.871,25784.463,26569.787,25352.012,31257.701,31370.086,33862.914,34367.47,35504.35,36759.97,38168.375,38938.363,38490.0,38249.85,36709.668,33739.758,33999.367,30187.64,27755.664,31026.418,26169.191,26861.084,23873.836,25515.633,26568.893,25126.57,23539.541,28554.281,30034.676,31780.477,34057.973,36825.523,37553.703,35985.402,38976.67,40281.016,38311.668,36543.742,36209.23,34879.91,31194.621,30622.066,30023.102,29199.047
7476.4946,6772.089,6934.377,6550.7563,5853.191,6113.25,6263.1123,5794.8696,7119.53,7102.248,8161.532,8471.758,9214.509,9900.406,10625.42,10374.672,10875.96,10792.934,10686.961,9963.942,10425.57,9155.501,8669.132,9150.6045,7669.447,7201.924,6259.778,7013.92,6159.2656,5913.9062,5869.7666,6384.735,6738.301,7158.5283,7933.8687,8765.389,9500.772,9837.556,10578.266,11153.042,10726.138,11393.994,10846.661,10627.315,9543.58,9608.385,8981.757,8870.672
607.5085,583.02234,429.82495,433.47534,419.27753,417.9812,500.78506,357.0624,450.2943,522.0556,594.00635,587.14496,601.7052,700.20715,712.4905,755.7108,752.8593,645.777,737.14575,643.63245,695.2077,556.82,612.2922,560.63074,437.19202,449.94183,398.26813,395.5591,502.38147,488.75778,403.4669,515.32465,563.4345,512.9448,592.4589,657.396,657.8335,636.96155,663.8389,690.91473,696.0205,741.89404,699.66437,713.4894,656.99634,613.2257,634.59705,507.66818
168.4578,167.20706,158.65591,161.88074,132.24786,139.57498,129.7816,126.98809,142.31416,138.83179,148.25449,150.0745,155.58195,165.411,172.03653,174.69771,187.58961,193.79596,185.62575,179.27953,193.2055,181.11401,194.26625,192.97255,178.50082,173.76831,150.64308,155.19707,151.45203,136.00244,133.15381,135.44438,138.15169,132.19107,147.30264,150.94144,160.21948,155.88814,173.63924,182.90579,193.44975,192.96024,192.99211,197.41942,186.29756,183.11963,187.29639,173.43939
