V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
7398.7144,7213.2163,6464.3857,6199.408,5538.515,5494.1807,5378.8506,5114.521,4746.962,4826.839,5504.5815,6311.933,6791.6235,6766.434,6098.165,5736.0117,5157.6924,5122.496
2339.348,2334.667,2230.759,2112.5498,2019.0087,1959.8569,2074.7275,2029.5503,1936.5643,1867.8108,1904.2095,2138.0378,2139.5771,2210.9304,2111.7983,1933.5969,1944.7028,1694.4496
13234.06,13316.623,13377.182,13354.46,13365.869,13505.278,13548.199,13536.635,13542.947,13554.292,13474.364,13385.057,13419.297,13528.103,13573.163,13533.348,13605.343,13683.73
6581.718,6568.246,6549.9336,6549.698,6558.3857,6569.872,6604.8096,6607.5596,6549.7944,6546.834,6522.462,6548.067,6536.2153,6530.5454,6532.4146,6485.281,6524.7686,6530.118
4350.278,4347.55,4354.3247,4338.766,4351.903,4345.4897,4327.45,4320.0044,4329.019,4346.1562,4322.2197,4355.9395,4347.039,4338.3047,4345.4854,4352.626,4339.276,4339.3457
11512.796,11523.891,11480.504,11493.761,11465.808,11551.255,11467.275,11426.704,11412.072,11442.904,11364.2295,11426.743,11498.516,11541.868,11531.679,11488.598,11440.938,11458.64
1136.764,1139.9823,1140.1262,1127.0922,1130.4594,1129.2363,1111.6458,1106.5437,1103.6089,1113.6617,1101.0006,1117.4747,1123.9967,1124.1179,1125.0281,1119.1833,1112.763,1114.7467
1401.1938,1401.3247,1398.934,1384.0198,1393.4866,1405.7793,1378.8915,1374.0037,1373.9541,1385.0857,1368.5813,1381.8391,1388.0853,1382.6324,1383.5612,1382.2062,1379.7258,1387.6875
5379.481,5465.4263,5501.2188,5495.8496,5423.6016,5339.357,5209.831,5146.4673,5095.974,5038.754,5191.407,5335.3604,5456.602,5523.9346,5589.6196,5582.248,5482.9736,5445.0234
6571.087,6518.0366,6442.24,6394.258,6332.9775,6303.626,6277.321,6271.4966,6220.1616,6210.8013,6224.363,6273.73,6225.07,6166.062,6153.689,6006.912,5993.515,6008.35
12187.183,12054.419,12450.999,12878.884,12953.969,12857.836,12817.797,12818.853,12914.797,12991.213,12858.87,12717.367,12233.628,12097.867,12506.135,12943.221,12958.947,12861.475
2759.5493,2759.8928,2757.5352,2750.431,2755.7957,2760.5742,2753.9182,2751.0925,2760.827,2763.5496,2764.4065,2771.8025,2777.917,2775.62,2772.9102,2764.3694,2764.2878,2775.8267
2169.3057,2168.7808,2166.1406,2159.2312,2162.1619,2161.477,2159.9768,2158.7488,2165.4373,2164.1345,2171.2146,2180.0203,2183.3877,2181.9282,2180.8472,2171.5676,2169.1516,2176.0984
4846.4595,4872.922,5053.179,5195.2056,5245.7505,5151.158,5086.3486,5148.6133,5232.579,5272.276,5079.725,4935.5293,4921.4766,4942.848,5104.757,5262.183,5275.9097,5132.795
2695.1885,2693.8176,2685.1392,2680.0083,2681.7178,2682.111,2688.095,2690.8223,2694.8694,2694.4631,2703.0256,2713.0122,2717.255,2715.4597,2711.622,2701.645,2699.7559,2703.895
13915.935,13734.375,14066.719,14484.238,14552.202,14456.147,14427.049,14397.891,14476.139,14551.457,14549.8955,14488.805,13946.894,13761.889,14122.16,14526.981,14543.982,14496.701
7422.1655,7269.086,7681.46,8130.1133,8250.141,8203.63,8159.652,8119.777,8216.628,8255.761,8141.125,7955.4746,7421.649,7283.647,7706.4624,8161.133,8231.057,8150.1895
6521.4062,6495.871,6395.126,6323.2695,6333.3057,6299.081,6283.417,6281.2827,6294.3374,6308.324,6426.064,6517.013,6577.2485,6535.994,6457.9473,6375.768,6355.841,6392.408
3808.7686,3812.5608,4398.7207,3751.288,2983.3735,2402.2322,2445.1619,2469.635,2451.5503,2611.6863,2879.8728,3571.709,3858.401,3927.5703,4370.3447,3997.9048,2979.1692,2525.014
2969.1472,2951.2654,3395.07,3363.379,3524.6294,3152.4631,3752.3323,3965.874,3098.9375,3337.5735,2890.1375,2936.0566,3069.8127,2922.9482,3349.7126,3465.1724,3544.2878,3144.2505
1873.3633,1912.6077,1957.5292,1561.7455,1324.0934,1045.7372,1069.3677,1138.0968,1120.8253,1177.8285,1372.0203,1773.2726,1914.1754,1921.6304,1894.4053,1647.956,1304.8457,1154.3354
1147.6917,1166.8019,1232.5266,1111.1702,854.4687,744.99866,803.9473,716.8588,594.5823,564.7662,660.17554,992.1515,1127.1992,1126.4745,1229.2651,1107.7698,885.0144,767.73425
7884.1514,7488.5674,6580.0854,5533.609,4898.2236,4547.829,6487.7544,6614.622,5126.4985,4775.467,5261.355,6812.2935,7542.5894,7458.839,6641.257,5558.325,5363.9185,4946.4688
11977.069,11960.694,11975.882,11997.557,11978.76,11941.593,12082.248,12242.256,12304.1455,12317.417,12335.004,12303.471,12253.138,12210.307,12179.083,12187.935,12227.499,12133.305
6562.0503,6567.4146,6605.1016,6633.4883,6672.7847,6716.003,6722.141,6718.4106,6733.2344,6762.004,6763.688,6805.2036,6807.6694,6832.1235,6840.3804,6883.665,6897.552,6914.698
17991.703,18027.479,18143.656,18234.344,18266.766,18302.047,18440.143,18510.209,18534.027,18640.504,18637.367,18718.254,18704.703,18797.73,18884.61,18937.855,18970.781,18930.762
3442.588,3435.8018,3441.3794,3459.6804,3438.105,3428.4756,3446.3792,3440.4707,3410.49,3417.3005,3384.529,3406.5679,3374.2302,3371.4739,3404.4082,3395.0098,3384.3142,3370.9517
2443.7256,2349.8872,2414.463,2447.8093,2469.277,2379.238,2290.2117,2194.5413,2291.601,2446.0334,2441.9512,2445.46,2393.6206,2313.266,2345.3347,2397.0552,2417.1013,2352.1653
8886.2,9004.769,9142.621,10091.051,11447.136,11720.146,11215.045,10169.455,9702.06,9734.602,9192.686,9162.464,8870.821,8869.106,9397.314,9849.901,11494.023,11795.391
2638.9097,2591.8838,2658.2905,2588.3682,2641.4832,2540.0427,2575.653,2561.8462,2456.6633,2606.3223,2622.4114,2684.0583,2633.3428,2566.8997,2643.193,2604.9434,2696.1528,2566.391
5318.37,5301.578,5517.468,5463.1396,5358.551,5301.246,5300.6816,5196.898,5251.3594,5461.1465,5312.3335,5440.6934,5389.6387,5317.3086,5446.1387,5476.987,5430.2715,5315.657
3692.852,3754.5386,3707.0876,3702.5452,3662.2737,3719.915,3694.995,3565.7925,3814.2947,4030.2305,3875.429,3727.2703,3808.0823,3847.5789,3739.8967,3685.1863,3858.0654,3749.7612
19609.63,19699.2,19612.826,19393.117,20372.697,19413.336,18948.967,18717.736,18951.154,19640.12,19719.133,19977.354,19798.611,19690.514,19485.432,19536.53,20032.354,19754.459
5035.8164,4897.3306,4892.8564,4997.7124,4936.8315,4585.318,4623.6763,4656.1367,4739.5723,4835.95,4907.231,5191.1885,5089.4727,5034.4355,5021.99,5132.5103,5050.4097,4937.4346
