V1,V2,V3,V4,V5,V6,V7,V8
6903.9097,6888.1416,6889.1616,6853.241,6908.0225,6919.5273,6966.9194,6915.0244
7145.8823,7145.236,7158.963,7093.3037,7128.636,7211.6865,7242.899,7159.774
7246.904,7263.6284,7240.1235,7210.492,7232.345,7302.2095,7314.7925,7245.3643
7729.2705,7755.036,7734.426,7707.002,7734.208,7843.6094,7854.42,7802.4507
961.7654,880.29156,1165.4622,1312.8501,952.39575,902.60626,1119.8972,1370.0105
9785.972,9780.412,9846.771,9921.12,9982.406,9965.635,10091.572,10163.26
3348.22,3359.9849,3352.318,3386.683,3410.0833,3415.9941,3442.5254,3465.291
2600.6846,2593.5942,2611.644,2647.6873,2662.41,2644.97,2680.9106,2719.4734
2492.254,2492.1665,2500.3442,2522.6008,2536.539,2534.5527,2565.475,2582.5356
2556.6335,2550.5298,2572.4104,2583.7944,2585.226,2586.6416,2620.1677,2630.2664
1159.007,1164.2119,1162.5629,1171.3298,1178.8196,1179.9712,1189.8638,1192.1908
3188.3513,3099.8376,3277.186,3445.3525,3280.0527,3132.5796,3341.8923,3520.6099
1761.3555,1772.7792,1791.4657,1794.5637,1813.8304,1817.1605,1837.1127,1847.6152
12548.632,12710.182,12746.435,12836.777,13089.462,13130.605,13351.408,13252.697
1269.8505,1238.0734,1318.4047,1321.7258,1289.1947,1266.577,1327.4954,1370.3788
2061.5618,2077.725,2153.0474,2182.6252,2169.093,2158.0303,2238.4985,2239.0024
2441.1987,2469.4548,2447.9497,2489.9023,2505.8342,2527.9397,2534.732,2567.479
4756.5396,4632.5435,4920.7397,4854.459,4775.4775,4694.299,4930.128,4882.1396
5733.1143,5767.588,5805.498,5867.8926,5917.3735,5936.9766,6015.448,6041.813
6279.1387,6305.7095,6292.3965,6405.0503,6436.042,6443.131,6495.852,6606.6333
9716.254,9734.858,9762.28,9930.458,9964.757,9960.857,10071.811,10226.562
5125.537,5102.6206,5173.8423,5246.464,5162.991,5230.098,5300.1714,5431.1274
6040.9556,5985.2046,6082.22,6148.4873,6154.244,6103.5854,6217.0005,6319.865
2346.7458,2342.4746,2369.453,2358.3015,2362.2903,2380.6284,2402.743,2406.4465
1384.9987,1384.4154,1399.4404,1394.562,1393.0477,1409.4541,1421.298,1420.8573
7494.353,6865.405,7586.747,8948.717,7352.0776,6875.708,7767.8374,9373.404
9254.438,9203.959,9314.021,9248.359,9275.338,9335.703,9383.517,9461.343
5028.861,5107.7266,5069.0464,5098.0986,5239.844,5243.2373,5289.9834,5201.0586
1905.3165,1911.7161,1912.242,1922.814,1966.2836,1939.0248,1974.0461,1958.9589
3088.7107,3112.5657,3080.8706,3108.179,3136.4446,3156.0522,3167.144,3159.5327
2510.0264,2531.1333,2516.0503,2518.543,2518.2075,2578.944,2573.7031,2580.9734
4744.9155,4762.6514,4777.3853,4833.5244,4959.5547,4869.6475,4979.7,4943.8994
8259.885,8308.785,8326.8,8312.221,8389.366,8470.008,8502.098,8499.412
7209.31,7261.971,7257.7188,7238.218,7255.8647,7406.673,7387.073,7411.897
10109.146,10197.992,10212.46,10146.131,10248.989,10414.308,10404.48,10332.154
9154.6455,9179.191,9180.282,9268.279,9393.458,9375.272,9490.625,9476.013
4593.558,4625.442,4573.703,4661.46,4747.602,4742.194,4758.7544,4818.005
6406.771,6355.1045,6429.4556,6418.8647,6484.255,6497.6313,6586.6616,6627.5146
5843.8745,5764.119,6070.473,6079.699,5707.0356,5993.001,6111.0083,6167.0566
5229.7188,5254.011,5262.728,5269.83,5319.3433,5359.5815,5397.867,5389.0747
1905.4413,1909.6125,1920.6842,1924.5593,1937.4192,1940.8857,1960.9268,1966.4998
2109.9292,2121.1948,2125.4773,2136.619,2157.928,2161.92,2183.9001,2189.3425
5434.354,5473.109,5458.3765,5491.391,5543.1025,5598.358,5632.7905,5627.597
1279.1254,1290.6089,1289.3746,1290.4331,1310.7263,1315.5232,1321.8328,1320.7274
1917.4904,1922.0331,1929.6802,1937.6716,1948.9655,1951.063,1971.6848,1975.6317
3391.882,3418.4453,3426.853,3452.2012,3467.4253,3494.9214,3538.4841,3511.1848
9669.414,9681.02,9701.675,9678.166,9737.986,9867.991,9873.856,9970.002
1420.0183,1401.032,1437.9906,1450.987,1462.6503,1433.1829,1473.0237,1495.0436
8939.967,9034.518,9036.601,8987.861,9056.903,9271.865,9226.733,9223.779
9315.513,9415.29,9376.16,9355.995,9406.564,9651.241,9560.74,9612.81
1483.6422,1537.3367,1521.9429,1497.5342,1532.6573,1590.7896,1574.5474,1512.8561
5820.477,5823.414,5867.4663,5868.373,5908.109,5929.0615,5994.692,5978.0664
2623.4177,2639.2017,2675.5642,2660.0854,2678.0762,2695.8494,2738.7214,2699.1917
1655.4797,1656.6665,1668.687,1678.1125,1687.5624,1688.8269,1711.9204,1717.8131
6916.5264,6929.3,6949.362,6968.5376,7059.73,7060.778,7133.6953,7129.13
2964.0544,2961.1184,3028.7969,2985.8103,3014.2205,3010.563,3049.1455,3025.941
1470.5911,1482.0562,1484.509,1484.7922,1501.8766,1513.061,1522.8416,1519.5988
7332.508,7376.742,7398.38,7384.2427,7453.5693,7513.159,7535.621,7507.2026
9469.455,9508.239,9598.146,9534.502,9643.976,9695.716,9737.32,9696.817
1399.6472,1407.2893,1427.0868,1425.5656,1433.3823,1437.5852,1457.3221,1453.234
2807.3643,2839.3894,2882.4175,2912.0862,2935.164,2926.2017,2980.0303,2998.045
2091.256,2091.0098,2117.2017,2115.6506,2143.0674,2140.3499,2147.775,2181.4343
2922.464,2993.838,3016.171,3054.7417,3112.201,3104.7527,3108.5742,3117.6494
3206.89,3238.918,3306.5469,3361.8286,3399.117,3357.1326,3430.0796,3468.1956
4782.814,4835.588,4941.43,4949.15,4971.4287,4974.9165,5046.4775,5115.4897
6286.733,6405.126,6490.3784,6549.311,6610.8477,6680.6436,6759.1323,6803.7227
10816.572,10932.251,11069.396,11113.857,11306.526,11318.475,11433.621,11515.892
3251.5215,3282.7185,3333.9602,3299.8672,3315.7317,3371.4019,3406.4038,3389.881
1097.6798,1107.5615,1106.7286,1124.2102,1132.2274,1144.5571,1161.3706,1153.8497
10722.54,10722.498,10788.101,10818.223,10893.21,10915.944,11015.503,11065.587
4938.6978,4953.587,4912.7993,4970.515,5025.546,5080.217,5120.625,5130.5713
3917.5847,3939.3594,3936.7773,3985.4941,4096.2344,4022.7617,4043.0457,4104.0723
5205.8457,5229.4805,5263.0327,5312.957,5376.967,5369.431,5434.7725,5479.1987
3028.7637,3041.343,3063.1733,3096.2273,3127.8982,3123.0427,3160.7764,3192.4434
1605.2888,1608.3717,1618.7222,1628.5425,1641.4144,1641.1755,1661.5438,1670.5033
13510.884,13511.973,13609.358,13696.334,13810.099,13784.85,13964.066,14046.031
17640.742,17694.652,17838.355,17993.184,18165.47,18153.936,18380.213,18541.088
17199.674,17251.957,17393.465,17545.691,17714.305,17700.705,17922.604,18081.346
1680.6682,1694.3438,1714.9819,1727.4103,1736.2324,1736.1953,1764.5114,1770.1238
6823.3467,6816.979,6837.7334,6841.637,6877.2256,6910.0625,6953.339,6964.638
4534.8447,4530.0386,4543.779,4551.507,4575.18,4592.446,4625.2314,4635.445
2214.1863,2213.9316,2215.3926,2220.1946,2223.6536,2238.0554,2241.4673,2240.0352
3463.1633,3441.9292,3398.453,3459.184,3420.4624,3432.2612,3432.032,3466.8928
12307.925,12256.192,12216.826,12320.068,12319.312,12359.454,12401.981,12464.639
33680.855,34524.195,35121.586,35143.957,35579.24,36100.727,36726.023,36317.668
1110.0803,1106.8944,1104.2933,1113.5046,1112.4261,1117.9421,1121.4712,1132.0536
2370.7678,2375.6543,2388.8296,2401.114,2419.7627,2427.1306,2453.0183,2465.3638
