V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36948.93,37335.66,37618.8,38642.758,37397.438,36447.047,36433.65,37572.617,37922.312,38482.445,37249.266,36769.203,37636.773
3660.013,3709.4812,3718.2485,3854.1108,3741.705,3614.7473,3634.7454,3715.9302,3783.4905,3835.2864,3684.9104,3618.376,3769.355
9669.911,9743.461,9629.471,9721.716,9737.029,9789.245,9771.66,9869.374,9677.014,9705.105,9770.557,9690.855,9762.641
2220.6316,2245.2463,2365.8901,2154.1982,2296.7815,2308.4905,1861.9622,1991.6115,2342.1104,2450.506,2259.9548,2152.8582,2142.2598
1402.2882,1828.8293,1571.0493,1592.5492,1545.8701,1564.7117,1609.6696,1387.2488,1800.0734,1869.2544,1860.6,1599.8435,1826.3518
532.0519,320.3225,484.74078,497.58032,576.6815,289.75803,320.98856,506.80743,494.73724,580.77264,424.4154,391.1651,439.75772
2648.1208,3231.0938,2732.3733,2524.4062,2931.7803,2706.8882,2582.4026,2458.974,2684.395,3029.104,2842.7383,2930.1323,2790.6387
2027.7216,2678.8647,1925.0522,1763.6646,2952.3105,2080.2983,2882.6797,2316.5122,2573.543,2872.6492,2165.2542,2306.4978,2059.326
6456.6475,6113.154,5752.075,5399.4106,7134.0703,6303.177,6783.6406,6450.002,6396.1133,6573.2075,6290.2915,6649.741,5875.5615
5044.2856,5035.5225,5011.587,5005.089,5046.822,5042.1562,5289.8887,5197.27,5010.807,4895.832,5118.875,5158.122,5012.365
342.4115,357.43436,357.9173,383.20996,396.5694,354.31805,298.45895,343.7547,400.19,440.3573,348.3779,287.9217,377.61273
1023.6638,1044.5411,1050.4669,1054.4678,1048.9001,1058.8845,1088.9176,1067.4805,1065.3545,1062.0148,1075.5519,1067.0042,1052.8286
2317.225,2280.0093,2302.0818,2176.24,2260.1196,2410.5457,2350.511,2286.277,2212.0105,2197.7002,2319.764,2352.2798,2236.8018
2329.4458,2299.8423,2280.9285,2188.04,2274.2449,2415.6362,2372.231,2316.0476,2248.9785,2213.5864,2355.5632,2365.405,2284.1953
4238.224,3910.0264,3852.118,3180.8242,3909.4792,4628.1494,4819.0244,4003.8628,3568.2412,3341.1365,4153.9697,4458.3364,3756.3809
4238.224,3910.0264,3852.118,3180.8242,3909.4792,4628.1494,4819.0244,4003.8628,3568.2412,3341.1365,4153.9697,4458.3364,3756.3809
12014.603,12066.787,12042.955,12091.348,12061.3,12063.295,12198.935,12147.353,12022.039,11996.58,12110.617,12092.529,12032.15
4411.9805,4367.004,4470.178,4469.721,4405.951,4452.078,4230.052,4296.103,4400.452,4553.439,4347.8374,4311.517,4435.3003
2365.4102,3419.5652,3216.679,2645.4333,2897.067,3253.3494,2027.0999,1811.0715,3391.38,3046.697,3088.2012,2967.3394,2689.9424
3942.7861,4455.122,4153.4688,3976.3281,4549.1562,3902.2312,3678.6357,3454.0056,4162.8115,4621.57,4231.5234,4047.418,4240.8174
1817.5969,2172.044,2044.5164,1935.1719,2101.1167,2121.0645,1624.1758,1595.2504,1846.1581,2148.3657,2075.3237,2037.583,2165.8037
3686.9668,3037.695,3388.3267,3325.3247,3459.8384,2866.8555,3325.6584,3696.6116,3595.3035,3582.0928,3435.8032,3680.4895,2918.9343
719.2855,838.4774,747.183,798.67633,765.5925,698.4259,701.7239,705.03015,800.69446,805.7282,821.6885,801.5426,711.2946
6138.7246,7477.8164,7118.3105,6347.1045,5972.54,7131.739,5625.1875,5090.0415,7284.37,6381.1025,7442.1904,7269.5977,6449.4443
1069.1547,1066.0715,1008.3695,954.698,1099.6001,1104.9648,1198.5643,1065.7441,948.0724,985.7835,1132.4318,1068.5643,1062.0044
2957.4473,2914.6416,2947.519,2952.4382,2789.478,2860.1235,2764.2954,2803.6895,2739.8818,3019.18,3145.1213,2824.3618,2850.7605
1914.2367,1340.708,2346.9346,1635.4834,2445.7383,1820.3241,920.2907,1335.3414,1079.5981,2493.5332,1808.5367,1473.5112,1970.0171
3055.06,5504.3022,3486.4978,1756.5913,4222.133,4057.4812,4313.3955,2218.817,2825.0234,4576.8325,2253.5962,3961.1536,2073.0747
659.92883,544.67645,672.6103,532.4104,705.04755,592.298,479.83835,554.11804,674.1738,686.09753,600.58606,604.9578,569.9208
3570.4111,3115.0137,3209.6724,3617.443,3367.8345,2910.4211,3408.3713,3622.87,3611.8423,3496.1794,3563.0452,3791.17,3582.8943
778.585,797.19995,777.0209,662.4512,773.01685,811.9284,998.136,652.63025,665.6767,873.7998,839.95483,812.9299,655.8866
3802.7083,3878.0544,3335.1355,3905.78,4207.7285,3337.0815,3572.9746,3713.881,3332.7642,3901.2761,4253.6123,3913.5483,3732.3345
1236.5706,1526.422,1132.6455,1448.8099,1502.5385,1144.188,1405.5195,1412.9767,1644.565,1550.934,1565.0964,1282.7367,1382.5636
1206.7472,1124.6833,1111.6439,1089.577,1236.6405,1165.9336,1202.24,1212.6713,1177.1241,1270.8917,1178.2699,1192.9658,1121.5449
1049.3025,1184.0731,1191.0634,992.17786,1260.4009,1163.0011,893.9295,1031.6119,1208.2584,1398.0972,1098.0505,1057.5298,1069.1819
17380.506,13709.213,17174.262,16424.016,14973.072,13738.424,19325.32,16537.611,15816.459,16739.02,16037.432,17260.549,15430.627
2903.7463,2858.5107,2925.462,2862.3413,2916.102,2922.026,2829.8901,2888.1948,2940.6338,2928.136,2918.3853,2885.9146,2936.2993
3086.9404,3104.187,3168.5972,3118.1543,3127.536,3137.7646,2978.1714,3068.1924,3179.4575,3197.598,3162.7314,3073.131,3151.1443
5814.576,5715.7676,5788.301,5726.142,5800.085,5873.8887,5910.66,5852.8047,5721.2974,5718.0225,5790.3604,5845.4834,5790.0884
5810.7153,5712.954,5784.307,5721.5117,5792.674,5870.807,5905.1807,5847.4937,5716.49,5712.2544,5786.6797,5840.8086,5787.366
6209.465,6212.332,6289.91,6250.64,6214.4854,6280.335,6200.5737,6209.815,6196.7393,6254.13,6262.9883,6220.43,6191.405
6217.7114,6218.325,6298.5605,6260.7515,6230.615,6286.8135,6212.198,6221.183,6207.188,6266.818,6271.033,6230.413,6196.996
6213.588,6215.328,6294.2354,6255.6953,6222.5503,6283.575,6206.3853,6215.499,6201.963,6260.4736,6267.0107,6225.4204,6194.2007
5806.854,5710.1416,5780.3125,5716.8813,5785.2617,5867.726,5899.699,5842.182,5711.682,5706.4854,5782.999,5836.1333,5784.6436
2884.6426,2950.6362,3003.6934,2924.674,2933.706,3012.5386,2829.6292,2924.0781,2977.8613,2976.4817,2933.4639,2880.8608,2958.6626
3359.358,3320.6895,3410.6348,3298.6782,3307.8633,3367.9402,3369.454,3316.3564,3284.4722,3342.7278,3381.1658,3360.2207,3390.6106
2882.749,2949.7488,3002.351,2923.3245,2932.8286,3011.3586,2828.4893,2922.2922,2976.5256,2974.9783,2932.318,2879.7908,2957.344
3069.6025,3022.8398,3112.5808,3059.9792,3085.8271,3103.9597,3139.212,3199.6582,3117.7695,3054.3044,3086.7705,3097.0305,3111.2163
3228.1108,3305.0605,3358.021,3296.4956,3263.1982,3356.162,3159.6619,3266.3916,3318.647,3322.2615,3271.375,3198.1396,3319.4546
3230.2278,3306.0562,3359.523,3298.0095,3264.1724,3357.4753,3160.9343,3268.3818,3320.1362,3323.9368,3272.6533,3199.327,3320.9265
6706.985,6653.2793,6718.171,6695.696,6686.9834,6620.418,6668.568,6703.378,6653.675,6680.375,6621.4937,6650.037,6705.328
7129.795,7230.583,7265.49,7268.9346,7190.935,7087.571,7036.8687,7135.2505,7236.4204,7311.094,7185.7188,7120.4487,7168.9834
1866.81,1707.0823,1766.9622,1780.2341,1748.0221,1782.7574,2014.008,1928.5453,1701.7026,1577.9897,1844.5698,1879.0966,1912.3782
2513.2449,2543.8608,2567.949,2537.5,2537.002,2555.4893,2464.7668,2478.1926,2539.6428,2565.577,2532.438,2490.474,2527.418
4528.912,4753.9375,4547.3438,4466.7944,4757.253,4666.987,5094.249,4654.172,4834.094,4718.6885,4925.5503,4970.3687,4434.09
2853.4006,2344.954,2573.9023,2389.3247,2657.6865,2877.0723,3073.4304,2825.3003,2154.0583,2197.295,2285.2466,2743.6978,2619.7988
2383.2744,2405.8542,2420.1416,2511.2322,2365.1858,2390.8662,2455.411,2462.1135,2326.9033,2343.3127,2314.9795,2382.6003,2416.67
3335.5996,3710.5225,3554.3877,3657.1082,3648.3198,3302.026,3191.9854,3264.2615,3709.1143,3871.3848,3520.5508,3359.571,3357.7893
2141.7427,1982.5936,1953.2566,2627.0642,2212.8965,2506.7727,2760.8315,2463.8594,1409.5217,2058.1084,1553.1309,2171.4236,1919.374
9034.724,9026.545,9012.958,9096.602,9010.092,9062.433,9045.083,9076.6045,9019.714,8986.32,9057.804,8979.477,9056.592
10799.5205,11327.123,10700.986,10788.5625,10242.094,10853.895,11107.285,10807.157,10789.4,10107.194,10953.119,10848.785,10961.969
7064.107,7093.943,7164.081,7127.0225,7158.6367,7314.039,7144.3823,7083.9053,7062.782,7150.4697,7011.618,7095.052,7050.0703
6063.393,6274.782,6197.417,6116.2554,6088.3438,6317.191,6112.694,5993.861,6113.965,6093.794,6086.9365,6057.37,6067.286
13707.449,12623.32,14028.154,13351.626,13211.783,13463.111,13397.767,12939.061,13031.9,13184.316,12890.522,13511.884,13139.716
19170.266,17920.213,19590.252,18711.164,18624.227,18940.062,18738.523,18219.629,18395.79,18623.967,18187.895,18913.512,18467.73
7383.0913,7444.7026,7325.6455,7405.0835,7431.23,7481.134,7482.3716,7562.5093,7366.3203,7382.134,7461.3438,7403.1523,7458.919
13230.526,13186.975,13214.42,13171.61,13325.52,13423.261,13419.2,13120.443,12845.328,13061.569,12888.302,13235.041,13027.289
