V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2028.8871,2044.9274,2036.5609,2034.4113,2029.6417,2033.0878,2033.8368,2036.567,2036.9489,2033.3832,2035.9081,2027.7242,2030.8533,2042.285
3004.3103,3029.4094,3044.438,3041.9043,3008.1296,3013.2434,3014.8823,3018.8777,3020.3904,3015.3018,3019.6147,3006.8489,3012.2085,3029.817
1120.6521,1129.1355,1124.868,1122.8403,1119.7444,1121.8683,1122.0922,1123.5714,1123.604,1121.4834,1122.5068,1118.3962,1119.5531,1125.822
1289.5503,1296.7161,1292.4066,1287.0577,1281.8291,1284.0812,1283.5167,1285.0244,1283.6077,1280.4778,1279.5623,1276.589,1275.9788,1281.7335
5802.1206,5847.37,5823.443,5815.64,5801.714,5811.229,5812.97,5820.8467,5821.6387,5811.038,5817.053,5793.7974,5802.3984,5834.335
3134.7932,3158.3916,3145.703,3140.4268,3132.063,3137.1794,3137.7695,3142.0374,3141.813,3135.7578,3138.4531,3126.3936,3130.2546,3147.5112
4468.4805,4481.467,4480.1177,4462.826,4437.7954,4436.1904,4460.7964,4468.4707,4462.859,4454.0635,4456.126,4437.714,4441.1406,4464.5835
1732.2366,1745.6338,1738.4028,1736.052,1731.8364,1734.5571,1735.3083,1737.5696,1737.8002,1734.6456,1736.5403,1729.7452,1731.9979,1741.5256
1587.8079,1600.1648,1593.5469,1591.4639,1561.9647,1562.7289,1563.1034,1592.9211,1565.3411,1562.6343,1565.9352,1558.0353,1561.0654,1568.8673
2593.4707,2613.6794,2603.054,2599.6345,2593.274,2597.573,2598.3506,2601.9224,2602.1907,2597.413,2600.268,2589.8276,2593.499,2607.9373
2444.0015,2437.758,2427.5642,2423.4443,2417.836,2421.8994,2423.2083,2426.8516,2426.7634,2422.4329,2425.9866,2415.4297,2419.3052,2433.156
3584.7676,3612.9321,3598.0957,3593.65,3585.0156,3590.7346,3591.9346,3596.9346,3597.457,3590.9333,3594.9478,3580.3528,3585.7246,3605.6846
6999.507,7054.0054,7024.8965,7015.3926,6998.316,7009.759,7009.332,7021.0884,7021.833,7008.945,7016.0605,6987.8926,6998.2593,7036.5913
5604.48,5645.621,5649.1855,5613.5195,5596.5967,5605.88,5634.0107,5613.92,5614.5405,5608.5454,5606.7095,5586.105,5598.547,5633.6753
6385.1904,6411.253,6388.1187,6354.6343,6318.136,6328.5464,6318.2812,6327.268,6283.0293,6291.227,6279.7544,6265.988,6258.4614,6280.0767
3080.628,3105.8208,3093.1235,3089.4688,3082.656,3088.0159,3089.3032,3093.696,3094.6616,3089.3066,3093.3982,3080.459,3085.552,3103.2986
3955.422,3986.5842,3970.224,3965.3455,3955.939,3962.3489,3963.7466,3969.1572,3969.8562,3962.6958,3967.1438,3951.0515,3957.072,3979.0664
9575.109,9653.697,9613.182,9605.133,9584.988,9601.4795,9606.079,9619.213,9623.486,9607.304,9620.32,9579.576,9596.992,9651.922
2618.571,2636.728,2626.4385,2621.3706,2613.4744,2617.6333,2616.7593,2621.1143,2620.4907,2615.1543,2616.4937,2607.126,2609.6265,2623.0754
10951.823,11045.141,10993.322,10992.07,10945.067,10963.074,10970.053,11012.587,10992.169,10974.6,10991.604,10970.089,10992.301,11056.742
2607.1096,2625.16,2614.9302,2609.8506,2601.971,2606.1143,2604.8218,2609.5312,2608.9272,2603.6052,2604.8987,2595.593,2598.077,2611.444
2834.652,2881.4287,2870.0935,2864.265,2828.627,2833.4023,2833.2314,2837.1035,2836.3896,2830.7246,2832.515,2822.1692,2825.055,2840.1492
1920.0474,1935.4642,1955.1198,1925.3419,1920.7883,1924.0923,1924.7751,1927.3759,1927.8347,1924.39,1926.7684,1918.953,1921.8239,1932.9432
2533.6082,2579.029,2568.9082,2561.2102,2528.9377,2533.1702,2533.1042,2536.5713,2535.9692,2530.9138,2532.5747,2523.295,2525.864,2539.3943
1588.6165,1601.2634,1594.9631,1592.7937,1588.9945,1591.7477,1592.2684,1594.4103,1594.7266,1591.8452,1593.7642,1587.3766,1589.6127,1598.7542
