V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
6300.5063,6037.98,5964.4634,5961.186,6018.3066,5837.488,5896.829,5756.5674,5790.479,5871.421,5943.154,6050.7847,6062.971,5946.5522,5933.5127,5862.138,5826.732,5771.976
2207.786,2107.085,2114.0098,2040.2495,2124.4768,2070.8984,2089.7017,1992.0269,2025.8516,2042.5576,2078.9194,2216.0132,2173.4158,2162.971,2121.9602,1989.9435,2042.3926,2013.0245
13294.005,13208.093,13133.485,13298.639,13379.593,13257.194,13343.571,13316.306,13332.753,13426.488,13462.548,13510.44,13421.737,13297.305,13337.193,13329.317,13346.903,13258.656
6584.042,6503.4604,6464.081,6529.7734,6574.9653,6493.372,6519.6855,6510.152,6547.868,6569.2637,6583.5425,6603.572,6600.11,6514.0063,6549.4863,6535.1206,6597.0737,6493.1987
4361.1655,4313.8154,4293.678,4335.7925,4358.8,4299.571,4312.542,4306.165,4327.3696,4338.3594,4353.8345,4373.171,4408.976,4363.4995,4363.9297,4378.691,4367.6523,4354.005
11626.165,11592.212,11541.098,11655.017,11736.632,11618.695,11705.743,11642.722,11671.003,11706.929,11734.422,11793.425,11811.819,11679.372,11707.6875,11711.312,11741.024,11684.28
1120.8152,1148.2794,1085.7042,1112.098,1120.0182,1099.1284,1091.7572,1092.357,1102.3962,1098.2554,1109.9332,1104.2666,1141.4196,1149.8027,1147.4922,1150.271,1134.0138,1134.2424
1388.8091,1415.7704,1365.0917,1393.8875,1400.0707,1377.939,1373.8943,1376.4559,1377.5079,1381.2871,1386.6659,1390.6942,1417.5525,1428.8877,1408.271,1426.7253,1424.1567,1424.6729
5261.6045,5186.5103,5193.226,5259.801,5301.751,5196.315,5224.744,5132.5854,5149.424,5155.748,5223.345,5321.4814,5346.4883,5265.137,5299.2,5269.4805,5234.8916,5198.4707
6670.206,6590.952,6569.0737,6645.1807,6679.617,6582.2505,6637.651,6611.927,6630.1484,6660.348,6682.8193,6712.0444,6743.5146,6664.602,6677.9604,6667.831,6664.864,6622.5303
12588.456,12513.12,12480.823,12647.611,12743.434,12617.632,12717.248,12778.573,12818.437,12864.332,12860.806,12815.247,12733.113,12535.456,12613.984,12587.651,12681.868,12604.381
2808.7537,2774.0845,2796.1936,2742.8806,2755.9443,2708.8552,2719.258,2716.9463,2757.0764,2772.5142,2818.7847,2862.0679,2821.8289,2754.0845,2745.667,2738.4297,2724.0776,2730.0432
2166.508,2217.316,2214.6907,2164.4685,2155.1648,2110.683,2145.7498,2124.4102,2195.524,2172.5293,2242.2139,2261.2808,2213.1936,2181.7673,2192.0117,2175.0679,2128.641,2137.755
4944.5103,4939.017,4936.787,5044.237,5066.5493,5011.9766,5060.403,5126.657,5130.8374,5156.233,5077.201,5060.565,5058.1934,5001.1084,5080.2534,5112.475,5090.682,5052.216
2691.1553,2690.3208,2666.6855,2669.3535,2679.9436,2650.653,2679.9187,2662.2122,2678.4553,2695.922,2723.275,2792.6333,2758.513,2720.9084,2719.725,2683.429,2684.322,2663.0493
14267.676,14161.671,14131.454,14333.076,14428.304,14244.279,14402.98,14405.7,14412.875,14513.396,14533.121,14492.748,14387.619,14171.867,14241.03,14228.16,14324.453,14238.788
7857.839,7821.594,7811.697,7930.6294,8011.0806,7944.514,8015.982,8087.823,8110.122,8142.656,8106.7773,8036.0034,7953.295,7836.339,7881.767,7879.736,7949.459,7901.419
6460.3706,6380.718,6322.1064,6345.6504,6369.6504,6279.663,6302.0137,6235.7896,6268.8896,6293.06,6363.308,6490.0938,6495.816,6394.3906,6413.8804,6366.5547,6354.8345,6310.041
3370.2307,3280.6648,3227.8247,3280.1016,3203.15,3122.533,3112.9922,3006.8533,3022.273,3068.2036,3128.8486,3237.276,3274.121,3206.6619,3175.643,3143.168,3128.421,3104.104
3827.574,3654.7847,3675.1494,3700.4805,3693.3005,3735.019,3752.9207,3793.1404,3783.928,3691.7012,3714.076,3752.895,3728.2417,3705.3042,3692.778,3653.4526,3667.1519,3622.5818
1623.7644,1540.9146,1567.992,1547.3618,1517.344,1477.7947,1456.4384,1379.7086,1398.077,1459.1105,1433.2744,1546.435,1588.0002,1542.5763,1521.5729,1473.6757,1454.2173,1437.1459
1156.2485,1063.276,1045.7012,1061.3695,1035.8093,1002.0735,998.1127,900.4223,901.0553,920.7344,955.7109,1077.9651,1104.0067,1071.0757,1062.0347,1001.25305,977.10114,961.91876
6599.4683,6337.4517,6207.0757,6155.8804,6088.5054,5991.281,6057.6978,6006.896,5909.4487,5993.023,6095.4688,6262.388,6349.6226,6235.4937,6192.6016,6125.587,6110.074,6088.2354
12008.644,11909.454,11880.528,11982.993,12068.837,11958.435,12041.247,12054.956,12116.013,12153.412,12199.336,12232.351,12159.138,11986.522,12017.372,12018.072,12050.968,11963.838
6561.405,6518.1826,6492.7104,6536.523,6578.5093,6517.6733,6564.6265,6560.8433,6584.034,6607.6074,6639.609,6671.214,6641.9956,6551.637,6566.939,6564.234,6579.7144,6539.4644
17925.422,17778.082,17734.545,17876.33,17990.102,17803.008,17897.643,17891.22,17965.2,18025.387,18099.193,18181.988,18099.908,17853.076,17899.477,17894.486,17962.29,17855.264
3434.5964,3460.7612,3442.6404,3497.427,3533.295,3538.116,3484.08,3456.6582,3435.9333,3498.502,3499.828,3465.2534,3465.1392,3414.7312,3450.4094,3440.5813,3504.962,3535.1345
2404.1477,2382.6226,2402.6497,2496.1458,2533.9595,2476.2615,2440.1807,2430.5718,2452.1785,2462.0178,2459.5503,2496.289,2466.8403,2428.4177,2424.7847,2445.9678,2478.8486,2456.9207
9397.347,9375.45,9418.311,9568.207,9712.255,9655.964,9720.599,9631.789,9593.326,9601.006,9592.038,9634.608,9628.407,9520.096,9597.771,9616.784,9681.896,9622.499
2664.004,2629.4622,2632.9653,2577.5293,2593.9094,2603.4963,2629.5054,2490.242,2504.887,2592.467,2669.685,2686.4084,2673.1045,2572.1194,2573.9111,2581.4692,2622.6863,2607.4258
5467.1416,5363.224,5440.652,5431.7095,5463.1978,5378.4688,5354.4297,5313.348,5386.8945,5458.0254,5483.841,5569.2495,5526.339,5427.9863,5471.6577,5475.6724,5467.4844,5419.3594
3705.877,3643.418,3626.2856,3649.9766,3675.9968,3601.6514,3700.2961,3585.7495,3651.7861,3731.0027,3757.7878,3748.362,3659.7256,3606.4836,3612.543,3613.9846,3663.2878,3655.5608
19700.182,19535.938,19583.268,19799.63,19908.986,19669.436,19680.986,19648.316,19731.088,19786.24,19897.424,19947.01,19956.662,19707.732,19809.621,19791.955,19871.979,19731.309
4990.354,4836.859,4912.8896,4924.997,4920.146,4835.512,4832.9595,4737.4536,4753.8047,4794.7173,4817.157,4947.0054,4985.124,4875.4556,4853.2515,4870.3364,4877.414,4845.7314
2470.6465,2459.9695,2466.0159,2527.5347,2552.6733,2516.7305,2538.3413,2502.7292,2504.5203,2524.633,2516.355,2514.0437,2531.9917,2504.855,2531.9978,2532.5251,2574.4434,2562.251
3753.9888,3724.575,3797.5784,3820.4172,3873.7039,3815.869,3844.343,3747.3604,3798.2065,3930.5044,3920.2322,3917.734,3888.833,3855.905,3851.8818,3839.16,3880.9238,3800.3113
11018.601,10930.071,10958.395,11045.8125,11096.51,10945.031,11017.452,10962.741,11028.251,11141.7295,11179.303,11212.771,11197.702,11035.248,11100.267,11060.991,11076.732,11004.307
6356.848,6189.684,6179.02,6281.0806,6295.621,6236.741,6187.9546,6179.9785,6213.4707,6311.5586,6372.0884,6404.443,6412.5195,6307.0005,6261.5874,6208.66,6279.5234,6246.1772
2395.868,2370.466,2451.6162,2477.4016,2495.1355,2470.7148,2397.8413,2403.013,2375.648,2468.663,2506.34,2533.436,2468.2058,2423.0454,2432.5234,2437.5188,2471.396,2450.461
5041.9785,4978.1987,4966.5107,4931.7812,4951.685,4850.1504,4872.9175,4798.0996,4844.2466,4977.8184,5050.934,5087.5483,5038.624,4967.5254,4956.494,4938.61,4952.871,4914.065
5387.509,5252.3394,5257.7817,5274.869,5225.4307,5106.8184,5106.6323,4986.579,4998.817,5052.9004,5123.563,5259.5933,5313.5444,5221.442,5200.624,5166.65,5148.21,5114.396
6643.074,6540.0977,6546.8096,6545.078,6552.989,6485.922,6517.396,6516.6455,6536.7144,6539.307,6596.8745,6662.4717,6644.3076,6538.9287,6547.1606,6499.589,6490.449,6455.507
