V1,V2,V3,V4,V5,V6,V7,V8
6761.1904,6699.462,6741.0674,6781.7344,6860.153,6878.6104,6908.9546,6880.7886
6994.9556,6946.5396,6966.55,7009.063,7088.591,7116.8833,7148.8096,7153.4385
7090.9727,7146.493,7166.948,7181.1797,7280.2456,7305.8716,7347.4946,7308.149
7629.0356,7588.525,7627.6655,7664.49,7747.286,7773.902,7809.917,7811.209
1263.6486,1162.4062,1210.7633,1300.1265,1206.183,1168.5293,1293.7394,1310.9393
9773.368,9849.052,9870.625,9923.542,9967.432,9993.266,10026.875,10089.81
3378.9785,3371.64,3388.1057,3411.0562,3434.753,3444.889,3443.103,3476.1267
2617.8958,2603.6538,2617.9204,2634.0547,2648.4268,2655.386,2666.0764,2715.6755
2518.3164,2503.5212,2516.0618,2536.4246,2548.0815,2559.4705,2569.1055,2590.7861
2585.703,2562.499,2591.9238,2603.095,2620.3677,2627.659,2645.113,2673.7766
1181.3018,1173.4115,1183.1946,1189.5139,1202.1967,1207.4193,1213.0226,1221.05
3307.6555,3193.1062,3322.304,3369.301,3395.055,3245.4932,3392.4688,3432.6707
1798.4839,1804.1364,1809.4661,1820.2242,1864.0532,1871.4608,1842.0925,1862.0104
12144.356,12136.115,12146.019,12340.714,12400.0625,12307.356,12489.63,12520.91
1288.234,1368.6797,1358.2545,1322.718,1306.005,1299.5575,1332.7839,1349.1653
2059.4265,2063.2344,2097.2664,2071.8577,2063.8398,2122.9202,2133.2478,2132.4692
2467.833,2492.761,2488.617,2498.938,2494.1782,2514.0903,2468.9495,2561.838
4748.7803,4775.3374,4889.261,4899.756,4848.6006,4824.9873,4975.0317,4878.1357
5626.388,5621.733,5669.839,5720.8145,5742.729,5751.782,5780.468,5814.034
6261.7227,6290.872,6218.623,6355.5034,6385.292,6406.0103,6399.524,6453.588
9617.427,9565.471,9652.255,9755.833,9800.04,9833.619,9804.312,9899.995
5191.4805,5205.445,5281.2246,5312.369,5212.624,5267.012,5347.2466,5359.441
6029.889,5970.1035,6050.79,6114.534,6165.118,6156.4014,6190.7676,6238.885
2397.8223,2301.3286,2439.9666,2409.578,2345.766,2397.6907,2397.6074,2424.2466
1429.7755,1403.5826,1437.333,1404.493,1361.3152,1457.8811,1438.6183,1441.0192
8507.869,8397.482,8426.779,8588.532,8607.31,8491.66,8558.69,8718.842
9300.719,9239.713,9404.778,9397.816,9448.633,9520.588,9421.908,9605.882
4960.8755,4989.9116,5011.9478,4905.0757,5047.144,5060.3975,5079.1875,5125.8857
