V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
697.92053,697.9293,697.88055,697.7753,697.68536,697.6372,697.65094,697.6955,697.718,698.05914,698.2966,698.2829,698.44696,698.4734,698.34674,698.3767,698.4306,698.4417,698.6457,698.6313,698.65186,698.6585,698.68555,698.65204,698.7209,698.7191,698.7094,698.71387,698.87646,698.8967,698.9352,698.8505,698.8805,698.8498,698.8056,698.6915,698.68555,698.7053,698.7309,698.7458,698.72473,698.6893,698.65576,698.65125,698.6057,698.9199,698.9678,698.93146
3064.6191,3064.5908,3064.4082,3063.9775,3066.2444,3066.0388,3066.028,3066.145,3066.27,3066.3682,3067.0781,3067.0164,3068.4346,3068.509,3067.2534,3067.358,3067.5098,3068.9507,3069.0916,3069.1423,3069.1072,3069.147,3069.2305,3069.1606,3069.121,3069.045,3069.0085,3069.0234,3069.0396,3069.386,3069.309,3069.397,3069.5852,3069.5225,3069.3281,3069.1128,3069.085,3069.164,3069.4504,3069.5034,3069.4426,3069.2688,3069.1316,3069.1145,3069.2131,3069.4111,3069.5854,3069.651
1158.9926,1158.4491,1158.7703,1158.662,1158.5667,1159.0795,1159.0782,1158.5571,1158.5833,1159.0663,1159.0509,1159.8507,1159.855,1159.8755,1159.9045,1159.9482,1159.967,1160.0149,1160.0785,1160.0917,1160.102,1160.1118,1160.2517,1160.2351,1160.1869,1160.1718,1160.263,1160.2167,1160.2106,1160.2401,1160.272,1160.2937,1160.3094,1160.2761,1160.2332,1160.1976,1160.171,1160.1873,1160.2173,1160.3037,1160.283,1160.2496,1160.2197,1160.2129,1160.3508,1160.401,1160.4443,1160.5688
4975.821,4975.7554,4975.8774,4975.25,4974.7383,4974.538,4974.139,4975.2446,4975.6035,4975.586,4974.465,4974.3696,4977.164,4976.6216,4976.6636,4974.6704,4977.829,4977.957,4978.077,4978.3765,4978.428,4978.496,4979.094,4978.7764,4978.6943,4978.783,4978.7456,4978.782,4979.0273,4979.0815,4979.258,4979.395,4979.529,4979.339,4979.06,4978.846,4978.6304,4978.7627,4978.9077,4979.26,4979.1675,4978.6406,4978.471,4978.4355,4978.616,4978.8633,4979.101,4983.023
2662.9348,2661.309,2661.1687,2660.752,2660.9263,2660.625,2660.7222,2660.8562,2662.5698,2662.7764,2662.6975,2663.8052,2663.8193,2663.9204,2663.0298,2662.5808,2662.6692,2664.078,2664.676,2664.7534,2664.7336,2664.8584,2664.8157,2665.099,2665.0151,2664.918,2665.5054,2665.4268,2665.549,2665.0054,2665.1582,2665.2627,2665.3113,2664.8933,2664.6582,2664.488,2664.2307,2664.7524,2664.8765,2664.9302,2664.6965,2664.5325,2664.367,2664.67,2664.8835,2664.5234,2664.7463,2669.0288
6362.5474,6362.4766,6362.281,6361.854,6361.3975,6361.13,6361.08,6361.1914,6361.3677,6361.642,6370.9404,6370.8,6370.798,6370.9023,6371.054,6371.1772,6371.508,6371.5557,6372.4854,6372.5576,6372.6196,6372.6763,6372.6724,6372.542,6372.4624,6372.285,6372.2344,6372.271,6372.351,6372.5054,6372.6606,6372.7617,6372.742,6372.5874,6373.304,6373.0464,6372.996,6373.109,6373.2197,6373.2593,6373.4136,6373.2266,6373.066,6373.052,6373.191,6373.1743,6374.515,6374.9863
39211.055,39208.69,39208.234,39204.758,39201.117,39196.625,39196.793,39199.312,39201.46,39201.402,39200.66,39200.043,39199.445,39200.33,39201.85,39203.926,39205.547,39207.16,39209.027,39208.555,39228.86,39229.11,39232.426,39232.113,39231.277,39230.586,39230.227,39230.58,39233.32,39234.742,39236.316,39234.54,39234.438,39233.574,39231.457,39229.445,39229.074,39229.67,39230.66,39231.21,39230.508,39228.83,39229.977,39229.684,39232.996,39235.023,39240.094,39271.887
31504.896,31507.158,31503.324,31499.475,31508.146,31506.332,31505.377,31506.492,31509.209,31509.238,31508.453,31522.916,31523.113,31524.092,31510.555,31511.91,31513.344,31513.81,31529.096,31529.938,31530.648,31530.94,31530.793,31534.688,31536.008,31535.389,31534.945,31535.287,31535.998,31537.182,31538.783,31541.135,31539.865,31538.277,31536.326,31534.873,31532.96,31534.783,31533.883,31535.559,31534.736,31533.242,31531.76,31531.402,31532.75,31533.498,31540.059,31539.719
37180.26,37180.535,37178.992,37186.66,37193.49,37192.094,37192.066,37193.004,37194.285,37194.203,37206.746,37206.234,37206.004,37206.77,37207.887,37209.254,37209.777,37210.63,37212.35,37211.76,37212.36,37212.574,37213.66,37218.066,37217.19,37217.645,37217.324,37216.895,37216.855,37218.004,37219.227,37219.832,37220.168,37219.883,37217.574,37215.844,37215.527,37216.867,37217.848,37218.207,37217.63,37216.324,37215.332,37215.125,37215.992,37217.508,37219.164,37220.492
425.64435,425.6307,425.622,425.7241,425.70963,425.70096,425.701,425.68442,425.69354,425.6964,425.7793,425.77603,425.79626,425.79654,425.80212,425.8072,425.81085,425.8159,425.81854,425.82507,425.82822,425.81506,425.81348,425.8072,425.8713,425.86887,425.86716,425.8985,425.8969,425.884,425.8896,425.88187,425.8985,425.89246,425.88437,425.8822,425.85965,425.8803,425.885,425.88718,425.88394,425.87756,425.87183,425.86063,425.86563,425.83047,425.85132,425.91248
