V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
5931.9854,5982.7373,6007.143,6008.2637,5992.3896,5968.7734,5945.3,5924.688,5904.605,5880.594,5850.5815,5816.348,5782.1396,5751.3735,5726.032,5706.8047,5695.0723,5637.2256
2028.5859,2039.981,2045.7559,2045.9783,2042.0879,2036.4231,2030.7881,2025.8787,2021.1207,2015.5728,2008.8015,2001.155,1993.5647,1986.7949,1981.2456,1977.0916,1974.592,1973.283
13256.665,13240.692,13238.795,13244.141,13256.076,13274.228,13297.046,13320.948,13341.64,13356.101,13363.738,13365.879,13364.849,13362.7295,13360.39,13357.295,13352.35,13395.339
6629.199,6632.3105,6633.703,6633.7373,6632.7773,6631.366,6629.967,6628.7305,6627.546,6626.202,6624.6,6622.8335,6621.112,6619.614,6618.4146,6617.541,6617.0303,6630.87
4449.514,4449.301,4449.356,4450.0796,4451.467,4453.566,4456.332,4459.455,4462.316,4464.3296,4465.1797,4465.0103,4464.2344,4463.293,4462.3774,4461.43,4460.329,4453.2886
11880.403,11878.286,11877.797,11880.834,11887.108,11896.631,11909.151,11923.577,11937.797,11948.8955,11954.71,11955.352,11952.912,11949.555,11946.251,11942.601,11937.802,11851.475
1219.4973,1219.8152,1219.8934,1220.3674,1221.2289,1222.5372,1224.2733,1226.2284,1228.0244,1229.2721,1229.7576,1229.5662,1228.978,1228.289,1227.6324,1226.969,1226.2249,1220.4276
1547.5553,1545.888,1545.4921,1546.7982,1549.726,1554.3651,1560.5519,1567.4563,1573.7334,1578.2388,1580.6003,1581.1782,1580.7153,1579.9076,1579.0414,1577.9581,1576.3082,1576.4235
5127.439,5128.2153,5128.7446,5128.928,5128.909,5128.9136,5129.0796,5129.407,5129.654,5129.54,5128.933,5127.8887,5126.645,5125.404,5124.307,5123.3594,5122.618,5118.4995
6989.045,6997.533,7001.408,7001.3975,6998.533,6994.426,6990.3574,6986.8193,6983.5815,6980.1875,6976.4634,6972.6377,6969.0938,6966.0737,6963.678,6961.936,6960.942,6963.0327
12464.929,12465.031,12465.668,12466.512,12467.751,12469.733,12472.614,12475.98,12478.917,12480.498,12480.206,12478.3,12475.506,12472.545,12469.783,12467.244,12464.801,12459.349
2735.2373,2735.8296,2736.1228,2736.14,2735.9604,2735.695,2735.4343,2735.2083,2734.9753,2734.661,2734.2102,2733.6194,2732.9402,2732.2566,2731.6414,2731.1465,2730.821,2723.2908
2141.8145,2142.3694,2142.638,2142.652,2142.4875,2142.237,2141.9854,2141.761,2141.5286,2141.2166,2140.772,2140.1995,2139.5615,2138.9458,2138.4133,2137.9968,2137.7295,2131.7664
5046.071,5046.935,5047.223,5047.559,5048.0117,5048.7466,5049.8364,5051.1377,5052.262,5052.8306,5052.6714,5051.87,5050.7056,5049.4907,5048.3496,5047.304,5046.3237,5033.721
2666.725,2666.2278,2666.2341,2666.3687,2666.6272,2667.0195,2667.5374,2668.1147,2668.6433,2669.0159,2669.177,2669.1504,2669.0134,2668.8467,2668.684,2668.5159,2668.3152,2662.0046
14058.102,14057.154,14057.535,14058.267,14059.472,14061.487,14064.563,14068.584,14072.789,14075.669,14075.966,14073.812,14070.47,14067.124,14064.227,14061.6455,14059.226,14050.939
7746.3013,7746.7046,7747.5625,7748.4966,7749.837,7751.9595,7755.141,7758.8906,7762.1514,7763.8213,7763.366,7761.0796,7757.7607,7754.236,7750.9688,7747.9565,7745.1377,7751.2974
6261.16,6260.6655,6260.896,6261.1074,6261.356,6261.7734,6262.419,6263.2065,6263.892,6264.2295,6264.0654,6263.473,6262.6475,6261.7817,6260.9937,6260.283,6259.635,6243.7275
2829.3591,2829.7102,2831.7576,2833.2275,2834.7148,2837.164,2841.1792,2846.2422,2850.6367,2852.4556,2850.7134,2845.8096,2839.1614,2832.3958,2826.2158,2820.7263,2815.8203,2678.727
3246.0457,3248.7573,3250.9724,3251.7317,3251.692,3251.6606,3252.3867,3253.7307,3254.7612,3254.3103,3251.7297,3247.3755,3242.1096,3236.9153,3232.2766,3228.3145,3225.1528,3187.9497
1297.925,1297.5631,1298.3749,1299.0178,1299.697,1300.8234,1302.6366,1304.8877,1306.8574,1307.7257,1307.0623,1305.0449,1302.2894,1299.4514,1296.8569,1294.5602,1292.4905,1253.0233
817.39294,818.68414,819.7749,820.0393,819.7523,819.3518,819.1839,819.252,819.22687,818.6511,817.2949,815.281,813.02344,810.8,808.7389,806.86365,805.3201,803.19147
