V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37978.785,37856.242,37869.098,37881.902,37893.746,37903.816,37912.324,37920.586,37930.062,37941.016,37952.016,37961.297,37966.023
3799.3484,3783.7476,3785.338,3786.9006,3788.3418,3789.5732,3790.6162,3791.6245,3792.7727,3794.089,3795.4058,3796.5205,3797.114
9704.13,9702.157,9700.074,9698.1455,9696.521,9695.224,9694.11,9692.931,9691.575,9690.128,9688.881,9688.032,9686.107
2300.271,2302.3232,2304.792,2307.3506,2309.799,2311.9155,2313.6748,2315.4019,2317.4849,2320.0688,2322.8496,2325.2817,2352.0056
1659.9636,1662.6552,1667.1052,1671.691,1676.0164,1679.7109,1682.7843,1685.8466,1689.518,1694.0618,1698.8466,1702.9475,1707.4548
564.04614,565.693,568.1377,570.6212,572.9308,574.91327,576.58246,578.22046,580.1489,582.43744,584.8028,586.8108,587.90686
2754.2952,2759.8542,2768.1843,2776.5234,2784.3357,2791.029,2796.6401,2802.1519,2808.5913,2816.1726,2823.9226,2830.463,2837.084
2360.6533,2307.7495,2318.3833,2328.602,2337.936,2345.9048,2352.663,2359.1267,2366.2676,2374.268,2382.1362,2388.7817,2393.1807
6338.08,6201.2334,6207.0923,6212.781,6218.272,6223.2407,6227.586,6231.709,6236.013,6240.7285,6245.4946,6249.8726,6255.1763
5066.071,5060.4507,5058.0347,5055.7773,5053.85,5052.3105,5050.944,5049.4756,5047.7593,5045.9097,5044.289,5043.18,5042.347
405.23666,404.47473,405.22006,405.98438,406.7104,407.33197,407.8473,408.35602,408.97876,409.7414,410.55112,411.24408,411.77307
1057.9594,1058.5504,1058.4481,1058.3752,1058.3486,1058.3572,1058.378,1058.3966,1058.411,1058.4326,1058.4727,1058.5365,1058.5339
2258.0798,2258.6787,2257.1528,2255.7537,2254.588,2253.6724,2252.9,2252.089,2251.1528,2250.1763,2249.3408,2248.7896,2248.4785
2266.2417,2265.3018,2263.8003,2262.423,2261.2654,2260.3542,2259.5808,2258.7776,2257.8486,2256.8765,2256.0352,2255.4758,2255.2002
3927.203,3925.3706,3915.3892,3906.099,3898.3074,3892.1084,3886.7595,3881.1636,3874.625,3867.7605,3861.7998,3857.7502,3849.2168
3927.203,3925.3706,3915.3892,3906.099,3898.3074,3892.1084,3886.7595,3881.1636,3874.625,3867.7605,3861.7998,3857.7502,3849.2168
12080.572,12076.245,12074.058,12072.022,12070.311,12068.925,12067.728,12066.449,12064.957,12063.368,12061.981,12061.035,12060.496
4448.617,4448.9844,4450.946,4452.9434,4454.838,4456.4443,4457.804,4459.1406,4460.7227,4462.631,4464.6313,4466.341,4468.504
2871.5107,2882.1826,2893.369,2904.6018,2915.1614,2924.199,2931.8298,2939.2341,2947.9622,2958.166,2968.6523,2977.5806,2982.5337
4345.255,4350.3535,4356.7915,4363.353,4369.5825,4374.949,4379.4033,4383.7847,4389.0977,4395.581,4402.439,4408.318,4411.2397
1999.2186,2006.8866,2013.0088,2019.2228,2024.9991,2029.9708,2034.146,2038.204,2043.0488,2048.7168,2054.5908,2059.5413,2071.022
3516.358,3502.7056,3514.6763,3526.4888,3537.4282,3546.7793,3554.7102,3562.3381,3571.0195,3580.9202,3590.8965,3599.3293,3608.6084
805.0209,805.60364,806.6551,807.73126,808.74084,809.60675,810.34247,811.05023,811.9062,812.9348,814.01447,814.9312,815.4593
6441.0635,6426.3096,6447.73,6468.713,6488.1567,6504.7773,6518.789,6532.3975,6547.892,6565.578,6583.3926,6598.398,6606.842
1078.0735,1070.6499,1069.03,1067.6392,1066.6003,1065.868,1065.3218,1064.7803,1064.171,1063.5607,1063.1033,1062.8787,1061.5653
2945.0586,2945.6345,2950.6355,2955.6548,2960.4138,2964.5408,2968.034,2971.3972,2975.2134,2979.6494,2984.233,2988.1982,3003.0068
2122.1416,2134.6406,2146.5056,2158.4668,2169.6948,2179.205,2187.26,2195.1492,2204.3262,2215.1519,2226.2825,2235.678,2245.364
3386.1602,3347.6372,3374.0042,3399.1965,3422.1536,3441.9407,3458.6777,3474.6912,3492.0662,3511.2856,3530.2432,3546.3572,3555.4292
644.66504,640.361,641.8476,643.359,644.7775,645.99365,647.0138,648.01733,649.2119,650.65234,652.14795,653.4213,655.0773
3657.9539,3667.4094,3676.2397,3684.9846,3693.136,3700.118,3706.042,3711.733,3718.21,3725.6401,3733.1733,3739.5789,3742.783
779.32416,744.23975,747.17847,750.0739,752.75543,755.0244,756.9615,758.81934,760.9367,763.36676,765.80206,767.8445,770.7493
3999.5527,3983.7524,3992.1284,4000.1199,4007.6772,4014.372,4020.1494,4025.6367,4031.449,4037.7922,4044.1467,4049.823,4058.064
1497.2563,1501.2451,1504.4963,1507.833,1510.9525,1513.6306,1515.8763,1518.0798,1520.7324,1523.9391,1527.2856,1530.1368,1531.8066
1134.1792,1115.2046,1117.0505,1118.8124,1120.4263,1121.8044,1122.9688,1124.0864,1125.3179,1126.6781,1128.0204,1129.1534,1132.4706
1101.5897,1104.2488,1106.5845,1108.9835,1111.2324,1113.1611,1114.7838,1116.3639,1118.2725,1120.5858,1123.0071,1125.0748,1126.1194
16883.22,16844.752,16838.756,16835.395,16836.318,16840.156,16844.74,16849.066,16853.078,16857.938,16864.447,16872.842,16917.348
2870.124,2870.5767,2871.419,2872.2664,2873.0596,2873.739,2874.3108,2874.8728,2875.5344,2876.3152,2877.1216,2877.804,2878.9355
3152.8481,3153.1172,3153.8694,3154.6538,3155.4016,3156.0383,3156.5715,3157.0925,3157.7305,3158.5442,3159.421,3160.187,3161.2632
5733.8696,5731.429,5730.2935,5729.2305,5728.32,5727.592,5726.9375,5726.238,5725.41,5724.522,5723.737,5723.1963,5722.101
5728.3755,5725.958,5724.825,5723.762,5722.8604,5722.1274,5721.483,5720.7847,5719.956,5719.071,5718.2856,5717.75,5716.6772
6234.6807,6233.576,6232.681,6231.8843,6231.253,6230.783,6230.4077,6230.0254,6229.594,6229.1514,6228.7915,6228.576,6228.3413
6245.9263,6244.9985,6244.104,6243.315,6242.6875,6242.225,6241.852,6241.479,6241.054,6240.6196,6240.2676,6240.062,6239.8784
6240.288,6239.269,6238.3755,6237.581,6236.954,6236.4883,6236.112,6235.735,6235.306,6234.8687,6234.5137,6234.3013,6234.093
5722.913,5720.514,5719.3833,5718.322,5717.4224,5716.6934,5716.0483,5715.3564,5714.5317,5713.6426,5712.8594,5712.326,5711.267
2945.665,2946.8496,2947.843,2948.8596,2949.8157,2950.6382,2951.3345,2952.0127,2952.8044,2953.752,2954.742,2955.585,2967.2195
3321.1448,3322.486,3322.1184,3321.8428,3321.697,3321.6597,3321.6663,3321.6685,3321.6594,3321.6606,3321.7214,3321.8462,3321.8333
2944.4922,2945.6765,2946.6707,2947.6858,2948.6455,2949.468,2950.1638,2950.8442,2951.637,2952.5842,2953.5725,2954.4163,2966.1196
3072.236,3070.8386,3069.4866,3068.2366,3067.1765,3066.3342,3065.6096,3064.843,3063.9534,3063.007,3062.1868,3061.6284,3057.877
3293.1262,3292.9922,3294.257,3295.5303,3296.724,3297.7507,3298.6226,3299.4587,3300.4314,3301.5671,3302.7312,3303.7283,3316.327
3294.4167,3294.2944,3295.556,3296.83,3298.0232,3299.047,3299.9185,3300.7556,3301.7266,3302.862,3304.03,3305.0232,3317.5505
6695.1504,6698.2666,6696.6113,6695.1484,6693.9897,6693.132,6692.451,6691.771,6691.0024,6690.2173,6689.5737,6689.191,6688.177
7281.4365,7275.848,7277.785,7279.7646,7281.666,7283.312,7284.705,7286.0415,7287.6294,7289.5273,7291.5327,7293.26,7299.424
1813.1765,1808.6025,1806.5996,1804.7399,1803.1522,1801.8818,1800.7434,1799.5298,1798.1029,1796.5612,1795.2139,1794.2855,1793.7797
2533.182,2532.6423,2532.9778,2533.3237,2533.6562,2533.9429,2534.181,2534.4128,2534.6982,2535.0535,2535.431,2535.7615,2535.9773
4645.477,4605.106,4609.2456,4613.1978,4616.8086,4619.8945,4622.503,4625.0024,4627.751,4630.775,4633.769,4636.313,4640.51
2601.4277,2589.879,2585.1147,2580.6523,2576.8574,2573.7747,2571.035,2568.0483,2564.4998,2560.6863,2557.2944,2554.993,2552.6643
2473.4136,2476.0835,2474.3381,2472.7095,2471.3281,2470.2175,2469.2314,2468.1538,2466.8862,2465.5227,2464.3228,2463.51,2462.9065
3781.9414,3778.493,3781.38,3784.3823,3787.2222,3789.6802,3791.7134,3793.7063,3796.1487,3799.2466,3802.5645,3805.46,3810.8638
2493.074,2478.6904,2472.728,2467.123,2462.391,2458.5715,2455.204,2451.5125,2447.1475,2442.4468,2438.4053,2435.61,2434.1162
9055.071,9052.933,9051.871,9050.886,9050.068,9049.42,9048.863,9048.274,9047.592,9046.87,9046.254,9045.853,9044.377
10714.092,10708.206,10698.164,10688.989,10681.386,10675.472,10670.48,10665.322,10659.446,10653.304,10648.025,10644.58,10628.566
7153.6543,7149.829,7148.096,7146.4863,7145.137,7144.063,7143.1367,7142.1523,7140.998,7139.7773,7138.7197,7138.016,7137.4165
6141.462,6138.034,6135.623,6133.487,6131.7773,6130.505,6129.4805,6128.4507,6127.292,6126.0967,6125.1196,6124.5317,6123.272
13687.996,13647.156,13634.359,13623.171,13614.484,13608.171,13603.188,13598.307,13592.774,13587.14,13582.667,13580.149,13580.348
19095.617,19044.555,19030.166,19017.7,19008.145,19001.316,18996.043,18990.84,18984.963,18979.006,18974.375,18971.908,18974.791
7406.2925,7403.9546,7402.0044,7400.198,7398.6636,7397.4487,7396.3853,7395.2637,7393.951,7392.569,7391.3516,7390.5435,7388.798
13197.271,13188.702,13185.191,13181.895,13179.095,13176.825,13174.839,13172.643,13170.048,13167.262,13164.801,13163.128,13161.766
7118.578,7115.993,7117.528,7119.1094,7120.607,7121.877,7122.944,7123.9966,7125.269,7126.876,7128.5786,7130.049,7130.9595
7118.5547,7116.3745,7117.993,7119.657,7121.2295,7122.5737,7123.6914,7124.788,7126.145,7127.8223,7129.6055,7131.151,7132.788
2636.2917,2635.8435,2636.1875,2636.5186,2636.8213,2637.0796,2637.2976,2637.508,2637.7422,2638.004,2638.2627,2638.4814,2640.0115
2139.1892,2139.9065,2141.8784,2143.924,2145.8613,2147.5093,2148.8718,2150.1904,2151.8562,2153.9973,2156.35,2158.3806,2165.1177
2139.1606,2139.874,2141.8489,2143.895,2145.8376,2147.474,2148.842,2150.162,2151.827,2153.9673,2156.3142,2158.3477,2165.083
2139.1892,2139.9065,2141.8784,2143.924,2145.8613,2147.5093,2148.8718,2150.1904,2151.8562,2153.9973,2156.35,2158.3806,2165.1177
3798.3208,3813.688,3803.398,3793.9197,3785.975,3779.7188,3774.3896,3768.8596,3762.4756,3755.7224,3749.9539,3746.0833,3742.902
24713.785,24739.176,24734.2,24730.29,24727.865,24726.656,24726.014,24725.273,24724.32,24723.477,24723.28,24723.926,24741.525
856.0982,841.50464,843.4451,845.41254,847.2819,848.8884,850.2214,851.5351,853.1238,855.0558,857.0868,858.8381,860.652
3725.0735,3698.5984,3692.1184,3686.6194,3682.5293,3679.7356,3677.6467,3675.5334,3673.1272,3670.708,3668.9648,3668.213,3672.016
3630.8308,3601.9387,3599.5955,3597.8013,3596.893,3596.6567,3596.6628,3596.6028,3596.4019,3596.3406,3596.6272,3597.3838,3608.8235
1128.9974,1106.4485,1111.6063,1116.5607,1121.0847,1124.9419,1128.2192,1131.355,1134.8116,1138.6484,1142.4557,1145.6467,1165.4694
