V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
699.3352,642.2157,545.1029,538.6409,513.565,500.94388,502.67172,512.7156,555.0916,499.1914,549.42755,593.06195,636.6207,608.9348,787.6563,759.22864,778.1815,848.5017,823.02924,845.90466,843.72437,809.9469,767.8771,725.8622,688.2156,620.90765,593.4119,581.11646,519.644,501.93005,479.6787,515.5926,541.0366,518.8557,530.21515,476.1291,614.11566,686.4371,720.8677,765.72504,885.9022,766.2889,827.8336,819.16235,818.3965,809.5127,790.77875,707.8828
3080.246,2843.916,2440.6465,2416.9565,2314.3035,2255.8745,2266.5576,2300.4785,2476.9883,2243.59,2447.2722,2623.9172,2803.6636,2700.0361,3428.6875,3308.9832,3389.9375,3679.024,3567.626,3668.4998,3663.0083,3524.9053,3356.5693,3186.2495,3029.911,2754.199,2639.8,2597.7722,2335.052,2261.8394,2175.2288,2313.2788,2416.3267,2324.2493,2367.1655,2141.585,2715.921,3012.1562,3150.298,3338.1177,3830.1528,3341.3591,3594.7017,3558.6113,3563.6138,3527.4053,3453.431,3113.2717
1171.0126,1104.3188,988.32935,984.27893,955.81775,933.2252,937.44275,941.96936,991.8459,925.35065,979.06573,1025.2925,1075.6049,1055.5149,1252.3599,1217.19,1243.2137,1323.8689,1288.6108,1323.0101,1324.4202,1286.5616,1243.1617,1198.2522,1152.83,1077.6971,1044.5978,1038.7307,958.51245,936.25977,916.20355,946.17334,974.022,946.9585,955.53345,891.62695,1055.729,1136.9409,1173.257,1227.3385,1363.7612,1229.7095,1301.8656,1291.9017,1301.0146,1291.082,1272.6058,1178.8829
5396.539,5389.711,5012.5684,4922.1567,4631.4688,4418.069,4102.777,4046.8298,4134.3223,3860.2114,3919.4946,3997.5103,3870.956,4018.2688,4330.521,4480.5645,4584.966,5079.43,5221.551,5533.202,5658.9917,5668.2573,5723.6143,5682.2065,5338.6064,5198.79,5222.2524,4996.6616,4746.9463,4385.817,4217.3354,4197.8604,4119.078,3971.4658,3802.3735,4028.3633,3972.3262,4062.3994,4315.8984,4468.045,5257.613,4753.3706,5194.539,5464.8184,5694.8047,5725.971,5653.0674,5458.63
2709.705,2431.6396,1952.7983,1932.9348,1813.2504,1720.6405,1737.3615,1756.6694,1963.3186,1685.7363,1908.9227,2102.1038,2309.5063,2221.6887,3042.1958,2897.9873,3005.1926,3342.2332,3197.7375,3342.4211,3347.4722,3190.7546,3011.5117,2823.5042,2635.9812,2320.0974,2184.6543,2160.893,1824.6582,1732.8623,1647.874,1772.3931,1890.049,1776.3689,1812.1783,1547.5105,2226.4497,2563.0178,2713.9375,2939.851,3508.9824,2951.4844,3252.1562,3213.5889,3250.4668,3206.7883,3129.614,2743.3445
5464.4546,5326.534,5434.476,5425.0938,5672.8945,5776.872,5972.081,6241.977,6423.3184,6581.638,6784.198,6976.8506,6826.8584,6760.944,6679.823,6773.9116,6647.123,6581.1523,6365.263,6092.81,5859.9663,5796.324,5680.6924,5468.202,5544.4697,5447.359,5438.3833,5299.904,5430.915,5709.2627,6027.5117,6372.069,6572.6235,6823.1733,6776.1396,6985.6567,6902.993,6628.645,6626.8833,6518.154,6802.931,6050.8174,6206.5024,6032.3228,5709.3945,5779.5703,5546.3105,5538.0586
39678.9,37147.56,32795.676,32615.191,31528.777,30677.8,30835.059,31000.598,32881.023,30353.566,32378.637,34131.336,36016.625,35228.48,42678.355,41366.98,42343.492,45408.945,44087.656,45413.117,45461.254,44038.0,42415.523,40707.973,39003.17,36131.125,34902.6,34696.684,31626.361,30792.418,30022.72,31144.436,32212.652,31179.176,31498.236,29090.414,35266.797,38321.754,39690.246,41748.266,46920.516,41857.246,44592.06,44241.5,44583.137,44186.105,43487.79,39980.695
31637.123,29406.23,25577.52,25341.643,24353.574,23819.441,23877.129,24244.87,25898.906,23703.555,25635.055,27318.969,29017.182,27987.674,34936.25,33809.22,34585.047,37336.65,36329.156,37272.62,37219.28,35902.797,34284.89,32665.629,31180.28,28558.623,27463.734,27023.842,24576.023,23861.838,23023.922,24346.588,25347.71,24458.047,24879.75,22769.408,28179.17,30998.658,32330.771,34086.477,38785.734,34129.36,36547.473,36224.168,36274.008,35912.73,35195.844,31974.59
37322.047,35236.383,31687.262,31471.926,30564.434,30050.459,30141.352,30444.545,31996.686,29939.055,31735.436,33293.348,34874.57,33953.68,40382.38,39331.96,40044.64,42597.73,41622.254,42515.242,42465.023,41247.03,39762.727,38258.906,36881.793,34445.03,33440.68,33066.555,30748.201,30102.502,29334.645,30552.621,31466.445,30651.822,31030.252,29045.537,34102.355,36710.324,37931.473,39587.277,43932.336,39619.836,41858.77,41545.656,41588.695,41264.086,40609.05,37616.74
427.34598,416.91064,398.80106,398.1178,393.64682,390.21533,390.8379,391.64062,399.4307,389.0387,397.49664,404.78625,412.65875,409.3501,440.3021,434.8284,438.85202,451.49316,446.05945,451.35535,451.53366,445.59143,438.73407,431.6569,424.5745,412.7642,407.5943,406.57776,394.1226,390.66217,387.44815,392.26813,396.66348,392.4323,393.83392,383.84833,409.4767,422.22046,427.9508,436.38788,457.7855,436.74878,448.03473,446.4875,447.80847,446.2298,443.2964,428.614
