V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
5612.0576,5643.8438,5667.176,5671.282,5649.3213,5643.0312,5648.672,5614.4185,5606.092,5612.141,5608.0654,5623.351,5640.9385,5586.452,5578.568,5551.251,5500.2017,5427.108
1923.1682,1934.8062,1943.9546,1949.5435,1943.4769,1943.9777,1950.6987,1939.9382,1935.6176,1934.1776,1932.0449,1935.7573,1941.6501,1927.8477,1927.6892,1923.4628,1908.9292,1890.7542
13408.957,13412.742,13407.043,13419.731,13432.165,13437.243,13457.123,13482.531,13511.852,13537.055,13542.814,13532.684,13520.742,13496.103,13505.422,13500.68,13509.495,13512.892
6596.928,6601.3345,6604.57,6605.1704,6604.858,6605.2866,6606.3955,6604.185,6603.519,6602.517,6603.05,6604.3613,6604.9883,6601.6284,6600.5654,6599.0596,6596.9736,6591.6333
4333.6846,4335.6724,4336.383,4336.33,4335.944,4336.184,4335.7207,4334.8804,4335.1304,4334.831,4335.819,4335.493,4335.9644,4333.521,4332.5435,4331.654,4329.816,4326.803
11507.663,11513.259,11503.083,11512.728,11516.971,11516.269,11517.948,11524.236,11528.814,11518.81,11510.897,11486.258,11498.164,11491.665,11494.231,11500.56,11484.654,11486.315
1139.7568,1141.3309,1142.54,1142.4689,1142.2294,1142.3868,1142.5037,1141.5189,1141.4838,1141.3663,1141.9541,1142.6213,1142.676,1140.9718,1140.346,1139.492,1138.6227,1136.1586
1397.4003,1399.6202,1397.1941,1398.7032,1399.272,1399.4663,1398.4498,1400.0251,1400.9441,1398.6143,1398.4037,1392.4277,1395.2195,1393.2933,1392.8154,1393.9088,1389.7815,1389.2812
4982.374,4984.1,4987.291,4983.3896,4981.664,4980.63,4977.8506,4974.9795,4976.024,4978.965,4981.394,4985.477,4985.3535,4978.5923,4975.0728,4969.9453,4966.0625,4957.256
6942.7285,6954.1973,6964.5767,6964.3687,6960.5635,6959.577,6962.0645,6952.2666,6950.0327,6951.079,6952.143,6959.855,6962.2427,6947.7466,6943.7954,6935.3613,6926.002,6904.128
12830.915,12818.386,12804.3,12791.686,12807.978,12811.095,12806.064,12821.915,12879.995,12899.406,12912.96,12903.978,12865.77,12850.073,12838.83,12823.182,12829.333,12827.987
