V1,V2,V3,V4,V5,V6,V7,V8
6743.8594,6715.103,6735.8936,6776.342,6751.593,6748.624,6771.269,6815.387
6942.5684,6931.702,6953.4746,6990.1113,6958.5664,6966.031,7000.818,7027.104
7244.21,7237.618,7265.624,7307.915,7271.173,7278.613,7327.328,7351.493
7596.663,7578.998,7595.287,7631.634,7604.639,7608.27,7631.813,7666.692
1198.5693,1207.232,1240.4685,1259.9631,1203.5446,1223.9856,1259.3948,1280.7261
9758.271,9808.194,9821.545,9840.815,9878.418,9914.149,9912.559,9925.188
3347.4038,3357.1504,3357.7603,3365.1653,3375.7212,3381.383,3378.8616,3384.272
2595.2375,2599.3613,2612.3662,2622.8298,2633.3828,2633.1348,2642.5,2650.4194
2455.5747,2461.41,2461.7322,2463.5554,2462.6494,2467.8022,2466.5195,2468.7764
2532.512,2531.6177,2535.7205,2536.78,2531.924,2532.4988,2536.629,2538.6614
1154.2631,1150.9235,1152.9261,1153.4191,1154.5769,1151.7263,1153.6669,1154.7539
3264.883,3203.4048,3264.3958,3341.7354,3295.7715,3222.4468,3283.369,3356.378
1756.7587,1772.9329,1777.0421,1784.7592,1782.2461,1797.0386,1797.7188,1803.5964
11949.6455,12102.281,12149.78,12150.724,12155.985,12269.768,12293.615,12292.897
1309.4716,1319.7694,1319.9369,1320.8369,1312.2816,1320.831,1317.3745,1322.7241
2117.5483,2110.6423,2157.8687,2199.1055,2200.3481,2183.433,2223.5505,2261.0344
2455.6785,2477.6658,2481.819,2498.3486,2511.327,2528.1157,2525.8687,2537.517
4898.328,4901.111,4933.6763,4951.8228,4890.595,4907.0117,4943.2383,4966.5625
5482.1465,5531.622,5544.0347,5547.1367,5545.7925,5583.7744,5589.2803,5591.795
6300.9297,6344.6714,6346.9565,6382.0845,6429.2686,6454.6084,6441.9355,6468.389
9599.568,9634.6875,9671.362,9705.606,9696.884,9743.049,9768.549,9800.199
5240.467,5294.9336,5298.9854,5328.9893,5334.3145,5380.4033,5368.444,5397.1772
5957.329,5911.944,5962.253,6025.3867,5993.516,5934.8296,5985.98,6045.0625
2353.364,2346.8235,2355.07,2362.4778,2360.7764,2351.4976,2359.38,2366.8547
1370.4451,1367.8461,1372.8934,1371.9037,1370.153,1368.7148,1373.5682,1374.2817
8318.309,8339.327,8504.821,8600.8955,8326.832,8408.581,8582.341,8691.621
9224.771,9253.286,9260.01,9254.232,9233.355,9256.719,9262.053,9263.269
4818.1016,4847.8843,4859.6963,4850.0356,4839.9746,4861.91,4871.62,4865.8755
1858.719,1851.5682,1857.736,1855.7233,1862.0198,1856.4594,1863.631,1859.6047
3091.7979,3093.6543,3085.2239,3087.935,3096.286,3096.5723,3090.3523,3090.0823
