V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
5532.525,5507.744,5451.5723,5428.3125,5509.3955,5566.6895,5796.192,5844.747,5839.3667,5908.6494,6135.623,5820.592,6087.954,6043.3877,5838.1016,5753.7944,5612.1406,6948.506
1948.0264,1918.8494,1931.14,1957.3711,1966.3446,1949.8699,2116.7383,2106.099,2157.6497,2158.2222,1936.9688,2067.5034,2065.7837,2056.0125,1669.5664,1669.8658,1689.8687,1844.9946
13333.619,13276.247,13257.484,13285.149,13253.148,13286.83,13349.929,13367.026,13329.427,13335.988,13407.866,13466.833,13438.094,13444.688,13510.686,13460.661,13457.305,13540.474
6571.484,6568.8584,6557.0425,6554.5054,6561.4595,6565.9414,6585.0645,6590.03,6582.301,6587.359,6597.0845,6596.4814,6622.801,6612.2515,6631.814,6634.0303,6637.0425,6671.3887
4400.9604,4389.7466,4389.84,4388.8994,4386.2183,4388.185,4386.82,4375.3745,4375.6597,4382.895,4371.6104,4362.084,4362.0415,4362.378,4372.7764,4387.4185,4384.5513,4386.678
11681.894,11594.241,11616.354,11593.907,11587.645,11594.103,11583.002,11534.646,11532.155,11557.248,11533.228,11591.815,11590.344,11596.211,11658.723,11678.583,11673.6,11674.609
1152.9032,1153.5767,1144.3185,1143.4011,1144.1732,1140.648,1151.6771,1155.0754,1157.532,1157.6154,1160.8344,1162.0842,1162.1649,1162.2332,1178.568,1177.0878,1181.7882,1181.6202
1448.464,1445.3313,1416.9979,1416.8353,1426.6547,1419.6206,1424.9592,1417.8523,1424.5925,1418.1414,1428.8481,1420.6798,1421.5176,1422.9905,1429.0657,1429.8031,1430.5931,1429.048
5141.988,5140.048,5120.1904,5116.6206,5116.485,5113.9053,5135.101,5138.8726,5141.3716,5137.8286,5169.848,5189.975,5181.982,5167.977,5183.7812,5168.59,5167.2515,5154.037
6459.838,6515.8833,6450.2905,6445.4443,6484.8677,6505.7188,6847.802,6865.3877,6951.3433,6950.0884,6971.337,6977.2144,6969.8135,6914.793,6660.9766,6667.3833,6660.8657,6667.1553
