V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37090.582,37148.227,37163.258,37178.55,37242.14,37212.25,37325.113,37369.938,37615.55,37685.316,37674.254,37769.15,37165.383
3690.2239,3694.116,3693.126,3694.9368,3693.773,3720.965,3726.064,3737.7932,3759.973,3774.4314,3779.862,3789.8176,3728.632
9746.271,9768.29,9767.557,9756.4,9747.908,9712.978,9701.243,9682.527,9671.897,9630.813,9620.48,9596.161,9634.619
2084.6714,2085.4482,2085.6528,2085.5544,2096.1846,2178.3235,2313.1084,2309.585,2341.9365,2347.4612,2350.4038,2359.0862,2369.9397
1302.6514,1304.0109,1303.4987,1382.2256,1371.8059,1539.027,1572.7565,1635.4028,1545.1094,1590.4895,1609.7113,1545.7769,1726.615
402.4641,409.45032,411.90027,417.1028,453.0561,449.60333,456.51343,470.03125,491.91193,520.8551,543.38916,547.55066,603.8836
2838.5383,3216.8591,3214.8733,3253.6692,3171.5674,3159.7317,3146.7314,3105.2192,3071.6226,2943.9543,2908.2825,2873.3381,2860.7205
3075.645,2984.8926,3015.3933,2981.2568,2957.7458,2881.0635,2757.4966,2719.8984,2677.7825,2415.931,2348.5476,2275.891,2413.2114
7049.7026,6888.7456,6848.4062,6836.588,6776.9326,6582.1226,6488.3496,6398.985,6343.0835,6293.1377,6223.1963,6162.384,5794.735
5182.0557,5159.2246,5163.56,5161.6504,5147.7437,5102.308,5081.5435,5034.7734,5010.174,4891.74,4870.097,4854.435,4978.316
342.6539,342.69604,342.80685,343.1508,344.8062,345.75446,348.05585,359.4445,387.601,379.60657,378.10672,401.08517,402.90363
1033.7118,1044.2158,1043.6888,1041.0143,1041.4281,1043.2756,1043.8613,1048.9207,1045.5492,1044.792,1041.2736,1035.7937,1050.5143
2305.7083,2280.0327,2288.7693,2293.5447,2290.463,2279.9597,2260.5557,2246.1567,2242.9204,2213.2717,2210.045,2201.9438,2232.3713
2321.6543,2313.244,2315.1035,2313.6191,2309.664,2289.677,2277.1123,2267.4824,2261.891,2232.9146,2221.7925,2212.8467,2260.7605
4368.1533,4233.595,4274.412,4282.2227,4276.749,4159.5703,4094.7227,4018.3203,3981.9812,3729.8223,3670.7007,3614.2893,3899.1436
4415.9297,4281.1943,4294.2705,4289.6367,4272.4497,4163.6553,4131.1943,4034.2925,4005.9385,3806.826,3710.327,3624.6206,3866.3384
12172.287,12161.78,12154.868,12152.75,12142.405,12121.993,12111.86,12088.296,12075.834,12006.383,11984.971,11962.187,12011.388
4307.1533,4308.14,4315.4697,4323.382,4319.8154,4335.2207,4400.2397,4371.8896,4393.0093,4418.877,4443.2734,4468.181,4382.7666
2157.9097,2165.0583,2189.7412,2290.2908,2343.986,2577.7024,2634.2688,2582.0178,2584.959,2649.5417,2681.5825,2644.5894,3017.9868
3839.4607,3845.1074,3853.66,3855.1108,3900.0098,4067.9119,4205.6025,4119.673,4276.559,4384.722,4400.227,4343.2515,4348.7
1604.6792,1610.8127,1627.4708,1689.9813,1703.0815,1852.3326,1906.4106,1996.1617,1970.327,2069.0273,2097.7554,2142.4265,2133.0002
3590.7302,3272.296,3366.822,3512.3674,3494.5676,3524.5605,3488.3777,3454.5051,3489.3872,3429.932,3377.2605,3334.6528,3540.9365
729.48645,729.8673,733.5536,738.8527,737.7106,770.87036,791.8029,801.2447,801.18866,794.3729,790.00104,787.2924,802.6116
6103.5757,6087.5527,6543.312,6745.7036,6721.523,7006.83,7043.4194,7052.829,7017.647,6891.4927,6683.6943,6568.702,7161.794
