V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
7475.566,6878.968,6231.234,6176.787,5610.3833,5534.8213,5953.289,5542.4453,5422.7773,4986.186,5290.5435,6302.201,6953.163,6477.9346,5868.745,5697.9053,5109.862,5157.186
2237.2966,2153.6377,2126.0024,1973.4877,1829.5339,1862.4481,1988.1931,1930.487,1952.8838,1848.9062,1837.5415,2081.7869,2087.1494,2034.5543,1993.264,1907.5964,1724.1373,1806.8818
13190.981,13324.937,13452.619,13444.15,13407.613,13492.908,13533.67,13566.535,13583.413,13595.899,13472.043,13385.494,13315.897,13504.919,13635.818,13553.615,13613.837,13673.226
6572.7236,6572.816,6581.021,6584.2886,6595.1484,6603.8887,6598.858,6587.8267,6579.7324,6583.3364,6585.727,6583.3896,6585.23,6581.9336,6575.5522,6577.7217,6592.1323,6590.7715
4361.7715,4376.378,4374.969,4369.021,4372.2344,4365.6475,4354.2407,4352.825,4360.8667,4355.349,4361.611,4379.338,4375.6294,4389.5366,4383.452,4382.2993,4376.357,4378.1016
11395.008,11354.518,11333.764,11386.405,11384.163,11389.664,11365.562,11353.987,11356.079,11371.802,11359.347,11386.334,11377.875,11369.887,11349.147,11369.298,11368.09,11384.601
1132.4368,1135.4825,1136.2598,1132.8588,1136.7233,1133.5386,1126.8472,1126.3248,1126.4961,1122.005,1124.4319,1141.8174,1140.2642,1146.0513,1144.1667,1140.7758,1140.0795,1139.5085
1391.8425,1390.665,1387.8184,1385.0195,1388.8273,1388.9094,1381.5487,1388.495,1392.1128,1386.9435,1391.9578,1403.3352,1397.2086,1395.6934,1394.3228,1390.8776,1389.4769,1399.7593
5366.553,5521.831,5578.274,5562.6836,5484.98,5353.366,5215.6475,5125.311,5073.092,5008.178,5129.1597,5285.936,5438.6,5549.88,5585.515,5594.051,5507.7886,5380.46
6605.6675,6557.8555,6547.2656,6541.027,6503.089,6504.6646,6483.316,6457.877,6472.9697,6476.633,6501.1323,6521.8203,6531.922,6503.8965,6482.714,6443.8677,6473.421,6455.258
11700.252,11773.257,12469.116,12855.793,13042.361,12910.785,12720.289,12879.921,13098.205,13099.677,12950.191,12475.176,11883.08,11917.349,12582.773,12975.692,13176.973,13031.441
2761.6052,2760.5925,2760.8474,2756.0564,2754.391,2753.4224,2747.0327,2742.4011,2744.434,2748.9836,2749.8096,2753.2673,2754.4568,2756.395,2753.3975,2750.8853,2751.35,2749.201
2169.568,2167.192,2166.0063,2161.0813,2157.201,2153.2769,2149.5347,2146.6873,2147.6152,2150.3289,2154.5405,2159.0974,2159.693,2159.972,2156.9688,2154.084,2151.794,2147.7122
4774.969,4836.432,5110.1562,5247.414,5292.139,5170.6943,5082.27,5215.7563,5307.482,5289.37,5100.986,4914.883,4831.172,4886.979,5140.131,5301.237,5337.269,5199.6987
2697.9832,2688.9573,2674.2188,2672.8987,2669.508,2668.6704,2669.6616,2671.7812,2672.884,2676.2854,2691.123,2698.7427,2699.5757,2689.7612,2676.7253,2674.5896,2672.1484,2672.6338
13411.573,13401.853,14033.0205,14401.418,14555.466,14451.176,14226.149,14323.764,14552.261,14570.16,14596.829,14195.066,13528.281,13504.686,14117.026,14459.528,14658.758,14575.597
6862.608,6929.8857,7677.4785,8100.0503,8304.161,8227.704,8081.3184,8188.922,8396.075,8367.74,8250.5625,7738.535,7066.219,7082.2783,7799.5645,8226.416,8442.004,8364.262
6522.942,6458.05,6314.2603,6283.595,6278.5723,6219.126,6182.616,6190.1973,6203.602,6237.114,6359.133,6476.45,6537.8247,6466.368,6333.171,6302.9663,6297.582,6245.863
3601.6802,3548.6614,4349.64,3688.181,2859.894,2357.602,2182.903,2552.7175,2623.963,2722.7434,2655.3572,3427.5293,3766.9001,3669.5552,4311.4785,3891.104,2775.077,2343.4563
3276.295,3146.329,3302.2996,3380.288,3521.7778,3256.59,3321.8962,3531.8184,3272.0654,3242.4695,3091.2495,3209.2078,3140.5027,2983.887,3193.3906,3335.6785,3315.9995,3087.2192
1849.3201,1876.1335,1952.615,1576.7179,1302.6853,1076.0251,1233.6825,1247.7566,1229.9521,1200.17,1293.9879,1710.6473,1960.4019,1975.8497,1975.9114,1661.5951,1250.3816,1133.0925
1289.6235,1207.238,1354.8434,1268.7656,898.31824,754.2816,960.5186,809.8505,620.6688,614.6149,589.14856,997.8388,1258.394,1174.3898,1342.6833,1295.5479,833.5777,748.12305
