V1,V2,V3,V4,V5,V6,V7,V8
6861.585,6829.2637,6834.029,6781.5054,6834.4307,6780.1055,6793.175,6731.851
7071.439,7081.696,7093.184,7029.087,7051.345,7031.58,7050.0586,6983.2383
7199.4785,7201.2666,7212.208,7135.8433,7183.4487,7159.7207,7164.962,7106.9653
7681.1597,7689.4385,7702.716,7646.7227,7679.5903,7663.373,7671.1187,7627.381
985.5714,893.6986,1153.524,1324.4945,1010.4493,919.6516,1178.2257,1353.7014
9824.4,9806.441,9876.768,9920.645,9959.757,9946.421,9996.023,10046.63
3337.1655,3324.2266,3322.8894,3334.1736,3345.313,3330.7214,3325.8076,3343.3103
2602.796,2583.8943,2609.3398,2634.3682,2637.3313,2620.778,2639.4324,2666.3306
2490.2747,2475.4937,2484.0466,2498.24,2506.6694,2491.3618,2496.4788,2512.713
2542.3096,2528.2646,2551.3787,2551.9595,2546.5142,2531.2583,2554.2686,2556.191
1159.7145,1154.6189,1154.9429,1154.4697,1160.7454,1155.2268,1154.0928,1154.9269
3209.1074,3002.5142,3229.7026,3382.5798,3220.2246,3039.5457,3254.9072,3398.576
1758.9861,1768.25,1778.3782,1775.1353,1794.8181,1802.6545,1806.3539,1806.7738
12643.67,12591.289,12626.917,12635.981,12937.981,12864.92,12878.986,12846.368
1226.2634,1216.2773,1284.9949,1324.6582,1229.2733,1226.342,1292.1312,1332.1127
2043.4181,2018.9978,2101.2324,2119.0955,2124.2485,2103.198,2168.574,2190.153
2442.198,2440.362,2432.524,2463.6257,2471.2942,2467.3677,2450.1018,2486.7273
4668.082,4493.0938,4789.885,4798.4883,4686.6396,4529.639,4827.224,4833.535
5767.4873,5782.0903,5842.686,5876.199,5937.4805,5947.5303,5990.4233,6035.2227
6293.1665,6310.9717,6294.1445,6393.1157,6407.695,6422.564,6395.0566,6495.1895
9725.262,9721.122,9767.999,9901.111,9921.68,9909.972,9936.559,10085.946
5041.2964,5103.784,5168.1357,5253.6943,5136.7207,5164.1636,5229.8706,5324.578
6013.778,5944.5234,6057.5513,6137.2495,6086.214,6009.7603,6115.456,6199.414
2329.9375,2323.893,2346.2136,2334.5315,2329.8865,2325.7827,2348.685,2334.4583
1373.1832,1374.053,1387.6393,1376.3597,1371.9513,1374.8237,1387.6456,1376.2275
7478.9805,7007.317,7367.3027,8576.159,7505.4033,7063.689,7512.714,8618.943
9223.631,9176.822,9265.327,9226.528,9204.784,9177.94,9278.206,9204.747
5049.5044,5054.624,5013.5845,4935.714,5087.468,5099.252,5035.6196,4967.765
1912.6487,1894.0116,1883.7235,1881.0862,1916.4113,1896.9956,1885.991,1887.9768
3106.2346,3121.9731,3072.591,3076.9258,3115.0364,3128.5386,3076.6548,3085.2585
2480.8652,2511.7214,2500.796,2487.5522,2483.2112,2511.047,2502.6309,2490.409
4746.4556,4666.8257,4658.531,4644.314,4773.9746,4696.973,4674.927,4677.659
8273.962,8320.417,8305.324,8265.758,8320.083,8355.096,8327.47,8297.043
7169.365,7249.612,7239.67,7185.705,7170.207,7232.8335,7236.3013,7180.6313
10081.918,10173.148,10170.742,10000.42,10097.098,10180.473,10165.56,10003.492
9145.101,9088.487,9101.295,9099.504,9182.962,9113.409,9138.837,9130.143
4501.0415,4452.392,4425.6855,4460.994,4519.7656,4449.1377,4433.55,4471.891
6392.514,6323.588,6354.4478,6439.4126,6448.5493,6386.132,6428.0825,6473.749
5469.252,5607.7314,6029.5864,6005.8887,5521.772,5633.4854,6070.1387,6059.364
5229.838,5259.7197,5250.3867,5245.1846,5265.716,5293.1855,5278.0557,5275.616
1903.2258,1897.0931,1904.556,1901.3267,1911.5226,1903.3433,1906.387,1906.5989
2110.9585,2096.156,2103.9575,2103.3987,2122.2915,2107.427,2110.201,2111.268
5415.2583,5448.8115,5425.3857,5447.848,5459.2773,5489.6587,5461.1646,5485.6084
1279.7068,1285.8772,1276.2139,1273.1659,1286.7158,1290.593,1278.174,1277.7275
1918.9175,1910.7931,1918.8958,1914.2551,1923.6461,1914.0245,1919.5327,1917.7686
3368.3809,3384.4934,3391.5286,3368.9937,3380.2256,3393.7268,3399.6562,3384.0076
9572.403,9670.693,9610.391,9663.27,9606.912,9693.51,9642.777,9684.601
1409.0632,1378.6456,1402.1533,1424.5923,1424.9615,1394.3475,1419.5299,1434.586
8903.586,9024.771,9041.597,8918.129,8931.639,9040.369,9062.715,8953.597
9237.709,9371.539,9345.112,9258.879,9237.306,9347.622,9340.319,9254.237
