V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2029.1688,2032.3103,2029.1079,2032.3416,2032.2421,2031.1995,2029.3179,2033.2539,2032.4193,2036.2035,2031.1548,2031.6537,2031.0837,2032.0353
2968.2268,2968.04,2973.4202,2968.88,2965.4795,2958.1455,2974.0222,2970.8433,2973.7112,2975.1292,2973.0715,2982.053,2980.9688,2980.6943
1151.8729,1153.0775,1151.2968,1158.1588,1138.627,1126.3021,1150.283,1126.6636,1127.9875,1136.6088,1128.3239,1132.0925,1143.9427,1142.4581
1214.8639,1177.0148,1228.3501,1223.681,1186.0674,1132.9906,1182.8636,1125.7292,1155.4252,1152.8973,1168.4717,1159.4474,1229.7786,1210.3201
5864.393,5870.4653,5863.6006,5868.2144,5869.0444,5863.9526,5870.677,5876.2666,5871.9614,5883.9966,5872.6553,5874.4917,5888.594,5879.6704
3124.7205,3117.281,3138.4172,3123.9001,3138.1633,3147.739,3150.9731,3134.7378,3158.6472,3145.5483,3109.6216,3158.3645,3127.329,3137.4868
5520.304,5571.193,5718.0405,5447.683,5679.5166,5607.8887,5695.1064,5671.2007,5649.7476,5591.3936,5584.6353,5500.872,5542.851,5556.5166
1734.232,1734.6416,1735.7007,1735.8458,1733.6163,1734.2909,1734.1533,1735.1965,1733.7755,1738.2828,1732.1876,1734.8541,1733.9465,1731.4521
1586.906,1587.3613,1588.1222,1588.207,1586.4801,1586.9481,1587.0448,1587.794,1586.6265,1590.6252,1585.191,1587.5757,1586.5813,1584.3672
2630.5178,2627.7073,2634.56,2635.6777,2630.5093,2631.5593,2636.485,2625.2542,2635.2595,2640.472,2633.4333,2631.6902,2622.3682,2636.0017
2432.9868,2431.5823,2433.7312,2436.4268,2435.282,2432.2273,2444.344,2439.5144,2436.8015,2439.091,2435.1267,2437.5688,2430.647,2439.2263
3647.5176,3646.0132,3648.2036,3646.783,3647.5525,3647.9778,3646.9182,3645.3867,3647.6702,3647.0867,3645.5366,3646.144,3646.0876,3646.0164
7214.3867,7209.935,7216.664,7208.16,7212.823,7217.1343,7214.998,7207.636,7213.4243,7215.0215,7201.887,7211.0493,7216.761,7198.6265
5682.6543,5689.2114,5695.0015,5694.049,5686.9937,5709.752,5677.754,5705.6025,5698.418,5720.403,5706.104,5707.51,5735.2925,5679.5923
7751.7866,7791.492,7800.797,7734.412,7812.3345,7838.7446,7804.3403,7822.5483,7840.1934,7801.451,7818.1953,7818.578,7812.691,7798.9565
3062.8208,3070.9407,3069.837,3075.6511,3071.0093,3072.893,3061.3447,3074.9482,3063.0994,3066.1155,3065.542,3081.486,3080.1177,3092.0217
4022.677,4022.5374,4022.1377,4022.1848,4024.285,4024.6272,4024.0933,4022.6646,4026.4912,4023.953,4020.5466,4022.4976,4024.729,4019.087
9512.808,9528.443,9555.434,9527.755,9553.811,9548.827,9579.245,9581.63,9584.924,9593.625,9576.744,9569.178,9568.291,9567.042
2680.4473,2689.6592,2682.7896,2686.9495,2682.1536,2690.188,2666.8096,2688.1843,2689.9282,2707.56,2690.8413,2687.6233,2700.4434,2700.9556
10851.686,10842.318,10855.67,10860.538,10861.262,10872.695,10880.947,10863.188,10861.748,10879.315,10890.814,10899.633,10872.096,10877.131
2668.675,2678.4504,2671.639,2676.2373,2670.6797,2678.9346,2655.1243,2677.1868,2678.8657,2697.0051,2680.0725,2675.8826,2689.1172,2688.4915
2895.5234,2896.4941,2891.3135,2897.3538,2898.8184,2895.5244,2909.2861,2897.586,2897.8076,2903.379,2901.4827,2909.541,2891.1484,2882.1707
1934.4371,1923.2474,1933.0187,1932.5209,1923.8546,1919.5643,1942.7682,1932.8524,1926.8855,1925.4987,1930.709,1929.2488,1927.861,1930.3297
