V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
7142.1367,6700.5103,6316.5977,6153.816,5541.872,5323.772,5168.0664,5253.4683,5131.91,5183.6885,5551.281,5976.7773,6395.59,6260.72,5801.782,5807.817,5526.194,5294.164
2229.8884,2156.2415,2116.3,2041.7961,1915.0292,1881.6882,1863.5034,1874.2025,1848.4325,1849.5312,1899.5052,2023.2598,2109.9695,2018.4043,2006.5273,1980.8154,1888.2496,1870.7881
13262.223,13353.257,13423.726,13461.039,13503.495,13551.734,13570.143,13591.975,13597.007,13615.2,13597.114,13543.062,13570.521,13592.707,13686.153,13678.73,13612.122,13677.987
6582.855,6572.304,6568.239,6573.013,6584.539,6574.787,6563.3887,6567.7676,6580.5977,6570.6865,6569.2695,6579.5396,6590.988,6572.041,6574.891,6578.5537,6583.9014,6562.2227
4346.409,4355.492,4361.1123,4358.3604,4358.808,4356.4766,4341.4243,4339.5137,4337.769,4336.3315,4332.9307,4354.302,4359.418,4370.7046,4374.8125,4370.5117,4371.27,4378.961
11329.594,11266.405,11251.363,11308.227,11320.691,11301.779,11272.299,11259.654,11197.161,11283.205,11235.417,11188.447,11354.343,11349.001,11311.426,11289.857,11339.743,11332.376
1122.3082,1119.4226,1122.6995,1123.5895,1122.6569,1113.8264,1109.3619,1108.6814,1102.4742,1109.5076,1109.3813,1107.7909,1117.0321,1132.4312,1126.074,1119.0874,1124.7291,1116.0493
1365.8127,1360.4467,1363.9646,1362.5597,1369.2865,1376.3396,1362.5681,1365.1549,1374.4895,1374.5118,1358.8217,1367.2878,1377.5966,1380.1078,1388.9895,1380.4011,1383.827,1388.4193
5368.2944,5484.454,5541.6963,5535.1025,5473.809,5326.0825,5157.2803,5078.0273,5015.0986,5007.352,5095.159,5313.614,5529.9873,5542.5337,5617.195,5600.072,5521.2236,5374.518
6587.3833,6575.746,6539.051,6514.2373,6486.0366,6471.471,6454.354,6437.1274,6446.7227,6458.023,6435.5703,6477.682,6497.0684,6458.8057,6479.453,6461.0244,6403.02,6392.832
11696.174,11769.009,12469.08,12969.046,13002.286,13033.589,12678.209,12759.364,12889.508,13025.453,12818.596,12449.1455,11720.207,11850.859,12216.059,12902.176,13154.875,13103.937
2766.992,2766.1516,2762.7312,2757.3892,2755.1633,2753.0918,2747.662,2747.3872,2748.3296,2751.0706,2752.9153,2752.9434,2751.6377,2752.6924,2750.2178,2747.3652,2745.0334,2743.286
2174.2415,2173.274,2169.0889,2161.5583,2159.2915,2154.69,2149.3936,2149.8096,2150.508,2152.817,2159.1199,2160.2573,2159.2922,2160.0984,2156.3806,2152.6494,2149.4377,2147.3748
4776.561,4871.072,5085.033,5251.4,5295.0557,5195.512,5071.4653,5198.1987,5249.703,5263.773,5098.212,4893.3965,4802.467,4866.7344,5122.086,5318.6934,5301.855,5201.747
2693.6912,2694.1785,2677.76,2666.506,2669.353,2667.0557,2666.182,2669.0142,2678.1826,2682.085,2692.4338,2698.954,2700.456,2696.4634,2676.1938,2674.4285,2674.31,2678.264
13351.503,13421.229,14075.581,14507.934,14504.008,14554.731,14229.866,14248.044,14350.706,14492.911,14401.361,14247.989,13434.551,13534.374,13756.928,14377.88,14666.647,14650.979
6892.0625,6963.0327,7709.6997,8228.5205,8284.538,8346.513,8019.7847,8049.5283,8167.246,8314.79,8126.1436,7727.1865,6916.0957,7048.991,7402.727,8127.8486,8446.617,8426.0205
6532.686,6489.073,6340.9355,6272.4263,6257.7437,6223.79,6186.152,6189.6216,6198.9043,6228.7607,6364.2964,6513.7188,6574.4863,6516.8525,6331.0923,6255.856,6248.052,6229.3315
