V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36854.594,36985.96,36913.39,36938.12,37030.652,37079.914,36708.35,36819.207,37082.76,36755.56,36907.42,37273.65,37340.047
3664.0393,3681.4688,3685.4705,3659.6372,3685.0618,3689.0227,3659.7075,3668.3384,3691.4465,3639.8354,3659.1235,3701.8474,3712.3748
9684.21,9674.724,9722.268,9687.307,9684.374,9734.683,9767.197,9651.264,9651.557,9654.274,9620.038,9591.983,9628.456
2118.6672,2151.0657,2181.8376,2129.7542,2230.9724,2177.2039,1883.423,2171.8354,2181.6514,2179.0142,2192.8752,2269.8071,2240.1047
1528.7598,1603.219,1577.8196,1517.0153,1621.7479,1525.4506,1497.6564,1509.2401,1346.1238,1297.5164,1516.801,1515.9302,1470.2373
503.0587,514.1982,489.66086,456.20837,503.24384,464.5792,478.90128,468.55548,436.17673,443.03207,454.3342,407.95404,412.36368
2986.5645,3091.0469,2904.6514,2977.2515,2884.5007,2812.6436,2938.837,2801.4282,2639.828,2674.4316,2602.42,2494.5034,2773.1128
2764.1907,2759.3079,2618.5369,2770.4233,2821.3435,2954.4739,2602.23,2722.879,2480.6772,2433.9382,2365.2478,2529.967,2343.0518
7068.1206,6833.877,6651.275,6699.2637,6999.7285,7007.5674,6670.3706,6752.3867,6633.891,6199.2236,6252.304,6596.242,6968.986
5171.864,5155.2876,5179.5474,5120.464,5100.9077,5122.9478,5127.705,5084.2935,5072.8296,5050.203,5013.5933,5049.7344,5163.795
350.6745,332.97995,332.39584,331.6115,331.581,354.5309,314.8061,323.29898,343.39557,338.7899,334.90277,352.40027,349.6493
1041.2521,1048.4769,1061.6707,1044.1023,1056.0737,1051.7292,1046.4879,1046.6332,1041.8075,1039.1133,1044.425,1044.5929,1030.9622
2369.499,2333.9434,2304.7173,2326.9536,2293.7715,2315.3696,2302.7437,2314.979,2282.5808,2326.9028,2294.8137,2256.823,2252.327
2374.0344,2347.1917,2338.3572,2331.7,2303.9973,2325.9875,2318.1724,2305.479,2289.639,2363.1038,2289.6072,2262.6309,2253.6719
4750.3535,4541.672,4561.9673,4328.3623,4194.42,4278.783,4255.4536,4169.7476,4131.3457,4466.8584,4091.6523,4028.1277,3997.172
4750.3535,4541.672,4561.9673,4328.3623,4194.42,4278.783,4255.4536,4169.7476,4131.3457,4466.8584,4091.6523,4028.1277,3997.172
12087.478,12116.486,12145.676,12075.231,12080.651,12101.439,12081.811,12042.678,12056.523,12037.183,12011.843,12057.419,12169.689
4301.8354,4299.63,4265.9326,4350.0737,4329.5234,4354.148,4309.476,4346.6504,4364.643,4338.3047,4367.1963,4357.083,4288.2256
2248.7854,2034.0405,2332.8972,2139.3374,2443.628,2237.1677,2524.2234,2258.7666,2401.7607,2517.0981,2496.1199,2558.8643,2567.4602
4066.1147,4190.56,4100.0312,3900.9688,4104.69,3999.374,3955.8904,4018.4924,3832.0168,3870.3423,3984.6719,3792.324,4084.408
1852.8704,2088.503,2069.9915,1981.7477,2109.834,2009.6444,2085.137,1985.1866,1930.0105,1934.4896,1929.2913,1842.5334,2051.2102
3361.7944,3444.2898,3314.5425,3276.1855,3597.8142,3569.7493,3515.2903,3298.6956,3210.506,3562.5566,3303.7769,3310.7104,3345.8884
722.4586,748.04553,753.77844,755.32263,765.9114,768.0143,725.63104,747.5522,735.71643,750.4984,758.7508,736.93317,769.91016
5788.4478,5941.05,6288.368,6030.401,6297.565,6403.684,6466.4507,6097.791,5570.3457,5963.08,6242.538,6047.271,5924.7817
1214.2092,1173.178,1150.4846,1133.088,1119.6439,1151.2976,1123.987,1112.6168,1106.9504,1100.1826,1108.7196,1073.2505,1133.1866
2629.537,2592.1055,2669.3564,2699.73,2780.3052,2649.1777,2758.6133,2594.6033,2577.3591,2671.7231,2722.2322,2619.8047,2550.7095
1676.5088,1689.1528,1730.457,1601.1809,1801.7788,1655.9843,1526.0728,1161.0039,1537.1812,1427.4358,1518.3184,1400.1244,1547.0576
4149.0723,3762.121,3716.9097,4116.4844,3686.7698,3325.913,3636.5322,3478.4368,3241.8684,3108.352,2975.0247,3028.2314,2961.7405
607.8941,620.3244,602.9676,586.863,598.0697,579.18726,582.9739,607.7503,603.4636,607.7121,601.9071,594.2431,593.97156
3561.1663,3777.8384,3641.8552,3447.9983,3783.7449,3795.9927,3620.491,3602.521,3550.476,3575.2104,3644.3672,3610.965,3623.5789
784.9343,798.5897,784.73535,887.01,847.9683,923.8863,850.1416,892.3772,830.7184,791.54224,752.33466,738.3993,750.6482
3842.7725,4115.085,3792.4644,4182.111,3582.7683,3866.6252,3863.11,3856.8613,3602.379,3578.827,3498.743,3342.6973,3720.5461
1450.4839,1477.1433,1417.4581,1515.7284,1407.5297,1532.3219,1315.2362,1365.1736,1361.4741,1330.1322,1315.5549,1316.0542,1331.6437
1235.3252,1210.6313,1167.7437,1219.281,1281.2062,1194.0299,1205.2792,1181.7523,1215.5995,1149.8451,1131.8793,1154.9121,1140.3811
1098.7076,1101.183,1083.6575,1077.3207,1020.0039,1060.3184,1060.2676,1035.702,1036.0112,1024.7708,1060.5981,1057.6238,1023.6146
16030.294,15447.938,15571.695,17129.02,17599.658,17118.459,16109.739,15989.765,15836.2295,15496.927,15363.239,15922.983,14599.038
2908.746,2897.2366,2898.303,2872.2842,2892.164,2885.9026,2891.567,2877.4805,2869.282,2872.1519,2873.161,2853.6262,2861.0203
3079.6172,3080.2888,3088.3672,3059.908,3079.3938,3106.957,3076.8901,3085.2913,3069.4194,3085.7878,3100.7156,3094.4712,3089.6616
5765.991,5767.362,5774.486,5787.9805,5758.44,5768.251,5773.805,5763.1753,5752.8193,5757.4683,5721.921,5688.4873,5749.412
5761.6597,5763.2017,5769.717,5783.1816,5753.3306,5763.9614,5767.1406,5758.1553,5749.09,5752.1035,5717.9233,5684.661,5741.453
6138.9453,6148.8203,6153.547,6154.073,6118.9546,6164.6973,6141.547,6155.269,6148.654,6159.3457,6172.2563,6169.4536,6167.812
6152.7275,6160.831,6168.453,6163.3105,6136.2754,6175.566,6152.214,6162.2227,6155.505,6167.9453,6178.441,6169.8574,6173.495
6144.558,6154.7534,6159.418,6158.303,6128.3164,6169.169,6145.2817,6157.4897,6150.177,6161.9756,6174.435,6168.5986,6169.9404
5757.304,5759.0156,5764.901,5778.353,5748.201,5759.6445,5760.5635,5753.0894,5745.3,5746.7324,5713.8354,5680.7925,5733.4863
2923.166,2898.2698,2905.176,2882.718,2878.258,2898.5718,2854.4558,2896.108,2881.4453,2894.964,2907.9292,2900.8333,2896.2268
3341.0552,3341.473,3361.8425,3341.6895,3414.3396,3357.2559,3380.351,3354.7605,3325.3704,3300.6138,3316.6077,3328.6804,3290.5576
2921.975,2897.2932,2904.0386,2881.6006,2876.7651,2897.325,2853.5232,2895.1797,2880.4014,2893.7056,2906.6028,2899.4949,2895.2332
3016.9868,3020.3894,3035.1758,3037.1375,3050.2554,3030.0823,3086.0654,3020.9402,3015.4238,3036.575,2989.2473,2987.28,2996.3467
3260.5845,3215.8657,3229.6755,3212.394,3194.7961,3218.7852,3172.7114,3220.3357,3225.138,3224.6196,3237.3901,3236.1316,3232.5552
3261.9443,3216.956,3230.907,3213.6028,3196.3352,3220.166,3173.5278,3221.371,3226.298,3225.981,3238.7334,3237.4126,3233.592
6688.2637,6663.087,6683.6567,6668.5796,6685.9897,6662.2344,6690.6646,6669.5166,6649.7573,6688.401,6631.441,6652.4775,6678.6646
7154.41,7136.0166,7169.3345,7132.4434,7214.279,7139.312,7119.1733,7180.7188,7175.3423,7194.901,7201.595,7223.244,7197.2705
1830.1113,1876.8667,1856.1587,1841.2634,1853.0892,1862.959,1886.4591,1755.2549,1764.9009,1770.0413,1745.1064,1752.4407,1825.5588
2492.9326,2485.163,2495.1611,2486.302,2494.9001,2496.5938,2495.4773,2485.621,2499.8196,2499.7427,2507.033,2506.6477,2506.458
4781.3374,4782.358,4949.6245,4856.7856,4799.051,5002.206,4744.658,4840.096,4644.7617,4620.6455,4576.096,4565.3403,4555.694
2781.9946,2701.0125,2781.0166,2814.0803,2706.9453,2733.543,2691.4355,2709.7075,2754.006,2767.117,2624.8328,2519.0688,2955.847
2230.7231,2281.7473,2274.0464,2338.4429,2290.166,2369.1582,2327.5154,2318.124,2311.5403,2330.8538,2311.1604,2355.476,2403.5417
3468.4424,3453.0527,3446.7134,3445.346,3512.4622,3548.7642,3354.5625,3487.0637,3467.9207,3442.155,3469.3525,3573.4692,3583.197
1922.7202,1917.957,1924.5548,2071.142,2075.3752,2104.2554,2057.9844,2190.3025,2119.6382,2317.298,2168.9355,2227.2288,2344.5522
9003.7705,9003.542,9012.794,9010.772,9012.0625,9017.897,8969.842,8981.599,8991.12,9001.778,8990.693,8986.197,9021.537
10816.135,10727.893,10740.984,10783.443,10757.464,10832.649,10830.798,10786.522,10586.592,10671.771,10434.49,10489.504,10392.184
7020.1,7011.112,7023.068,7056.394,7092.1665,7081.2637,7070.316,7039.948,7106.393,7111.0723,7097.7017,7100.695,7100.4014
6031.916,5984.1,5980.031,6040.292,6040.176,6030.2305,6053.581,5997.0674,6036.862,6056.9126,6048.24,6054.6787,6059.013
13141.849,13181.045,13245.179,13528.751,13592.815,13391.995,13274.339,13387.032,13370.939,13296.338,13334.122,13441.011,13016.924
18424.896,18509.916,18555.156,18896.66,18974.285,18745.947,18595.38,18762.494,18709.543,18654.508,18680.686,18803.727,18326.98
7399.0215,7403.584,7435.3765,7405.1953,7405.5825,7450.456,7477.82,7367.1416,7378.3784,7380.4106,7335.6514,7315.5034,7341.24
13321.462,13258.365,13276.888,13258.914,13251.109,13238.465,13231.284,13206.6,13237.309,13290.247,13248.895,13285.601,13362.74
6942.579,6939.836,6922.789,6945.698,6968.777,7012.6816,6937.946,6938.0024,6951.5527,6946.1226,6978.506,6983.9116,6940.2656
6936.5073,6922.4624,6913.1772,6934.393,6961.7456,7008.9487,6944.7334,6930.5107,6945.765,6963.1587,6979.277,6994.414,6971.061
2613.701,2610.0059,2608.585,2608.259,2607.9033,2613.208,2608.5522,2604.1526,2615.2268,2608.261,2616.801,2613.5657,2617.61
1936.3536,1937.5635,1954.5718,1914.2103,1942.4774,2018.3108,1906.4167,1914.3369,1877.4668,1950.2811,1925.1503,1908.2571,1865.9045
1936.3209,1937.489,1954.5298,1914.1694,1942.435,2018.3075,1906.3843,1914.237,1877.3616,1950.2156,1925.1036,1908.1439,1866.1696
