V1,V2,V3,V4,V5,V6
2806.349,2806.3489,2806.3486,2806.3486,2806.3486,2806.3489
2806.349,2806.3494,2806.3494,2806.3494,2806.3494,2806.3494
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3489,2806.3496,2806.3489,2806.3489,2806.3489,2806.3489
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.3486
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.349
2806.3489,2806.3496,2806.3489,2806.3489,2806.3489,2806.349
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.349,2806.3496,2806.3486,2806.3486,2806.3486,2806.3486
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.349,2806.3496,2806.3486,2806.3486,2806.3486,2806.3486
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.3489
2806.3489,2806.349,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.3489
2806.349,2806.3494,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3489,2806.349,2806.3486,2806.3486,2806.3486,2806.3489
2806.349,2806.3494,2806.3494,2806.3494,2806.3494,2806.349
2806.3486,2806.3496,2806.3489,2806.3486,2806.3489,2806.3489
2806.3489,2806.3496,2806.3489,2806.3489,2806.3489,2806.3494
2806.3486,2806.3496,2806.349,2806.349,2806.349,2806.3489
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.349
2806.3489,2806.3496,2806.3494,2806.3494,2806.3494,2806.3486
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.349
2806.3489,2806.349,2806.3489,2806.3489,2806.3489,2806.3489
2806.3489,2806.3496,2806.3486,2806.3486,2806.3486,2806.349
2806.3489,2806.349,2806.3489,2806.3489,2806.3489,2806.349
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3494,2806.3486,2806.3486,2806.3486,2806.3486
2806.3484,2806.3496,2806.3489,2806.3486,2806.3486,2806.3489
2806.3489,2806.3496,2806.3486,2806.3486,2806.3486,2806.3486
2806.3489,2806.3496,2806.3486,2806.3486,2806.3486,2806.3486
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3489,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3494,2806.3486,2806.3489,2806.3489,2806.3489,2806.3489
2806.349,2806.3486,2806.3484,2806.3484,2806.3484,2806.3486
2806.3486,2806.349,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.349,2806.3486,2806.3486,2806.3486,2806.3486
2806.3489,2806.349,2806.3486,2806.3486,2806.3486,2806.3496
2806.3489,2806.3496,2806.3486,2806.3486,2806.3486,2806.3486
2806.3489,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3489,2806.349,2806.3486,2806.3486,2806.3486,2806.349
2806.3489,2806.349,2806.3486,2806.3486,2806.3486,2806.349
2806.349,2806.349,2806.3484,2806.3484,2806.3484,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3486
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3489,2806.3496,2806.3489,2806.3489,2806.349,2806.349
2806.3486,2806.3494,2806.3494,2806.3494,2806.3494,2806.3489
2806.3489,2806.3486,2806.3486,2806.3486,2806.3486,2806.349
2806.3489,2806.3494,2806.3494,2806.349,2806.3494,2806.349
2806.3489,2806.3494,2806.3494,2806.3494,2806.3494,2806.3494
2806.3489,2806.3496,2806.3489,2806.3489,2806.3489,2806.349
2806.3486,2806.349,2806.3489,2806.3489,2806.3489,2806.3489
2806.349,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3489,2806.3486,2806.349
2806.3489,2806.3486,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3486
2806.3484,2806.3486,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.3486
2806.349,2806.349,2806.3486,2806.3486,2806.3486,2806.3489
2806.349,2806.3489,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3484,2806.349,2806.349,2806.349,2806.349,2806.3486
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.3489
2806.3486,2806.3486,2806.3486,2806.3486,2806.3486,2806.3486
2806.3494,2806.3486,2806.3486,2806.3486,2806.3486,2806.3484
2806.3496,2806.3486,2806.3486,2806.3486,2806.3486,2806.3486
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3489,2806.3496,2806.3489,2806.3489,2806.3489,2806.3489
2806.3486,2806.349,2806.3486,2806.3486,2806.3486,2806.3489
2806.3494,2806.3489,2806.3489,2806.3489,2806.3489,2806.3489
2806.349,2806.3486,2806.3486,2806.3486,2806.3486,2806.3486
2806.3486,2806.3496,2806.3484,2806.3484,2806.3484,2806.3486
2806.3494,2806.3489,2806.3489,2806.3489,2806.3486,2806.3486
2806.3486,2806.3494,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.349,2806.349,2806.3486,2806.3486,2806.3484
2806.3486,2806.3486,2806.3486,2806.3486,2806.3486,2806.3489
2806.3494,2806.3486,2806.3489,2806.3489,2806.3489,2806.3486
2806.349,2806.3489,2806.3489,2806.3489,2806.3489,2806.3486
2806.349,2806.3489,2806.3489,2806.3489,2806.3489,2806.3489
2806.3486,2806.3496,2806.3489,2806.3489,2806.3489,2806.3489
2806.3494,2806.3489,2806.3489,2806.3489,2806.3489,2806.3486
2806.3494,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.349,2806.3486,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3484,2806.349,2806.3486,2806.3486,2806.3486,2806.3486
2806.349,2806.3486,2806.3486,2806.3486,2806.3486,2806.3486
2806.3486,2806.3496,2806.3486,2806.3486,2806.3486,2806.3489
2806.3494,2806.349,2806.3484,2806.3484,2806.3484,2806.3484
2806.3486,2806.3496,2806.3496,2806.3489,2806.3489,2806.3489
2806.3486,2806.349,2806.3486,2806.3486,2806.3486,2806.3489
2806.3486,2806.3494,2806.3486,2806.3486,2806.3486,2806.3494
2806.3489,2806.3486,2806.3486,2806.3486,2806.3486,2806.349
2806.349,2806.3486,2806.3486,2806.3486,2806.3486,2806.3484
