V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2025.1667,2027.3317,2030.5468,2029.3997,2032.4255,2032.3801,2027.0797,2032.0225,2037.551,2030.8994,2031.9268,2034.2091,2033.4869,2022.7734
2982.2764,2986.032,2987.861,2985.0012,2988.629,2997.8738,2994.1528,2991.4788,2988.7192,2990.5637,2989.9773,2991.3435,2996.1943,3002.6406
1043.4966,1051.8776,1055.8546,1049.5435,1057.5437,1078.0562,1069.9269,1063.9252,1057.8065,1061.9567,1060.5376,1063.5808,1074.3563,1088.7542
1545.6687,1572.2463,1611.7007,1597.6261,1634.7544,1634.1959,1569.1567,1629.8092,1697.6686,1616.0302,1628.6404,1656.646,1647.7819,1516.3041
5836.1616,5845.477,5859.336,5854.39,5867.4326,5867.2505,5844.379,5865.6934,5889.4834,5860.8506,5865.2554,5875.1094,5872.0107,5825.837
3273.2095,3288.243,3310.6567,3302.6575,3323.749,3323.4824,3286.4446,3320.933,3359.3286,3313.0984,3320.1755,3336.144,3331.1597,3256.4941
5212.0693,5288.7383,5402.794,5362.0933,5469.429,5467.927,5279.706,5455.117,5650.917,5415.2627,5451.5215,5532.6123,5507.1084,5127.0996
1738.2803,1741.6406,1746.6412,1744.8568,1749.5627,1749.4979,1741.2438,1748.935,1757.5168,1747.1877,1748.7758,1752.3322,1751.215,1734.5543
1591.3403,1594.2765,1598.646,1597.0868,1601.1987,1601.1421,1593.9297,1600.6503,1608.1488,1599.1235,1600.511,1603.6187,1602.6425,1588.0846
2611.2122,2616.2405,2623.7288,2621.0564,2628.103,2628.009,2615.6436,2627.1628,2640.0042,2624.546,2626.9182,2632.2476,2630.5776,2605.6309
2450.1448,2453.1497,2457.63,2456.031,2460.247,2460.1938,2452.7898,2459.684,2467.3582,2458.118,2459.532,2462.7244,2461.7283,2446.8035
3602.3857,3608.118,3616.6514,3613.606,3621.6365,3621.5276,3607.439,3620.565,3635.2039,3617.583,3620.2896,3626.3608,3624.456,3596.0264
7092.8765,7108.6416,7132.081,7123.717,7145.776,7145.46,7106.791,7142.835,7183.0947,7134.646,7142.1094,7158.7656,7153.5176,7075.419
5767.9517,5789.6143,5821.8105,5810.3223,5840.623,5840.183,5787.078,5836.585,5891.9053,5825.3364,5835.5996,5858.472,5851.256,5743.9756
7057.8965,7162.8345,7319.0376,7263.2944,7410.291,7408.29,7150.416,7390.6816,7658.675,7336.097,7385.656,7496.779,7461.905,6941.4956
3112.2188,3114.8887,3118.8525,3117.4382,3121.169,3121.112,3114.5789,3120.6724,3127.4912,3119.2876,3120.5562,3123.3687,3122.4775,3109.2683
3978.0564,3984.16,3993.2444,3990.0024,3998.5515,3998.4346,3983.4382,3997.4111,4012.9983,3994.2366,3997.1196,4003.5818,4001.553,3971.287
9618.607,9625.204,9635.167,9631.607,9640.976,9640.93,9624.342,9639.714,9656.563,9636.227,9639.244,9646.426,9644.284,9611.139
2697.049,2710.347,2730.1335,2723.0728,2741.6934,2741.436,2708.7773,2739.21,2773.1697,2732.2961,2738.5808,2752.6526,2748.2307,2682.3066
10832.101,10848.942,10857.153,10844.322,10860.599,10902.068,10885.369,10873.378,10861.0,10869.27,10866.647,10872.775,10894.533,10923.443
2686.3213,2699.703,2719.6135,2712.5083,2731.2458,2730.9863,2698.1238,2728.7468,2762.9204,2721.7898,2728.1145,2742.2737,2737.824,2671.4866
2954.7864,2969.2854,2990.8484,2983.154,3003.4465,3003.1594,2967.5803,3000.741,3037.767,2993.207,3000.0671,3015.394,3010.569,2938.7249
1865.2811,1871.0547,1873.8583,1869.4675,1875.0374,1889.2405,1883.536,1879.4207,1875.1808,1878.0204,1877.1102,1879.2091,1886.6626,1896.5769
2643.5496,2656.4534,2675.6423,2668.7952,2686.8535,2686.5972,2654.9368,2684.4458,2717.3984,2677.7417,2683.8481,2697.4863,2693.1917,2629.2568
1543.7573,1548.5942,1550.9417,1547.264,1551.9288,1563.8263,1559.0491,1555.6012,1552.0499,1554.4292,1553.665,1555.4236,1561.6671,1569.9725
2455.99,2468.4922,2487.0713,2480.4421,2497.9272,2497.6719,2467.0298,2495.597,2527.5237,2489.1064,2495.0312,2508.228,2504.0625,2442.1558
1669.4354,1674.5911,1677.0972,1673.1746,1678.1505,1690.8364,1685.7378,1682.0641,1678.2772,1680.8118,1680.0016,1681.8763,1688.5332,1697.3854
404.24948,409.5374,412.12625,408.0907,413.21118,426.24313,420.98398,417.22165,413.33063,415.92416,415.11337,417.03635,423.873,432.9514
6421.5786,6437.8076,6461.984,6453.356,6476.1064,6475.8076,6435.8765,6473.07,6514.5166,6464.6206,6472.2725,6489.484,6484.097,6403.556
580.9612,588.5607,592.2813,586.4816,593.8406,612.56946,605.0112,599.6042,594.01215,597.7395,596.5743,599.3379,609.1632,622.21027
2125.11,2130.6616,2138.9722,2136.005,2143.824,2143.7441,2129.978,2142.777,2156.9558,2139.8706,2142.4604,2148.4038,2146.5754,2118.9016
1927.4083,1932.4446,1939.9836,1937.2919,1944.385,1944.3127,1931.8245,1943.4355,1956.298,1940.7988,1943.1482,1948.5399,1946.8812,1921.7762
6811.971,6826.5156,6848.0376,6840.3584,6860.619,6860.2686,6824.865,6857.9253,6895.063,6850.4116,6857.366,6872.5913,6867.7134,6795.977
2343.2034,2354.882,2372.1143,2365.968,2382.191,2381.8843,2353.5835,2380.0376,2409.854,2374.0244,2379.6406,2391.799,2387.8662,2330.414
1733.623,1738.894,1746.968,1744.0792,1751.669,1751.695,1738.1401,1750.6395,1764.1052,1747.8038,1750.1433,1756.0356,1754.3643,1727.5321
3832.9766,3838.184,3846.0518,3843.24,3850.6409,3850.6062,3837.5012,3849.6448,3862.9458,3846.8882,3849.2688,3854.9438,3853.2546,3827.0742
2422.952,2431.4458,2435.5818,2429.114,2437.3179,2458.2268,2449.8132,2443.7642,2437.5232,2441.6963,2440.368,2443.458,2454.4287,2469.0098
2260.049,2269.8735,2274.6592,2267.177,2276.668,2300.8542,2291.1196,2284.1235,2276.904,2281.73,2280.1963,2283.7703,2296.4604,2313.3254
2408.9192,2426.0115,2451.4653,2442.3813,2466.3347,2466.0146,2423.983,2463.1384,2506.7903,2454.2432,2462.3083,2480.423,2474.7463,2389.9475
3853.3245,3863.4211,3878.4624,3873.0942,3887.2483,3887.0627,3862.2195,3885.3594,3911.1448,3880.1028,3884.863,3895.571,3892.22,3842.112
6415.6245,6459.2593,6524.294,6501.083,6562.282,6561.4956,6454.05,6554.1123,6665.552,6531.381,6551.9346,6598.254,6583.7812,6367.1333
7357.628,7388.3345,7433.8564,7417.6177,7460.4624,7459.774,7384.807,7454.7617,7533.1772,7438.8643,7453.4927,7485.753,7475.4824,7323.7676
1158.0791,1160.2742,1163.5145,1162.3588,1165.4093,1165.3523,1160.0297,1165.0044,1170.6094,1163.8734,1164.9286,1167.2157,1166.4768,1155.6735
8600.003,8614.383,8621.394,8610.438,8624.335,8659.742,8645.484,8635.246,8624.678,8631.739,8629.5,8634.731,8653.309,8677.993
1123.074,1123.7157,1124.6638,1124.3256,1125.2183,1125.202,1123.6437,1125.0996,1126.7383,1124.7687,1125.0765,1125.7463,1125.5306,1122.3698
10108.337,10127.477,10136.787,10122.219,10140.696,10187.8,10168.856,10155.224,10141.164,10150.569,10147.566,10154.53,10179.245,10212.1
1017.6677,1018.7129,1019.222,1018.426,1019.43567,1022.0086,1020.9731,1020.2288,1019.4608,1019.9742,1019.81104,1020.1912,1021.5412,1023.3353
10432.893,10453.71,10463.717,10447.949,10467.935,10519.039,10498.631,10483.768,10468.524,10478.788,10475.386,10482.963,10509.791,10545.528
11423.009,11444.126,11474.825,11463.885,11492.806,11491.991,11442.038,11489.004,11542.906,11478.311,11488.789,11510.134,11502.86,11400.381
9958.811,9976.338,9984.873,9971.526,9988.456,10031.604,10014.239,10001.758,9988.879,9997.488,9994.749,10001.127,10023.766,10053.851
