V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
649.2129,588.3317,559.03625,536.98944,518.9149,503.70944,503.73846,529.3501,519.59644,534.2771,588.6254,625.5312,670.85046,744.8194,790.6583,831.19867,874.9044,872.0298,879.8898,863.00745,815.8994,773.06836,711.0574,682.6798,631.1718,598.4591,552.9429,542.51965,507.9449,514.0122,514.33014,498.16428,544.7555,557.0929,619.45197,635.6193,674.67267,764.1468,789.9265,820.57855,879.1067,948.28827,931.2997,880.9719,828.3666,775.83484,748.1658,668.5952
2954.1824,2705.869,2540.2458,2434.3147,2351.7285,2294.362,2293.801,2347.1782,2296.4458,2341.6687,2532.593,2695.117,2823.713,3118.871,3310.6938,3518.9075,3730.5852,3745.2642,3832.4924,3783.2676,3623.5225,3462.856,3241.2578,3087.387,2895.902,2727.378,2513.5293,2473.224,2308.4336,2334.1978,2323.4636,2221.6628,2369.765,2434.125,2658.3599,2710.919,2861.6829,3200.8032,3328.2083,3479.692,3744.3289,4032.471,4009.9944,3822.4802,3679.84,3518.721,3368.0615,3028.373
1193.2235,1129.7776,1052.9347,1016.1512,991.17664,967.7486,957.0545,950.4756,922.7346,934.97565,968.178,1003.1669,1016.2671,1095.3339,1143.6871,1212.0151,1289.8206,1306.078,1354.023,1368.2684,1345.4489,1314.5802,1296.2084,1232.1587,1194.8777,1116.3342,1047.4436,1034.8195,984.5609,965.8629,970.379,916.97156,932.5041,955.0966,993.4026,1005.2983,1033.1519,1102.2189,1154.9891,1200.6041,1283.7744,1353.7274,1379.1987,1349.7117,1365.5118,1358.9647,1293.8254,1200.647
5410.167,5203.5254,4720.9775,4499.045,4358.6646,4247.623,4188.616,3994.128,3894.457,3925.8613,3971.542,4081.1018,4029.8987,4339.0625,4505.8057,4833.1724,5164.936,5312.229,5618.2085,5791.4033,5772.509,5724.33,5906.216,5577.6655,5509.4517,5053.718,4731.27,4633.2886,4402.736,4251.654,4175.8403,3909.7588,3869.0642,4013.559,4025.3594,4076.8103,4137.418,4310.199,4591.191,4778.029,5171.436,5379.715,5604.8945,5617.845,5932.084,6103.0073,5711.0293,5435.1987
3066.9822,2892.0745,2454.578,2262.9343,2139.5671,2020.8862,1954.2446,1797.6538,1688.0785,1722.5946,1771.2648,1843.4214,1810.3992,2089.9875,2231.2798,2510.0493,2812.1882,2938.3025,3207.7727,3379.0286,3360.7522,3332.2998,3515.8499,3231.5815,3168.5007,2746.4285,2467.4695,2375.776,2179.1116,2013.5566,1967.1743,1720.9307,1684.2122,1791.7893,1801.5706,1848.0349,1894.374,2036.6771,2300.6506,2462.3953,2803.9336,2982.3877,3187.7532,3209.4333,3509.508,3669.8247,3317.2666,3074.7183
5426.829,5415.7734,5449.615,5621.778,5640.877,5910.6826,5974.434,6240.198,6444.0,6797.6055,7000.035,7102.8633,7114.368,7127.2593,6901.4707,6708.29,6487.856,6277.663,5938.804,5920.3203,5682.5283,5486.452,5434.9185,5387.919,5393.301,5488.6924,5656.5977,5633.16,5824.121,5812.535,5923.79,6226.354,6480.6343,6946.776,7011.6885,7104.165,7060.725,7213.715,6988.9243,6675.473,6543.015,6166.1187,6015.5083,5972.737,5758.021,5569.009,5430.67,5484.541
43547.08,42284.363,38095.76,36349.17,35083.5,33886.91,33182.6,31484.426,30518.68,30810.162,31053.39,31396.873,30954.473,33325.91,34539.82,36836.95,39417.605,40766.926,43228.707,45093.004,45182.68,45141.52,47543.383,45065.48,44699.47,40759.902,38398.703,37301.92,35714.37,33854.855,33182.27,30980.67,30439.777,31345.207,31037.055,31455.543,31769.572,32693.037,35074.688,36355.105,39424.56,40731.855,42744.043,43409.17,46611.402,48511.434,45258.43,43625.605
28358.822,26072.215,25437.557,24726.035,24038.531,23503.773,23591.18,25098.326,25019.045,25876.996,28350.797,29793.69,32114.084,35002.23,36703.797,37820.78,39043.344,38570.715,38254.41,37319.4,35033.715,33188.598,30514.979,29783.217,27555.426,26724.367,25296.334,24806.777,23751.566,23993.707,23997.805,23943.592,26328.482,26807.193,29545.707,30388.268,32065.941,35865.754,36513.4,37360.082,39233.09,41830.664,40589.54,38423.117,35520.664,32907.195,32172.285,29383.129
36366.613,34222.92,32673.697,31701.451,30966.242,30474.193,30469.646,30813.338,30353.764,30735.123,32343.836,33780.188,34811.605,37390.402,39055.88,40970.746,42892.605,43069.312,43931.44,43563.39,42223.453,40839.844,38981.438,37543.68,35907.973,34345.9,32453.902,32073.2,30579.451,30804.541,30687.129,29725.004,30925.277,31548.012,33449.863,33895.938,35173.445,38107.03,39257.19,40643.18,43000.973,45527.53,45420.906,43832.438,42724.42,41429.926,40027.875,37031.02
432.257,423.1396,410.22955,403.97556,400.3877,396.54868,394.85608,393.02673,388.5742,390.4004,395.0023,400.229,401.65366,413.89615,420.64105,431.8697,444.1075,446.82834,454.86038,457.86365,454.67316,450.4357,448.89233,438.53745,433.32904,420.35947,409.48456,407.53076,399.4644,396.00192,396.57953,387.91678,389.65094,393.59897,398.8307,400.67706,404.2831,414.28137,422.89758,430.19946,443.12338,453.3118,458.14,454.31873,458.08115,458.3263,447.51053,433.4195
26469.395,25207.35,25284.516,25641.348,24929.748,25011.164,25215.229,27511.615,28132.172,30305.357,32856.18,34010.305,36326.39,38000.3,38811.35,38227.28,38009.086,36580.332,34691.78,34128.09,31618.895,29702.857,27606.594,27745.9,26005.033,26103.639,25985.057,25295.688,25560.057,25270.562,25393.447,26741.2,29819.83,30880.71,33216.406,34646.152,36013.695,38976.61,38308.39,37849.043,37898.992,38428.16,36746.355,35215.973,31979.057,29177.604,28902.246,27578.434
7807.39,7104.7,6905.8223,6686.218,6476.489,6304.5312,6328.9688,6796.6357,6764.498,7030.9795,7797.125,8235.9795,8956.605,9851.518,10375.168,10721.721,11103.916,10958.71,10861.466,10577.622,9871.728,9305.003,8478.607,8253.965,7565.2095,7300.233,6863.38,6711.3794,6383.6284,6451.6787,6460.8613,6438.5703,7172.711,7313.9854,8162.694,8423.42,8935.977,10109.277,10314.248,10580.594,11158.87,11961.465,11581.42,10914.17,10024.435,9216.007,8988.462,8122.3047
516.4364,471.51355,466.30743,458.30637,442.9088,436.46466,440.75073,483.06604,490.55954,517.9351,572.8647,603.34265,658.60126,712.7966,743.4521,752.0984,764.04834,742.9773,721.0879,700.0449,646.2377,604.3713,551.039,544.74207,497.29135,489.40436,466.54474,456.94995,446.30353,448.57953,447.74216,461.23346,523.5497,538.2554,595.55383,618.3245,654.8837,734.00305,735.83777,741.7482,767.1541,809.28595,773.29004,729.69415,656.0897,594.65784,583.7751,538.107
173.39302,165.28647,154.20067,148.91689,145.82533,142.37993,140.60217,139.38396,135.39964,136.94624,140.92812,145.05626,146.70486,157.40607,163.28568,172.54773,183.0623,185.53754,192.14296,194.95215,192.1529,188.56654,187.425,178.72311,174.31345,162.77515,153.5121,151.83086,144.96732,141.81677,142.55032,134.9836,136.44875,139.6315,144.10086,145.81625,148.73691,157.28749,164.92477,171.06744,182.20206,190.89827,194.99063,191.79729,195.32298,195.32336,186.07542,173.91951
13297.908,12259.934,11991.946,11676.754,11360.653,11124.4,11166.568,11873.375,11851.697,12255.256,13393.536,14056.28,15127.077,16435.07,17210.496,17695.082,18231.32,18003.936,17834.137,17398.666,16341.666,15493.021,14269.442,13947.579,12928.812,12574.57,11933.883,11706.424,11241.856,11350.046,11349.063,11350.08,12458.725,12679.862,13934.695,14328.912,15102.965,16839.346,17117.516,17481.766,18320.533,19493.613,18908.326,17913.691,16560.146,15351.625,15031.24,13776.264
1320.9849,1236.18,1151.3192,1105.4567,1071.182,1052.7756,1049.7942,1042.2473,1019.7626,1031.6804,1081.3433,1141.4493,1160.246,1260.2576,1326.5236,1418.6167,1507.8076,1525.7921,1582.3143,1580.7587,1541.4795,1492.8485,1441.5504,1366.6497,1311.7708,1230.8821,1143.5846,1128.0039,1060.4988,1063.4313,1053.6477,1000.1782,1030.3556,1062.7979,1122.8209,1137.905,1183.0375,1286.7938,1342.1912,1405.4152,1509.7568,1608.3099,1626.1094,1574.298,1565.7031,1539.5126,1465.3444,1343.078
53623.574,50029.61,47159.61,45538.758,44242.684,43382.062,43310.86,43710.035,42803.348,43387.547,45889.63,48247.668,49700.547,53965.688,56729.13,60059.92,63472.383,63862.145,65597.25,65139.402,63109.69,60937.848,58116.516,55554.77,52948.438,50108.633,46778.203,46195.543,43638.46,43903.992,43720.066,41868.074,43642.316,44705.9,47666.438,48331.527,50391.203,55073.22,57151.96,59515.113,63569.094,67733.27,67850.97,65343.816,63999.9,62186.598,59615.99,54539.676
27589.371,25467.803,25194.592,24725.496,24094.56,23618.48,23701.42,25644.393,25734.117,26967.438,29568.982,30899.654,33495.59,36181.66,37711.06,38232.566,39007.582,38214.47,37304.973,36424.79,33917.016,32007.998,29411.988,29009.55,26813.592,26295.79,25203.547,24683.379,24048.625,24012.164,24160.35,24567.71,27303.82,27789.803,30580.764,31640.928,33294.562,37005.367,37319.49,37747.703,39137.3,41281.87,39750.492,37641.9,34364.24,31473.477,31018.871,28627.273
2079.6294,1929.1399,1915.9216,1888.8235,1839.658,1813.1572,1822.6226,1969.3771,1986.4072,2084.8274,2274.596,2375.7468,2563.1206,2750.6238,2857.3037,2883.9717,2927.9155,2860.4949,2784.397,2718.171,2531.3225,2389.5334,2202.3452,2179.526,2021.4421,1995.8301,1921.3887,1882.4193,1845.6685,1845.9008,1850.2388,1893.9032,2101.8823,2145.035,2345.344,2426.6213,2550.695,2817.6174,2828.1665,2848.8132,2936.7998,3080.8691,2962.735,2810.3452,2562.7764,2350.575,2320.0498,2157.353
6083.87,5576.046,5518.6426,5419.2983,5263.6045,5163.064,5188.91,5653.752,5691.627,5985.2397,6592.7637,6913.312,7522.6587,8152.3154,8507.107,8615.481,8785.08,8584.785,8362.472,8145.156,7552.13,7098.339,6488.4863,6401.8584,5888.246,5784.215,5521.85,5405.2964,5265.1562,5270.8154,5289.2227,5400.1636,6054.056,6184.634,6834.979,7085.0615,7484.122,8355.216,8415.622,8498.328,8816.957,9308.488,8938.848,8441.053,7658.2065,6975.9736,6870.3535,6317.271
14358.844,13232.77,13077.427,12804.602,12480.779,12209.152,12242.422,13274.278,13299.8,13958.779,15362.083,16062.546,17461.406,18909.938,19737.137,20036.143,20468.273,20064.686,19583.85,19126.592,17784.703,16765.617,15370.68,15143.33,13962.706,13657.787,13079.205,12792.674,12438.002,12397.342,12498.637,12696.289,14151.257,14393.362,15900.035,16470.09,17339.947,19336.227,19523.309,19778.666,20536.658,21704.74,20896.375,19767.537,18025.875,16474.043,16228.29,14933.877
634.3663,621.16547,599.5681,589.99976,584.1325,577.277,573.5297,569.82666,562.3462,564.9197,571.0422,576.94366,579.2109,597.7231,607.32886,623.6704,642.80756,647.78864,660.5612,667.6109,663.69214,658.6203,660.3895,644.3332,637.5249,615.16003,599.08875,595.3415,583.2592,575.8605,577.23676,562.75287,563.81616,569.32294,575.4223,578.5937,582.4634,595.85187,610.3462,621.0863,640.7995,654.8953,663.7636,660.1677,670.06024,672.6807,654.86035,634.5921
250.23465,227.33444,221.59772,215.6731,208.41843,202.9956,203.7313,220.42418,219.65013,229.23828,254.87062,269.292,293.66565,322.47864,339.51254,349.56134,361.11316,355.44363,350.7785,341.53455,317.70575,298.82147,271.39355,264.9117,242.04132,234.67584,220.71516,215.62376,206.01602,207.78284,208.36972,208.7572,233.79631,237.99712,266.33313,275.4632,292.4889,331.07278,336.9626,344.5899,362.72867,388.04834,374.8577,352.72858,322.49243,294.96054,288.2655,260.14273
