V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
6083.6416,6099.085,6099.592,6097.7866,6084.262,6076.912,6073.674,6073.766,6062.5557,6027.6304,6010.466,6012.6104,6033.47,6029.27,6033.424,5994.0776,5980.876,5942.3594
2128.3398,2130.4487,2129.6384,2127.2073,2124.058,2121.8994,2120.514,2120.0005,2117.1074,2109.6643,2106.153,2107.349,2111.9526,2110.6775,2111.9668,2101.521,2099.1174,2090.0925
13430.588,13440.192,13449.24,13457.521,13473.414,13488.344,13499.671,13511.611,13525.393,13546.895,13568.907,13581.753,13585.181,13591.962,13605.262,13607.255,13621.756,13621.635
6573.51,6575.146,6575.5195,6576.9443,6575.936,6575.4204,6576.633,6577.1797,6577.08,6575.2676,6574.2993,6574.6953,6574.9053,6573.947,6573.4624,6571.9917,6569.867,6567.82
4379.322,4378.987,4378.47,4377.3003,4376.8037,4376.337,4375.8965,4375.6416,4375.2075,4374.4927,4374.3477,4374.8447,4375.329,4374.9907,4375.216,4373.2075,4373.1724,4371.934
11539.187,11536.977,11534.459,11529.036,11527.116,11525.247,11523.329,11522.215,11520.7295,11518.814,11519.053,11521.36,11522.744,11521.288,11521.985,11514.0625,11514.471,11510.261
1162.7638,1163.1289,1163.1012,1162.9587,1162.5813,1162.3544,1162.2349,1162.2122,1161.8838,1160.9363,1160.4747,1160.5654,1161.1388,1161.0089,1161.1414,1159.9814,1159.6422,1158.5596
1423.2166,1422.4614,1421.652,1419.9371,1419.3562,1418.79,1418.1942,1417.8506,1417.4257,1416.9366,1417.095,1417.8269,1418.1938,1417.7411,1417.9265,1415.5336,1415.7112,1414.5125
5235.4507,5229.297,5225.0137,5217.9585,5216.4204,5215.394,5213.995,5212.9893,5214.8096,5218.7495,5224.9775,5228.897,5225.593,5223.4785,5222.3145,5216.673,5219.377,5220.1733
6558.138,6556.468,6550.578,6550.632,6544.8433,6538.9897,6550.8496,6551.753,6547.6274,6550.6245,6548.676,6555.942,6550.6724,6540.6978,6536.006,6529.196,6515.2124,6515.097
12564.857,12550.971,12541.167,12524.732,12520.985,12518.299,12514.757,12512.293,12515.784,12523.915,12537.297,12546.082,12539.173,12534.34,12531.799,12518.329,12524.265,12525.478
2749.2693,2748.9421,2748.6082,2747.9114,2747.6836,2747.4624,2747.224,2747.088,2746.9316,2746.7742,2746.869,2747.1675,2747.291,2747.1096,2747.1716,2746.2385,2746.3276,2745.888
2154.3716,2154.101,2153.82,2153.231,2153.0361,2152.8467,2152.644,2152.528,2152.3909,2152.246,2152.3171,2152.569,2152.6812,2152.527,2152.5835,2151.7834,2151.8538,2151.4685
5016.813,5014.1636,5011.844,5007.3076,5005.9937,5004.743,5003.2954,5002.458,5001.903,5001.855,5003.263,5005.2627,5005.346,5004.1753,5004.261,4999.0312,4999.9473,4998.1577
2674.1694,2673.8828,2673.764,2673.4792,2673.691,2673.8853,2674.042,2674.1665,2674.6323,2675.3723,2676.223,2676.7207,2676.3862,2676.36,2676.521,2676.2766,2676.7139,2676.808
14179.573,14165.617,14156.036,14140.544,14137.329,14135.385,14132.609,14130.539,14135.305,14145.015,14159.838,14168.836,14160.81,14156.097,14153.384,14141.268,14147.587,14149.942
7832.3403,7818.0527,7807.754,7790.098,7785.8555,7782.5825,7778.419,7775.6235,7778.3613,7785.675,7798.5337,7807.5537,7801.2476,7796.1934,7793.7437,7778.717,7784.62,7784.94
6294.1377,6290.511,6287.948,6283.647,6282.663,6281.9546,6281.0225,6280.3755,6281.2754,6283.384,6286.8657,6289.1587,6287.365,6286.102,6285.4404,6281.908,6283.455,6283.7603
3134.4863,3106.7893,3087.255,3054.5483,3047.115,3041.8066,3034.7983,3029.9102,3036.96,3053.2842,3080.0706,3097.5972,3083.739,3074.1067,3069.0264,3042.2688,3054.131,3056.6375
