V1,V2,V3,V4,V5,V6,V7,V8
6800.326,6800.954,6806.1733,6796.3325,6808.9004,6813.521,6816.4663,6805.0903
7036.469,7037.426,7043.2827,7033.93,7046.529,7051.5303,7054.4287,7043.7314
7182.5728,7182.9155,7189.0933,7169.2104,7191.2114,7197.8916,7204.353,7181.9634
7657.538,7658.298,7663.26,7655.002,7665.9736,7670.2476,7672.781,7663.309
1072.4467,1074.6072,1080.1698,1083.1143,1084.675,1088.1458,1089.2802,1092.3754
9816.572,9854.412,9885.21,9911.011,9934.637,9959.062,9985.684,10016.64
3353.8975,3362.171,3368.8982,3374.5354,3379.7273,3385.0745,3390.9082,3397.6592
2599.4846,2610.2747,2619.055,2626.411,2633.1567,2640.124,2647.7197,2656.5413
2473.708,2478.6094,2482.745,2486.4038,2488.8508,2491.9346,2495.1758,2499.6426
2541.419,2542.187,2543.1277,2544.3672,2544.2446,2544.803,2545.245,2546.5674
1154.3231,1154.4634,1154.7969,1155.0302,1155.0802,1155.284,1155.3573,1155.6002
3190.4636,3196.5156,3204.5007,3214.949,3213.6614,3218.3416,3221.787,3232.7617
1758.3933,1766.5253,1773.8109,1781.2046,1783.8749,1788.8923,1794.0325,1802.8323
12370.286,12484.426,12580.461,12664.858,12722.935,12794.838,12870.555,12973.723
1259.9491,1260.9354,1263.5518,1264.6888,1265.6248,1267.2842,1267.8044,1269.0188
2059.8882,2081.5103,2100.251,2118.0193,2126.9314,2140.3203,2154.2969,2175.706
2460.984,2475.7188,2488.0085,2498.6057,2506.5405,2515.8574,2525.735,2538.7292
4709.445,4710.096,4713.0728,4709.534,4714.847,4717.2524,4718.459,4714.485
5723.072,5770.6377,5808.546,5840.901,5872.49,5903.8853,5938.212,5975.917
6317.7896,6354.566,6384.6504,6409.889,6432.1685,6455.762,6481.3022,6511.865
9721.222,9779.077,9825.344,9864.681,9902.862,9940.927,9982.591,10028.596
5013.848,5022.428,5034.9204,5050.7397,5048.5693,5055.862,5060.6514,5077.1426
5971.1387,5989.2583,6005.009,6020.049,6027.3643,6038.5703,6050.259,6068.357
2336.5112,2337.4734,2338.697,2340.3076,2340.1255,2340.8467,2341.3975,2343.0999
1373.2401,1373.411,1373.87,1374.0464,1374.2297,1374.5236,1374.6143,1374.8046
7739.4536,7749.3086,7775.1255,7787.4272,7795.774,7812.0273,7817.2104,7830.247
9206.001,9209.179,9215.291,9221.263,9221.046,9224.726,9226.408,9232.639
5013.8945,5042.403,5066.031,5086.17,5102.127,5120.215,5139.492,5164.1797
1874.8472,1875.6547,1877.4078,1878.8611,1878.9644,1880.0267,1880.4484,1881.9615
3088.0215,3088.117,3088.6458,3087.864,3088.9456,3089.3904,3089.6377,3088.748
2479.5286,2479.9915,2481.1404,2481.8474,2482.0923,2482.8008,2483.0432,2483.781
4655.29,4674.825,4691.429,4706.389,4715.6577,4727.8984,4740.723,4758.923
8277.653,8298.486,8316.363,8332.874,8342.109,8355.083,8368.651,8388.6455
7229.518,7243.249,7255.4497,7267.654,7272.4185,7280.884,7289.607,7304.174
10073.031,10080.28,10089.034,10100.564,10099.497,10104.707,10108.889,10121.233
9110.008,9140.768,9166.788,9189.952,9205.042,9224.368,9244.655,9272.9
4519.3022,4544.282,4565.2246,4583.4795,4596.494,4612.2544,4628.895,4651.2437
6275.7705,6280.4766,6289.1094,6298.067,6297.442,6302.612,6305.13,6314.48
5598.713,5602.401,5612.442,5615.745,5620.2227,5626.7153,5628.6973,5632.3037
5239.567,5255.3906,5267.7266,5278.53,5289.3276,5299.971,5311.4688,5323.837
1900.7311,1902.9059,1905.2681,1908.2145,1908.2096,1909.6543,1910.9294,1914.208
2106.4104,2111.4763,2116.2942,2121.5925,2122.6785,2125.848,2128.954,2135.1365
5428.2607,5449.616,5465.4517,5480.1665,5495.105,5510.0005,5525.51,5541.913
